filename	tissue
TSR_Adipose_enhancer_id.bed	Adipose
TSR_All_common_enhancer_id.bed	All_common
TSR_BMarrow_enhancer_id.bed	BMarrow
TSR_Brain_common_enhancer_id.bed	Brain_common
TSR_Bursa_enhancer_id.bed	Bursa
TSR_Cecum_enhancer_id.bed	Cecum
TSR_Cerebellum_enhancer_id.bed	Cerebellum
TSR_Colon_enhancer_id.bed	Colon
TSR_Cortex_enhancer_id.bed	Cortex
TSR_Duodenum_enhancer_id.bed	Duodenum
TSR_Gizzard_enhancer_id.bed	Gizzard
TSR_Heart_enhancer_id.bed	Heart
TSR_Hypothalamus_enhancer_id.bed	Hypothalamus
TSR_Ileum_enhancer_id.bed	Ileum
TSR_Intestine_common_enhancer_id.bed	Intestine_common
TSR_Jejunum_enhancer_id.bed	Jejunum
TSR_Kidney_enhancer_id.bed	Kidney
TSR_Liver_enhancer_id.bed	Liver
TSR_Lung_enhancer_id.bed	Lung
TSR_Muscle_enhancer_id.bed	Muscle
TSR_Provent_enhancer_id.bed	Provent
TSR_ShellGland_enhancer_id.bed	ShellGland
TSR_Spleen_enhancer_id.bed	Spleen
TSR_Testis_enhancer_id.bed	Testis
TSR_Thymus_enhancer_id.bed	Thymus
TSR_Trachea_enhancer_id.bed	Trachea
