id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	regions_empirical_p_value	regions_empirical_p_adjust	genes_empirical_p_value	genes_empirical_p_adjust
GO:0060836	lymphatic endothelial cell differentiation	0.00252403754946588	43	5.89896005273418	0	0	319903	3	6	3.33365200764818	0.047289552068545	0.189956718534249	0.0001999600079984	0.010977291721143	0.92121575684863	1
GO:0060021	roof of mouth development	0.0163065644062256	119	2.52689561842059	0	0	161773	25	60	2.77804333970682	5.38713496256449e-07	1.69615528747802e-05	0.000599880023995201	0.0221438470926504	0.829634073185363	1
GO:0009952	anterior/posterior pattern specification	0.0235360119553507	168	2.47160586350441	0	0	204139	37	130	1.89761729666127	5.7447693552648e-05	0.0011388473323724	0.0001999600079984	0.010977291721143	0.853629274145171	1
GO:0048663	neuron fate commitment	0.016956447584799	117	2.38920712439082	0	0	199746	24	59	2.7121236672392	1.52545051346209e-06	4.41349939097613e-05	0.000399920015996801	0.0172975505908919	0.81503699260148	1
GO:0061351	neural precursor cell proliferation	0.0241620686695926	153	2.19260362428534	0	0	227703	34	101	2.2444389754463	2.14374418416874e-06	6.07914741497387e-05	0.0001999600079984	0.010977291721143	0.899220155968806	1
GO:0045165	cell fate commitment	0.0428686420992902	261	2.10816010942257	0	0	224425	57	154	2.46776836929801	1.25169874465314e-11	9.24098969759439e-10	0.0001999600079984	0.010977291721143	0.940411917616477	1
GO:0003002	regionalization	0.0503615523468714	287	1.97326584807135	0	0	196641	73	258	1.88648524463812	2.43453919246406e-08	1.05299967900314e-06	0.0001999600079984	0.010977291721143	0.959008198360328	1
GO:0007389	pattern specification process	0.0564597027605082	296	1.8153314626363	0	0	193261	80	283	1.88475025167388	5.47350764712462e-09	2.63343367921209e-07	0.0001999600079984	0.010977291721143	0.98000399920016	1
GO:0000122	negative regulation of transcription by RNA polymerase II	0.0885075737211678	442	1.72919768306946	0	0	192548	117	436	1.78916185731577	6.13507022961812e-11	4.16990011479759e-09	0.0001999600079984	0.010977291721143	0.999600079984003	1
GO:0048568	embryonic organ development	0.0597870359687579	295	1.70851109691756	0	0	201171	87	282	2.05693421748505	8.01680943851579e-12	6.12999607423654e-10	0.000399920015996801	0.0172975505908919	0.937012597480504	1
GO:0045892	negative regulation of DNA-templated transcription	0.113920763890922	555	1.68691385724435	0	0	204214	146	596	1.63326574871354	3.53928442109464e-10	2.10489109598989e-08	0.0001999600079984	0.010977291721143	1	1
