id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper 	regions_empirical_p_value 	regions_empirical_p_adjust 	genes_empirical_p_value 	genes_empirical_p_adjust
GO:0005654 	nucleoplasm 	0.247363217349503 	956 	1.33821404125825 	0 	0 	181877 	362 	2030 	1.18894780962428 	8.32285279613876e-05 	0.00474442015604433 	0.0001999600079984 	0.00617209891355062 	1 	1
GO:0031981 	nuclear lumen 	0.269153556564528 	1024 	1.31735445611363 	0 	0 	181381 	391 	2274 	1.14640099823258 	0.000871832858192478 	0.0310506625648552 	0.0001999600079984 	0.00617209891355062 	1 	1
GO:0031974 	membrane-enclosed lumen 	0.284555451583034 	1062 	1.29229129088975 	0 	0 	180534 	416 	2493 	1.11255454085972 	0.00539684830969489 	0.0657678325659752 	0.0001999600079984 	0.00617209891355062 	1 	1
GO:0043233 	organelle lumen 	0.284555451583034 	1062 	1.29229129088975 	0 	0 	180534 	416 	2493 	1.11255454085972 	0.00539684830969489 	0.0657678325659752 	0.0001999600079984 	0.00617209891355062 	1 	1
GO:0070013 	intracellular organelle lumen 	0.284555451583034 	1062 	1.29229129088975 	0 	0 	180534 	416 	2493 	1.11255454085972 	0.00539684830969489 	0.0657678325659752 	0.0001999600079984 	0.00617209891355062 	1 	1
GO:0005634 	nucleus 	0.419925739843604 	1560 	1.28633744906261 	0 	0 	179144 	629 	3653 	1.14802469904775 	8.6163601498157e-06 	0.000664895791560779 	0.0001999600079984 	0.00617209891355062 	1 	1
GO:0043227 	membrane-bounded organelle 	0.600142788658747 	2063 	1.19027537038621 	0 	0 	164045 	977 	6086 	1.07031811090118 	0.00118194887605183 	0.0353936270467008 	0.0001999600079984 	0.00617209891355062 	1 	1
GO:0043231 	intracellular membrane-bounded organelle 	0.585445941297711 	2007 	1.18703461637726 	0 	0 	166481 	939 	5837 	1.07257126441036 	0.00124973797335737 	0.0353936270467008 	0.0001999600079984 	0.00617209891355062 	1 	1
GO:0043229 	intracellular organelle 	0.636776571091313 	2146 	1.16693174023391 	0 	0 	162766 	1050 	6623 	1.05702388888135 	0.00384941601414068 	0.0584169758887849 	0.0001999600079984 	0.00617209891355062 	1 	1
GO:0005622 	intracellular anatomical structure 	0.698432713361632 	2353 	1.16654142472693 	0 	0 	169707 	1188 	7535 	1.05119537759417 	0.00314148100173339 	0.0538705816223171 	0.0001999600079984 	0.00617209891355062 	1 	1
GO:0043226 	organelle 	0.6556737648862 	2181 	1.15178301506123 	0 	0 	162631 	1084 	6818 	1.06004070879749 	0.00193422150913669 	0.0426449789871566 	0.0001999600079984 	0.00617209891355062 	1 	1
GO:0110165 	cellular anatomical entity 	0.840492080838833 	2636 	1.08596190622109 	0 	0 	172469 	1527 	9553 	1.06573570934341 	6.63473301631967e-07 	0.0001535940693278 	0.0011997600479904 	0.0241516914008503 	1 	1
GO:0005575 	cellular_component 	0.843727330995634 	2637 	1.08220820769406 	0 	0 	172073 	1534 	9648 	1.06007922465429 	3.62897231143133e-06 	0.000373017288934196 	0.0015996800639872 	0.0284866103702336 	1 	1
GO:0090575 	RNA polymerase II transcription regulator complex 	0.0195707275435249 	118 	2.08774690010393 	3.37840866393435e-13 	1.117288008144e-11 	174308 	36 	136 	1.76487459228433 	0.000349592121804521 	0.0147146502177721 	0.0001999600079984 	0.00617209891355062 	0.656868626274745 	1
