id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	regions_empirical_p_value	regions_empirical_p_adjust	genes_empirical_p_value	genes_empirical_p_adjust
GO:0003700	DNA-binding transcription factor activity	0.120180215113978	698	2.01106105912112	0	0	208645	172	596	1.92412129300499	0	0	0.0001999600079984	0.00832774621546279	0.996400719856029	1
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.105267783858299	598	1.96701881926274	0	0	209667	152	522	1.94143718453074	0	0	0.0001999600079984	0.00832774621546279	0.98880223955209	1
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.0847997341170733	458	1.87013861858087	0	0	201048	116	409	1.89097130996181	1.52167167755124e-12	8.97786289755231e-11	0.0001999600079984	0.00832774621546279	0.995600879824035	1
GO:0000987	cis-regulatory region sequence-specific DNA binding	0.0876161185103672	473	1.86930403012002	0	0	202735	121	426	1.89376475551845	4.41979786103275e-13	3.12921688561119e-11	0.0001999600079984	0.00832774621546279	0.994401119776045	1
GO:0043565	sequence-specific DNA binding	0.131230138996215	698	1.84172441286138	0	0	203905	190	702	1.80454097280101	0	0	0.0001999600079984	0.00832774621546279	0.99500099980004	1
GO:1990837	sequence-specific double-stranded DNA binding	0.117344516953518	620	1.8294969890093	0	0	192764	172	622	1.84369178558035	0	0	0.0001999600079984	0.00832774621546279	0.991801639672066	1
GO:0000976	transcription cis-regulatory region binding	0.106202309135125	560	1.8258154531066	0	0	197991	152	538	1.88369927569711	6.66133814775094e-16	6.73746772658238e-14	0.0001999600079984	0.00832774621546279	0.992001599680064	1
GO:0001067	transcription regulatory region nucleic acid binding	0.106216242267843	560	1.82557594803201	0	0	197991	152	539	1.8802044718461	7.7715611723761e-16	6.87783163755284e-14	0.0001999600079984	0.00832774621546279	0.992001599680064	1
GO:0140110	transcription regulator activity	0.156529946568368	822	1.8183487889766	0	0	201592	221	846	1.74169525695094	0	0	0.0001999600079984	0.00832774621546279	1	1
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	0.0961985293787951	502	1.80691654855751	0	0	196609	135	483	1.86353217818843	7.16093850883226e-14	5.63327162694804e-12	0.0001999600079984	0.00832774621546279	0.994401119776045	1
