id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper 	regions_empirical_p_value 	regions_empirical_p_adjust 	genes_empirical_p_value 	genes_empirical_p_adjust
GO:0000122 	negative regulation of transcription by RNA polymerase II 	0.0231594819233342 	155 	2.31742490131992 	0 	0 	243602 	28 	68 	1.79714407502131 	0.000558940027101329 	0.012618494551227 	0.0001999600079984 	0.00350518131667784 	0.644471105778844 	1
GO:0006357 	regulation of transcription by RNA polymerase II 	0.165882779129988 	1103 	2.3023800888756 	0 	0 	237769 	212 	491 	1.88446530299005 	0 	0 	0.0001999600079984 	0.00350518131667784 	0.980803839232154 	1
GO:0006366 	transcription by RNA polymerase II 	0.17211949097295 	1120 	2.25315350491002 	0 	0 	239392 	217 	519 	1.82484571779621 	0 	0 	0.0001999600079984 	0.00350518131667784 	0.99000199960008 	1
GO:0006355 	regulation of DNA-templated transcription 	0.204611540131591 	1297 	2.19488950966725 	0 	0 	240505 	251 	625 	1.75278028985507 	0 	0 	0.0001999600079984 	0.00350518131667784 	0.998400319936013 	1
GO:2001141 	regulation of RNA biosynthetic process 	0.204826538673183 	1297 	2.19258561854753 	0 	0 	240505 	251 	626 	1.74998032134093 	0 	0 	0.0001999600079984 	0.00350518131667784 	0.99880023995201 	1
GO:0045944 	positive regulation of transcription by RNA polymerase II 	0.0289538398705983 	182 	2.17654690581167 	0 	0 	282058 	30 	80 	1.6366847826087 	0.00218429525600938 	0.0374091946144136 	0.0001999600079984 	0.00350518131667784 	0.849230153969206 	1
GO:0006351 	DNA-templated transcription 	0.213738376434693 	1323 	2.14328610854197 	0 	0 	241387 	262 	670 	1.70671209171534 	0 	0 	0.0001999600079984 	0.00350518131667784 	0.998000399920016 	1
GO:0032774 	RNA biosynthetic process 	0.214924589105827 	1323 	2.13145687508667 	0 	0 	241387 	262 	672 	1.70163259144237 	0 	0 	0.0001999600079984 	0.00350518131667784 	0.999000199960008 	1
GO:0045892 	negative regulation of DNA-templated transcription 	0.0295358201729299 	180 	2.1102129360612 	0 	0 	241271 	33 	91 	1.58272814142379 	0.00255822447458787 	0.0423528274126214 	0.0001999600079984 	0.00350518131667784 	0.889422115576885 	1
GO:0051252 	regulation of RNA metabolic process 	0.218973739519459 	1324 	2.09362435179979 	0 	0 	243399 	259 	677 	1.66972470190311 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:1902679 	negative regulation of RNA biosynthetic process 	0.0297852353593362 	180 	2.09254246455225 	0 	0 	241271 	33 	92 	1.56552457466919 	0.00313141981640763 	0.0453637426135218 	0.0001999600079984 	0.00350518131667784 	0.898820235952809 	1
GO:0019219 	regulation of nucleobase-containing compound metabolic process 	0.223690246236642 	1330 	2.05876797731396 	0 	0 	243348 	265 	699 	1.65463602247517 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0034654 	nucleobase-containing compound biosynthetic process 	0.229486206455722 	1359 	2.05052789143039 	0 	0 	241440 	272 	750 	1.58285603864734 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0045893 	positive regulation of DNA-templated transcription 	0.0405988813384166 	238 	2.02985820255074 	0 	0 	311178 	42 	117 	1.56674098848012 	0.000905671726259216 	0.0182358225963004 	0.0001999600079984 	0.00350518131667784 	0.89002199560088 	1
GO:1902680 	positive regulation of RNA biosynthetic process 	0.0405988813384166 	238 	2.02985820255074 	0 	0 	311178 	42 	117 	1.56674098848012 	0.000905671726259216 	0.0182358225963004 	0.0001999600079984 	0.00350518131667784 	0.89002199560088 	1
GO:0019438 	aromatic compound biosynthetic process 	0.235678593904694 	1378 	2.02456577196564 	0 	0 	241087 	280 	774 	1.57888626746059 	0 	0 	0.0001999600079984 	0.00350518131667784 	0.999800039992002 	1
GO:0018130 	heterocycle biosynthetic process 	0.233835865976085 	1366 	2.02275082043687 	0 	0 	241426 	277 	772 	1.56601618232335 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:1901362 	organic cyclic compound biosynthetic process 	0.241580307908296 	1397 	2.00233937095765 	0 	0 	240947 	285 	799 	1.5567965391522 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0051253 	negative regulation of RNA metabolic process 	0.033584624565054 	194 	2.00015680107839 	0 	0 	244005 	35 	98 	1.55874741200828 	0.0025920473387282 	0.0424412146670881 	0.0001999600079984 	0.00350518131667784 	0.946410717856429 	1
GO:0010468 	regulation of gene expression 	0.245237325603418 	1397 	1.97248017031104 	0 	0 	246981 	285 	779 	1.59676564156946 	0 	0 	0.0001999600079984 	0.00350518131667784 	0.999800039992002 	1
GO:0010556 	regulation of macromolecule biosynthetic process 	0.247667521158771 	1398 	1.95452362867695 	0 	0 	247321 	286 	794 	1.57209688606578 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0009889 	regulation of biosynthetic process 	0.248998628413995 	1404 	1.95241872448888 	0 	0 	247318 	287 	807 	1.55218019862436 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0031326 	regulation of cellular biosynthetic process 	0.248103965776051 	1398 	1.95108538731545 	0 	0 	247321 	286 	801 	1.55835821165572 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0045934 	negative regulation of nucleobase-containing compound metabolic process 	0.0352215331337388 	195 	1.91703113453032 	0 	0 	246778 	36 	107 	1.46842746850874 	0.00694876267631228 	0.0808879405289477 	0.0001999600079984 	0.00350518131667784 	0.958208358328334 	1
GO:0051254 	positive regulation of RNA metabolic process 	0.0452790663701499 	250 	1.91181276233152 	0 	0 	319172 	44 	135 	1.42250134192163 	0.00589144349794579 	0.0731520900994936 	0.0001999600079984 	0.00350518131667784 	0.96120775844831 	1
GO:0044271 	cellular nitrogen compound biosynthetic process 	0.267835230959336 	1475 	1.90689652811098 	0 	0 	244412 	310 	948 	1.42720754601602 	2.75335310107039e-14 	1.51244096611793e-12 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0045935 	positive regulation of nucleobase-containing compound metabolic process 	0.0471651046574971 	259 	1.90143626510448 	0 	0 	311138 	46 	141 	1.42387706855792 	0.00483798685189796 	0.0637929239763536 	0.0001999600079984 	0.00350518131667784 	0.965406918616277 	1
GO:0051171 	regulation of nitrogen compound metabolic process 	0.269902283670345 	1472 	1.88844378760893 	0 	0 	248692 	309 	877 	1.53777452778742 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0080090 	regulation of primary metabolic process 	0.272818512569743 	1485 	1.88475727345969 	0 	0 	248743 	312 	888 	1.53347042694869 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0060255 	regulation of macromolecule metabolic process 	0.282911985906775 	1521 	1.86157559982291 	0 	0 	250808 	324 	938 	1.50756466116622 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0016070 	RNA metabolic process 	0.272238400783554 	1447 	1.84044124459058 	0 	0 	249246 	311 	933 	1.4548309178744 	1.22124532708767e-15 	7.58189807233597e-14 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0010557 	positive regulation of macromolecule biosynthetic process 	0.056878894360936 	299 	1.8202156901767 	0 	0 	316310 	57 	166 	1.49865112624411 	0.000452262958051008 	0.0103672585768616 	0.0001999600079984 	0.00350518131667784 	0.96000799840032 	1
GO:0031328 	positive regulation of cellular biosynthetic process 	0.0573085886752995 	299 	1.80656788709756 	0 	0 	316310 	57 	170 	1.46338874680307 	0.000882986402652164 	0.0182358225963004 	0.0001999600079984 	0.00350518131667784 	0.971405718856229 	1
GO:0009891 	positive regulation of biosynthetic process 	0.0573869116047833 	299 	1.80410224318552 	0 	0 	316310 	57 	171 	1.4548309178744 	0.00103609790487247 	0.020583811710133 	0.0001999600079984 	0.00350518131667784 	0.972005598880224 	1
GO:0031323 	regulation of cellular metabolic process 	0.291050271441618 	1505 	1.7904875369994 	0 	0 	250494 	326 	941 	1.51203468403949 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0019222 	regulation of metabolic process 	0.302146635254898 	1558 	1.78546977283203 	0 	0 	253422 	340 	1004 	1.47801547433455 	0 	0 	0.0001999600079984 	0.00350518131667784 	1 	1
GO:0090304 	nucleic acid metabolic process 	0.306054291706925 	1511 	1.70949880514791 	0 	0 	253352 	341 	1089 	1.36665934709413 	8.80850947737599e-13 	4.37489304043008e-11 	0.0001999600079984 	0.00350518131667784 	1 	1
