id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper 	regions_empirical_p_value 	regions_empirical_p_adjust 	genes_empirical_p_value 	genes_empirical_p_adjust
GO:0043209 	myelin sheath 	0.00200565023326103 	40 	6.9056983529704 	0 	0 	694774 	1 	5 	0.872898550724638 	0.727908694038403 	0.999926859675201 	0.0001999600079984 	0.00363260681197094 	1 	1
GO:1902911 	protein kinase complex 	0.0107852779824578 	95 	3.04996652804021 	0 	0 	468354 	9 	32 	1.22751358695652 	0.301335559212106 	0.999926859675201 	0.00439912017596481 	0.0378555867773814 	0.923415316936613 	1
GO:0005634 	nucleus 	0.335293964566465 	1318 	1.36110768270411 	0 	0 	263916 	352 	1270 	1.20968618053178 	3.73924530883141e-06 	0.00122273321598787 	0.0001999600079984 	0.00363260681197094 	1 	1
GO:0043231 	intracellular membrane-bounded organelle 	0.515053417238487 	1742 	1.17111269507134 	0 	0 	267615 	524 	2165 	1.05634836161596 	0.0399867660477482 	0.963325115708317 	0.0001999600079984 	0.00363260681197094 	1 	1
GO:0043227 	membrane-bounded organelle 	0.524131723063935 	1770 	1.16932606720283 	0 	0 	267927 	540 	2238 	1.05309476628978 	0.0452204998071528 	0.963325115708317 	0.0001999600079984 	0.00363260681197094 	1 	1
GO:1902554 	serine/threonine protein kinase complex 	0.00941359393840676 	79 	2.9058583593153 	3.33066907387547e-16 	1.81521464526213e-14 	445674 	8 	29 	1.2039980009995 	0.340073375701653 	0.999926859675201 	0.0153969206158768 	0.100695860827834 	0.888422315536893 	1
GO:0005622 	intracellular anatomical structure 	0.673172186919992 	2137 	1.09921126144418 	3.5527136788005e-15 	1.65962481852538e-13 	275744 	704 	3134 	0.980409348612229 	0.814350463269813 	0.999926859675201 	0.0001999600079984 	0.00363260681197094 	1 	1
GO:0030424 	axon 	0.023414937107395 	139 	2.05553376825498 	8.32667268468867e-15 	3.4035274598665e-13 	494846 	20 	53 	1.64697839759366 	0.0104587859819883 	0.458688011923855 	0.0001999600079984 	0.00363260681197094 	0.804239152169566 	1
GO:0043226 	organelle 	0.587548673632038 	1895 	1.11678140782253 	2.24265050974282e-14 	8.14829685206557e-13 	271786 	602 	2623 	1.00168686148729 	0.48704112672032 	0.999926859675201 	0.0001999600079984 	0.00363260681197094 	1 	1
GO:0043025 	neuronal cell body 	0.0102908507333332 	79 	2.6581447293288 	3.37507799486048e-14 	1.00331864029034e-12 	486733 	7 	23 	1.32832388153749 	0.261466552573936 	0.999926859675201 	0.0001999600079984 	0.00363260681197094 	0.949810037992401 	1
