id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	regions_empirical_p_value	regions_empirical_p_adjust	genes_empirical_p_value	genes_empirical_p_adjust
GO:0019911	structural constituent of myelin sheath	0.00217350142205949	40	6.37239772281423	0	0	694774	1	8	0.545561594202899	0.875466581412467	0.999995847974372	0.0001999600079984	0.00354544475720241	1	1
GO:0003730	mRNA 3'-UTR binding	0.00478990268486306	60	4.33737898983892	0	0	344640	6	15	1.74579710144928	0.106048618827917	0.814849318057861	0.0001999600079984	0.00354544475720241	0.865826834633073	1
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	0.121328359652218	888	2.53427331629725	0	0	231392	160	342	2.04186795491143	0	0	0.0001999600079984	0.00354544475720241	0.979804039192162	1
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.10631556197466	778	2.53387723033114	0	0	230219	136	294	2.01894902888692	0	0	0.0001999600079984	0.00354544475720241	0.968206358728254	1
GO:0000987	cis-regulatory region sequence-specific DNA binding	0.107774933635838	778	2.49956620365639	0	0	230219	136	298	1.99184904192199	0	0	0.0001999600079984	0.00354544475720241	0.971405718856229	1
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.130427231650457	941	2.49818247928447	0	0	223266	172	369	2.0343977062959	0	0	0.0001999600079984	0.00354544475720241	0.98620275944811	1
GO:1990837	sequence-specific double-stranded DNA binding	0.129382564844154	931	2.49159089898191	0	0	226218	169	374	1.97219057583508	0	0	0.0001999600079984	0.00354544475720241	0.982403519296141	1
GO:0003700	DNA-binding transcription factor activity	0.140589795870907	1011	2.49000469706211	0	0	228853	182	394	2.01608548517619	0	0	0.0001999600079984	0.00354544475720241	0.991801639672066	1
GO:0000976	transcription cis-regulatory region binding	0.126051872343765	894	2.45578888236889	0	0	230211	163	363	1.95981355052501	0	0	0.0001999600079984	0.00354544475720241	0.988602279544091	1
GO:0001067	transcription regulatory region nucleic acid binding	0.126051872343765	894	2.45578888236889	0	0	230211	163	363	1.95981355052501	0	0	0.0001999600079984	0.00354544475720241	0.988602279544091	1
GO:0003690	double-stranded DNA binding	0.132699175230343	935	2.4397548970587	0	0	227177	171	389	1.9185816474796	0	0	0.0001999600079984	0.00354544475720241	0.982603479304139	1
GO:0140110	transcription regulator activity	0.168441970542314	1141	2.34551460791552	0	0	237343	209	478	1.90832423746286	0	0	0.0001999600079984	0.00354544475720241	0.996400719856029	1
GO:0043565	sequence-specific DNA binding	0.145911952683904	986	2.33985452255505	0	0	231159	183	418	1.91077075098814	0	0	0.0001999600079984	0.00354544475720241	0.998400319936013	1
GO:0003677	DNA binding	0.186376263374386	1176	2.18483946771971	0	0	240304	227	601	1.64848561576117	0	0	0.0001999600079984	0.00354544475720241	0.999400119976005	1
GO:0003676	nucleic acid binding	0.273222800254889	1402	1.77678093943488	0	0	252110	304	991	1.33885549657058	3.71591868386645e-10	1.31772193327879e-08	0.0001999600079984	0.00354544475720241	1	1
GO:0097159	organic cyclic compound binding	0.406417334108915	1635	1.39299111174305	0	0	254719	427	1618	1.15181607280414	6.6207444661126e-05	0.00218011657062708	0.0001999600079984	0.00354544475720241	1	1
GO:0005488	binding	0.737799605305761	2382	1.11790822038391	0	0	266645	849	3440	1.07716696157735	8.87060561377551e-05	0.00272623279196701	0.0001999600079984	0.00354544475720241	1	1
GO:0003674	molecular_function	0.882124390012741	2719	1.0672893813153	0	0	285959	1127	4806	1.02346719378555	0.0257745168579163	0.419313803982379	0.0001999600079984	0.00354544475720241	1	1
GO:0046983	protein dimerization activity	0.0398074013529566	211	1.83536074561743	1.11022302462516e-16	2.69375165448525e-15	253748	43	123	1.52579827972193	0.0014603041035004	0.0396000112772755	0.0025994801039792	0.0292283006813271	0.969006198760248	1
GO:0015385	sodium:proton antiporter activity	0.00254661833636886	37	5.03084194677485	5.77315972805081e-15	1.33071331731571e-13	627595	2	5	1.74579710144928	0.323202936087334	0.983323873610035	0.0001999600079984	0.00354544475720241	0.986402719456109	1
GO:0008289	lipid binding	0.0367891210991704	192	1.80711015847924	1.33226762955019e-14	2.92464465344113e-13	276140	33	143	1.00719063545151	0.514298436509627	0.999995847974372	0.0001999600079984	0.00354544475720241	0.990801839632074	1
GO:0051139	metal cation:proton antiporter activity	0.00274844114787618	37	4.661418476772	5.50670620214078e-14	1.15390525417586e-12	627595	2	6	1.4548309178744	0.415939599466284	0.983323873610035	0.0001999600079984	0.00354544475720241	0.991601679664067	1
GO:0008237	metallopeptidase activity	0.0162124215656348	105	2.24256077804489	1.04694031222152e-13	2.09843253884401e-12	494762	13	51	1.11251776072748	0.382138460190862	0.983323873610035	0.000399920015996801	0.00635734921981121	0.94501099780044	1
GO:0008235	metalloexopeptidase activity	0.00555715539774497	52	3.24006418346901	7.33413330067378e-13	1.40876477150442e-11	507417	5	17	1.28367433930094	0.346586249529424	0.983323873610035	0.0001999600079984	0.00354544475720241	0.679864027194561	1
GO:0008238	exopeptidase activity	0.0067940611809567	57	2.90501389074685	4.256150987203e-12	7.84834242040233e-11	476637	7	26	1.17505574136009	0.384838522300995	0.983323873610035	0.0001999600079984	0.00354544475720241	0.556488702259548	1
GO:0003713	transcription coactivator activity	0.00970646173683833	70	2.49712282435777	1.46531675682127e-11	2.59811932651771e-10	387833	10	32	1.36390398550725	0.178321371151772	0.983323873610035	0.000599880023995201	0.0083801421533875	0.803839232153569	1
GO:0005543	phospholipid binding	0.0224438902215816	121	1.86676670183139	1.72608816129127e-10	2.84188086555456e-09	250902	24	80	1.30934782608696	0.0858441685800515	0.714590233572895	0.000999800039992002	0.0135561123069504	0.935612877424515	1
GO:0001786	phosphatidylserine binding	0.00236278960444316	29	4.24987109628997	2.24681162563911e-10	3.57165572213666e-09	260854	3	6	2.18224637681159	0.137729609329431	0.894272533815038	0.0011997600479904	0.0158025537749593	0.469906018796241	1
GO:0033293	monocarboxylic acid binding	0.00464938623401778	41	3.05345161397979	1.00130481683891e-09	1.53867173520913e-08	346399	3	19	0.689130434782609	0.845444863617515	0.999995847974372	0.000399920015996801	0.00635734921981121	0.88502299540092	1
GO:0030276	clathrin binding	0.00542738291471996	44	2.80714615185725	3.02028035914503e-09	4.35109139239331e-08	264315	7	17	1.79714407502131	0.0720478627716938	0.714590233572895	0.000599880023995201	0.0083801421533875	0.37752449510098	1
GO:0008233	peptidase activity	0.0404608620094533	182	1.55753949500615	6.87617141004182e-09	9.32327947067435e-08	387547	34	149	0.995924520960996	0.543519635142167	0.999995847974372	0.0001999600079984	0.00354544475720241	0.983403319336133	1
GO:0003678	DNA helicase activity	0.00402717131968436	36	3.09531752480692	7.20514659047211e-09	9.49020736630755e-08	311855	5	19	1.14855072463768	0.448317420009927	0.999995847974372	0.0001999600079984	0.00354544475720241	0.61627674465107	1
GO:0140828	metal cation:monoatomic cation antiporter activity	0.00452046054251626	37	2.83414360738984	4.10037463982604e-08	4.84685309989694e-07	627595	2	11	0.793544137022398	0.756358279116565	0.999995847974372	0.00459908018396321	0.0441703326001466	1	1
GO:0004879	nuclear receptor activity	0.00901666305498708	57	2.18892976092156	9.05159820430157e-08	9.93520660043577e-07	310062	8	29	1.2039980009995	0.340073375701653	0.983323873610035	0.00419916016796641	0.042082887770272	0.952409518096381	1
GO:0098531	ligand-activated transcription factor activity	0.00901666305498708	57	2.18892976092156	9.05159820430157e-08	9.93520660043577e-07	310062	8	29	1.2039980009995	0.340073375701653	0.983323873610035	0.00419916016796641	0.042082887770272	0.952409518096381	1
GO:1901981	phosphatidylinositol phosphate binding	0.00862027523310063	54	2.16907934331729	2.55900088230732e-07	2.62155423720816e-06	261800	9	27	1.4548309178744	0.144569679907232	0.92564753385047	0.00339932013597281	0.0373115853019872	0.964407118576285	1
GO:0072341	modified amino acid binding	0.00331676705703772	29	3.02751175281683	3.07592674886337e-07	3.01702602388513e-06	260854	3	10	1.30934782608696	0.411048239254585	0.983323873610035	0.00399920015996801	0.0419007107669375	0.903819236152769	1
