id	description	fold_enrichment	source	p_adjust	regions_empirical_p_adjust	description_default_annot	genome_fraction_default_annot	observed_region_hits_default_annot	fold_enrichment_default_annot	p_value_default_annot	p_adjust_default_annot	mean_tss_dist_default_annot	observed_gene_hits_default_annot	gene_set_size_default_annot	fold_enrichment_hyper_default_annot	p_value_hyper_default_annot	p_adjust_hyper_default_annot	regions_empirical_p_value_default_annot	regions_empirical_p_adjust_default_annot	genes_empirical_p_value_default_annot	genes_empirical_p_adjust_default_annot	genes_prop_default_annot	description_biomart_annot	genome_fraction_biomart_annot	observed_region_hits_biomart_annot	fold_enrichment_biomart_annot	p_value_biomart_annot	p_adjust_biomart_annot	mean_tss_dist_biomart_annot	observed_gene_hits_biomart_annot	gene_set_size_biomart_annot	fold_enrichment_hyper_biomart_annot	p_value_hyper_biomart_annot	p_adjust_hyper_biomart_annot	regions_empirical_p_value_biomart_annot	regions_empirical_p_adjust_biomart_annot	genes_empirical_p_value_biomart_annot	genes_empirical_p_adjust_biomart_annot	genes_prop_biomart_annot
GO:1905719	protein localization to perinuclear region of cytoplasm	7.246847	biomart_annot	3.686435e-07	0.01097729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	protein localization to perinuclear region of cytoplasm	0.00066893166258322	14	7.2468470256628	1.87679305430066e-08	3.68643479748415e-07	80024	3	7	2.85741600655559	0.0736988353735213	0.242566036179414	0.0001999600079984	0.010977291721143	0.380923815236953	1	0.428571428571429
GO:0031145	anaphase-promoting complex-dependent catabolic process	7.08707	biomart_annot	2.800267e-05	0.03891949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	anaphase-promoting complex-dependent catabolic process	0.000488580446811902	10	7.08707010423896	2.38042312838971e-06	2.80026698784745e-05	30274	2	9	1.4816231145103	0.400496012341572	0.614888463552031	0.0013997200559888	0.0389194888295068	0.180763847230554	1	0.2
GO:0051454	intracellular pH elevation	6.473714	biomart_annot	1.082367e-08	0.02214385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	intracellular pH elevation	0.00101625555699128	19	6.47371354888199	3.75463216073513e-10	1.08236715876362e-08	305040	1	6	1.11121733588273	0.622883897610387	0.762300365831362	0.000599880023995201	0.0221438470926504	0.895620875824835	1	0.166666666666667
GO:0007274	neuromuscular synaptic transmission	6.176916	biomart_annot	1.996237e-10	0.03194883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neuromuscular synaptic transmission	0.00134537199188785	24	6.17691564681536	5.1281201507436e-12	1.99623731686219e-10	114115	3	9	2.22243467176546	0.140761379872437	0.363973568003486	0.000999800039992002	0.0319488341137743	0.658868226354729	1	0.25
GO:0060836	lymphatic endothelial cell differentiation	5.89896	biomart_annot	0	0.01097729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lymphatic endothelial cell differentiation	0.00252403754946588	43	5.89896005273418	0	0	319903	3	6	3.33365200764818	0.047289552068545	0.189956718534249	0.0001999600079984	0.010977291721143	0.92121575684863	1	0.5
GO:0060839	endothelial cell fate commitment	5.679418	biomart_annot	1.218968e-14	0.01097729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	endothelial cell fate commitment	0.00225580071537159	37	5.67941762839633	2.22044604925031e-16	1.21896794652434e-14	339082	3	5	4.00038240917782	0.026580407950995	0.13712928535682	0.0001999600079984	0.010977291721143	0.758448310337932	1	0.6
GO:0090084	negative regulation of inclusion body assembly	5.525918	biomart_annot	3.736252e-09	0.01097729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	negative regulation of inclusion body assembly	0.00144120649318395	23	5.52591801197993	1.20411680626376e-10	3.73625229305899e-09	256895	3	6	3.33365200764818	0.047289552068545	0.189956718534249	0.0001999600079984	0.010977291721143	0.566886622675465	1	0.428571428571429
GO:0090083	regulation of inclusion body assembly	5.452159	biomart_annot	4.723145e-09	0.01097729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	regulation of inclusion body assembly	0.00146070384398321	23	5.4521585278714	1.5552625853843e-10	4.72314495788338e-09	256895	3	8	2.50023900573614	0.10513158453232	0.303351378010373	0.0001999600079984	0.010977291721143	0.597280543891222	1	0.3
GO:0060684	epithelial-mesenchymal cell signaling	5.426161	biomart_annot	3.113701e-07	0.03643527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	epithelial-mesenchymal cell signaling	0.00114863665771751	18	5.42616060416754	1.56339494683522e-08	3.11370100574344e-07	84204	2	6	2.22243467176546	0.223460952947961	0.452844202803203	0.0011997600479904	0.0364352661382617	0.848230353929214	1	0.333333333333333
GO:0015697	quaternary ammonium group transport	5.249374	biomart_annot	2.06032e-08	0.02214385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	quaternary ammonium group transport	0.00145116902909888	22	5.24937369741573	7.65041918704412e-10	2.06032043766811e-08	72026	4	15	1.77794773741236	0.177200993691775	0.403174689597473	0.000599880023995201	0.0221438470926504	0.47870425914817	1	0.266666666666667
