id	description	fold_enrichment	source	p_adjust	regions_empirical_p_adjust	description_default_annot	genome_fraction_default_annot	observed_region_hits_default_annot	fold_enrichment_default_annot	p_value_default_annot	p_adjust_default_annot	mean_tss_dist_default_annot	observed_gene_hits_default_annot	gene_set_size_default_annot	fold_enrichment_hyper_default_annot	p_value_hyper_default_annot	p_adjust_hyper_default_annot	regions_empirical_p_value_default_annot	regions_empirical_p_adjust_default_annot	genes_empirical_p_value_default_annot	genes_empirical_p_adjust_default_annot	genes_prop_default_annot	description_biomart_annot	genome_fraction_biomart_annot	observed_region_hits_biomart_annot	fold_enrichment_biomart_annot	p_value_biomart_annot	p_adjust_biomart_annot	mean_tss_dist_biomart_annot	observed_gene_hits_biomart_annot	gene_set_size_biomart_annot	fold_enrichment_hyper_biomart_annot	p_value_hyper_biomart_annot	p_adjust_hyper_biomart_annot	regions_empirical_p_value_biomart_annot	regions_empirical_p_adjust_biomart_annot	genes_empirical_p_value_biomart_annot	genes_empirical_p_adjust_biomart_annot	genes_prop_biomart_annot
GO:0032797	SMN complex	10.293046	biomart_annot	5.413361e-09	0.010286832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SMN complex	0.000470963146205559	14	10.2930462148031	2.33838504115624e-10	5.4133613702767e-09	55288	3	6	3.33365200764818	0.047289552068545	0.248955934743512	0.000399920015996801	0.0102868315225844	0.133573285342931	1	0.428571428571429
GO:0034719	SMN-Sm protein complex	8.342093	biomart_annot	5.667596e-08	0.010286832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SMN-Sm protein complex	0.000581106598024137	14	8.34209325078344	3.30507776702404e-09	5.6675963190079e-08	55288	3	10	2.00019120458891	0.179705736129018	0.55841446864252	0.000399920015996801	0.0102868315225844	0.133573285342931	1	0.2
GO:0043209	myelin sheath	6.905698	default_annot	0	0.003632607	myelin sheath	0.00200565023326103	40	6.9056983529704	0	0	694774	1	5	0.872898550724638	0.727908694038403	0.999926859675201	0.0001999600079984	0.00363260681197094	1	1	0.285714285714286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0008541	proteasome regulatory particle, lid subcomplex	4.881737	default_annot	4.840385e-05	0.011371639	proteasome regulatory particle, lid subcomplex	0.000922086764787377	13	4.88173696169386	4.58874431119582e-06	4.8403851282614e-05	45129	2	5	1.74579710144928	0.323202936087334	0.999926859675201	0.000799840031993601	0.0113716387157351	0.492901419716057	1	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0031011	Ino80 complex	4.85032	default_annot	5.020133e-05	0.03170275	Ino80 complex	0.000928059480482059	13	4.85031954979126	4.9126686062495e-06	5.02013323201121e-05	185325	2	5	1.74579710144928	0.323202936087334	0.999926859675201	0.0031993601279744	0.0317027503590191	0.538492301539692	1	0.222222222222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0120103	centriolar subdistal appendage	4.778695	biomart_annot	0.002409115	0.021041246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	centriolar subdistal appendage	0.000579673492278922	8	4.77869548873591	0.000348619215550516	0.00240911487761028	38778	2	5	2.66692160611855	0.164737152654822	0.518865997817569	0.000999800039992002	0.0210412462961953	0.0489902019596081	1	0.4
GO:0042555	MCM complex	4.651455	biomart_annot	7.545458e-06	0.036371297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MCM complex	0.00119106081692766	16	4.6514553465683	7.17062939803448e-07	7.54545775293174e-06	219286	2	8	1.66682600382409	0.342777205126209	0.71800167833603	0.0021995600879824	0.0363712971691376	0.520695860827834	1	0.25
GO:0044352	pinosome	4.51744	biomart_annot	0.01256854	0.021041246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pinosome	0.000459898147319628	6	4.51744008750248	0.00247027505354325	0.0125685423053904	64651	1	5	1.33346080305927	0.556313406833316	0.882099682752827	0.000999800039992002	0.0210412462961953	0.00859828034393121	1	0.2
GO:0044354	macropinosome	4.51744	biomart_annot	0.01256854	0.021041246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	macropinosome	0.000459898147319628	6	4.51744008750248	0.00247027505354325	0.0125685423053904	64651	1	5	1.33346080305927	0.556313406833316	0.882099682752827	0.000999800039992002	0.0210412462961953	0.00859828034393121	1	0.2
GO:0097346	INO80-type complex	4.50183	default_annot	9.224825e-05	0.03170275	INO80-type complex	0.000999901234888766	13	4.50182966525889	1.07199797694246e-05	9.22482469632066e-05	185325	2	6	1.4548309178744	0.415939599466284	0.999926859675201	0.0031993601279744	0.0317027503590191	0.538492301539692	1	0.181818181818182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
