id	description	fold_enrichment	source	p_adjust	regions_empirical_p_adjust	description_default_annot	genome_fraction_default_annot	observed_region_hits_default_annot	fold_enrichment_default_annot	p_value_default_annot	p_adjust_default_annot	mean_tss_dist_default_annot	observed_gene_hits_default_annot	gene_set_size_default_annot	fold_enrichment_hyper_default_annot	p_value_hyper_default_annot	p_adjust_hyper_default_annot	regions_empirical_p_value_default_annot	regions_empirical_p_adjust_default_annot	genes_empirical_p_value_default_annot	genes_empirical_p_adjust_default_annot	genes_prop_default_annot	description_biomart_annot	genome_fraction_biomart_annot	observed_region_hits_biomart_annot	fold_enrichment_biomart_annot	p_value_biomart_annot	p_adjust_biomart_annot	mean_tss_dist_biomart_annot	observed_gene_hits_biomart_annot	gene_set_size_biomart_annot	fold_enrichment_hyper_biomart_annot	p_value_hyper_biomart_annot	p_adjust_hyper_biomart_annot	regions_empirical_p_value_biomart_annot	regions_empirical_p_adjust_biomart_annot	genes_empirical_p_value_biomart_annot	genes_empirical_p_adjust_biomart_annot	genes_prop_biomart_annot
GO:0047498	calcium-dependent phospholipase A2 activity	10.3859	biomart_annot	2.228711e-08	0.008327746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	calcium-dependent phospholipase A2 activity	0.000433413084402513	13	10.3859002036283	9.12890207871442e-10	2.22871126611373e-08	170767	1	7	0.952472002185195	0.679470247215829	0.861930335602362	0.0001999600079984	0.00832774621546279	0.189162167566487	1	0.142857142857143
GO:0015651	quaternary ammonium group transmembrane transporter activity	7.416517	biomart_annot	3.899105e-11	0.014902283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	quaternary ammonium group transmembrane transporter activity	0.00102713024404786	22	7.41651662581262	1.21158638677343e-12	3.89910528107087e-11	72026	4	9	2.96324622902061	0.0338719938520862	0.221375605735635	0.000399920015996801	0.0149022827013545	0.206758648270346	1	0.444444444444444
GO:0035005	1-phosphatidylinositol-4-phosphate 3-kinase activity	7.261547	biomart_annot	4.277102e-08	0.039054258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1-phosphatidylinositol-4-phosphate 3-kinase activity	0.000762945706279422	16	7.26154713158201	1.81233117402257e-09	4.27710157069328e-08	243317	2	5	2.66692160611855	0.164737152654822	0.472202040808154	0.0015996800639872	0.0390542581138945	0.641471705658868	1	0.333333333333333
GO:0019911	structural constituent of myelin sheath	6.372398	default_annot	0	0.003545445	structural constituent of myelin sheath	0.00217350142205949	40	6.37239772281423	0	0	694774	1	8	0.545561594202899	0.875466581412467	0.999995847974372	0.0001999600079984	0.00354544475720241	1	1	0.222222222222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000339	RNA cap binding	5.754276	biomart_annot	7.217647e-05	0.045668286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA cap binding	0.000661918960023131	11	5.75427581919526	5.40304054541529e-06	7.21764661538496e-05	19734	3	13	1.53860861891455	0.30795388521963	0.63197492966811	0.001999600079984	0.0456682856976992	0.246350729854029	1	0.230769230769231
GO:0015101	organic cation transmembrane transporter activity	5.142945	biomart_annot	1.327746e-08	0.029494101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	organic cation transmembrane transporter activity	0.00154852698620058	23	5.14294486995528	4.68836969247377e-10	1.32774629690857e-08	69597	5	15	2.22243467176546	0.0615819681806917	0.290666889812865	0.000999800039992002	0.029494101179764	0.340131973605279	1	0.294117647058824
GO:0015385	sodium:proton antiporter activity	5.030842	default_annot	1.330713e-13	0.003545445	sodium:proton antiporter activity	0.00254661833636886	37	5.03084194677485	5.77315972805081e-15	1.33071331731571e-13	627595	2	5	1.74579710144928	0.323202936087334	0.983323873610035	0.0001999600079984	0.00354544475720241	0.986402719456109	1	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0051139	metal cation:proton antiporter activity	4.661418	default_annot	1.153905e-12	0.003545445	metal cation:proton antiporter activity	0.00274844114787618	37	4.661418476772	5.50670620214078e-14	1.15390525417586e-12	627595	2	6	1.4548309178744	0.415939599466284	0.983323873610035	0.0001999600079984	0.00354544475720241	0.991601679664067	1	0.166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0003730	mRNA 3'-UTR binding	4.337379	default_annot	0	0.003545445	mRNA 3'-UTR binding	0.00478990268486306	60	4.33737898983892	0	0	344640	6	15	1.74579710144928	0.106048618827917	0.814849318057861	0.0001999600079984	0.00354544475720241	0.865826834633073	1	0.214285714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0001786	phosphatidylserine binding	4.249871	default_annot	3.571656e-09	0.015802554	phosphatidylserine binding	0.00236278960444316	29	4.24987109628997	2.24681162563911e-10	3.57165572213666e-09	260854	3	6	2.18224637681159	0.137729609329431	0.894272533815038	0.0011997600479904	0.0158025537749593	0.469906018796241	1	0.176470588235294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
