id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper
GO:0001227 	DNA-binding transcription repressor activity, RNA polymerase II-specific 	0.0331583154944428 	206 	2.15118406425535 	0 	0 	222649 	47 	136 	2.30414182881566 	1.02118029587928e-08 	5.16425463916091e-07
GO:0001217 	DNA-binding transcription repressor activity 	0.0333420010119111 	206 	2.13933290517611 	0 	0 	222649 	47 	137 	2.28732327532065 	1.33121575984774e-08 	6.28333838648132e-07
GO:0003700 	DNA-binding transcription factor activity 	0.120180215113978 	698 	2.01106105912112 	0 	0 	208645 	172 	596 	1.92412129300499 	0 	0
GO:0000981 	DNA-binding transcription factor activity, RNA polymerase II-specific 	0.105267783858299 	598 	1.96701881926274 	0 	0 	209667 	152 	522 	1.94143718453074 	0 	0
GO:0000978 	RNA polymerase II cis-regulatory region sequence-specific DNA binding 	0.0847997341170733 	458 	1.87013861858087 	0 	0 	201048 	116 	409 	1.89097130996181 	1.52167167755124e-12 	8.97786289755231e-11
GO:0000987 	cis-regulatory region sequence-specific DNA binding 	0.0876161185103672 	473 	1.86930403012002 	0 	0 	202735 	121 	426 	1.89376475551845 	4.41979786103275e-13 	3.12921688561119e-11
GO:0043565 	sequence-specific DNA binding 	0.131230138996215 	698 	1.84172441286138 	0 	0 	203905 	190 	702 	1.80454097280101 	0 	0
GO:1990837 	sequence-specific double-stranded DNA binding 	0.117344516953518 	620 	1.8294969890093 	0 	0 	192764 	172 	622 	1.84369178558035 	0 	0
GO:0000976 	transcription cis-regulatory region binding 	0.106202309135125 	560 	1.8258154531066 	0 	0 	197991 	152 	538 	1.88369927569711 	6.66133814775094e-16 	6.73746772658238e-14
GO:0001067 	transcription regulatory region nucleic acid binding 	0.106216242267843 	560 	1.82557594803201 	0 	0 	197991 	152 	539 	1.8802044718461 	7.7715611723761e-16 	6.87783163755284e-14
