id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper 	regions_empirical_p_value 	regions_empirical_p_adjust 	genes_empirical_p_value 	genes_empirical_p_adjust
GO:0000122 	negative regulation of transcription by RNA polymerase II 	0.105549340878516 	81 	2.69267930950803 	0 	0 	401974 	42 	966 	2.98311668907814 	2.20671925177385e-10 	6.1538321775882e-09 	0.0123975204959008 	0.244987844536356 	0.900619876024795 	1
GO:0045944 	positive regulation of transcription by RNA polymerase II 	0.13449221935263 	101 	2.63499231864934 	0 	0 	345007 	59 	1255 	3.22556920085979 	6.66133814775094e-16 	1.09393975359732e-13 	0.0287942411517696 	0.338405601322484 	0.875824835032993 	1
GO:0045893 	positive regulation of DNA-templated transcription 	0.168090239347535 	113 	2.35879983043162 	0 	0 	346736 	66 	1713 	2.64353247753685 	1.50879309046559e-13 	1.11499809385407e-11 	0.0395920815836833 	0.365731853629274 	0.961407718456309 	1
GO:1902680 	positive regulation of RNA biosynthetic process 	0.168914375252751 	113 	2.34729120879674 	0 	0 	348101 	67 	1720 	2.67266442899385 	5.57331958361829e-14 	4.84550961446343e-12 	0.0409918016396721 	0.371185286752173 	0.95380923815237 	1
GO:0006357 	regulation of transcription by RNA polymerase II 	0.230489812821485 	149 	2.26824349043476 	0 	0 	349476 	91 	2558 	2.44083785388606 	1.11022302462516e-16 	2.05113703799498e-14 	0.0027994401119776 	0.137919082850097 	0.938012397520496 	1
GO:0006366 	transcription by RNA polymerase II 	0.234518108766052 	149 	2.22928208100721 	0 	0 	349476 	91 	2671 	2.33757515171866 	1.4432899320127e-15 	2.13318251951478e-13 	0.0031993601279744 	0.147770445910818 	0.949010197960408 	1
GO:0051254 	positive regulation of RNA metabolic process 	0.177859370863231 	113 	2.22924002342876 	0 	0 	348101 	67 	1848 	2.4875448148644 	1.58939528205337e-12 	8.70046750694403e-11 	0.0683863227354529 	0.452077381133943 	0.977804439112178 	1
GO:0045935 	positive regulation of nucleobase-containing compound metabolic process 	0.191319744097564 	117 	2.14576032246899 	0 	0 	346931 	71 	2040 	2.387955663365 	1.99829042202282e-12 	1.01843904956887e-10 	0.0667866426714657 	0.452077381133943 	0.970405918816237 	1
GO:0006355 	regulation of DNA-templated transcription 	0.290523291881445 	160 	1.93238726277762 	0 	0 	353791 	104 	3442 	2.07310142948138 	1.90958360235527e-14 	2.01597468877221e-12 	0.00359928014397121 	0.147770445910818 	0.959608078384323 	1
GO:2001141 	regulation of RNA biosynthetic process 	0.291901851140802 	160 	1.92326121460988 	0 	0 	354653 	105 	3465 	2.07914193481204 	1.08801856413265e-14 	1.23699341368312e-12 	0.00399920015996801 	0.147770445910818 	0.953409318136373 	1
