id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	regions_empirical_p_value	regions_empirical_p_adjust	genes_empirical_p_value	genes_empirical_p_adjust
GO:0000785	chromatin	0.137879402318896	115	2.92653409532894	0	0	373801	67	1357	3.38760708759721	0	0	0.0025994801039792	0.0315403585949477	0.798040391921616	1
GO:0032993	protein-DNA complex	0.142599365495035	115	2.82966737284588	0	0	370959	68	1422	3.28100879164431	0	0	0.0027994401119776	0.0318436312737453	0.814837032593481	1
GO:0005694	chromosome	0.173888827720159	119	2.40121153913971	0	0	366579	71	1926	2.52929883347072	1.23345778035855e-13	7.48297720084186e-12	0.00419916016796641	0.0402235342405203	0.905618876224755	1
GO:0034399	nuclear periphery	0.0130188377673916	26	7.00738973827128	1.87627691161651e-14	8.14977714943173e-13	460770	9	150	4.11670103092784	0.000362609479804821	0.00659949253244774	0.0001999600079984	0.0181963607278544	0.0925814837032593	1
GO:0016363	nuclear matrix	0.0120317155242345	25	7.29067256194086	2.55351295663786e-14	8.14977714943173e-13	473790	8	127	4.3219958329951	0.000554616837636579	0.00894105957377108	0.0001999600079984	0.0181963607278544	0.142571485702859	1
GO:0005634	nucleus	0.528813756493942	213	1.41329232054725	2.68673971959288e-14	8.14977714943173e-13	348210	156	7692	1.39150060847795	1.0705534636557e-07	4.87101825963343e-06	0.0017996400719856	0.0251949610077984	1	1
GO:0043231	intracellular membrane-bounded organelle	0.732230543953584	247	1.18359808099129	3.13648139682599e-08	3.88065866729903e-07	346539	209	12196	1.17578238146922	7.30682879332978e-05	0.00147760315598447	0.0011997600479904	0.0251949610077984	1	1
GO:0030122	AP-2 adaptor complex	0.000790278866158552	6	26.6394971198985	1.4238721068871e-07	1.61965452158408e-06	252928	1	8	8.57646048109966	0.110839044776789	0.480901637834086	0.000799840031993601	0.0242618143038059	0.00599880023995201	0.320255948810238
GO:0030128	clathrin coat of endocytic vesicle	0.000873401724901713	6	24.1041790721406	2.54372562791261e-07	2.72328273105938e-06	252928	1	9	7.62352042764414	0.123803562161796	0.480901637834086	0.000799840031993601	0.0242618143038059	0.00599880023995201	0.320255948810238
GO:1990316	Atg1/ULK1 kinase complex	0.00107012732170996	6	19.6730156793934	8.21203942402704e-07	7.47295587586461e-06	252928	1	9	7.62352042764414	0.123803562161796	0.480901637834086	0.000799840031993601	0.0242618143038059	0.00579884023195361	0.320255948810238
GO:0030132	clathrin coat of coated pit	0.00127177449653068	6	16.5537456808401	2.20526353733597e-06	1.67232484914644e-05	252928	1	16	4.28823024054983	0.20943030564968	0.665344127804789	0.0013997200559888	0.0251949610077984	0.00879824035192961	0.320255948810238
GO:0030904	retromer complex	0.00139515707525825	6	15.0897930794283	3.73247703677748e-06	2.71724328277401e-05	252928	1	21	3.26722304041892	0.265436148513689	0.746191624171116	0.0017996400719856	0.0251949610077984	0.00759848030393921	0.320255948810238
GO:0030131	clathrin adaptor complex	0.00175573976644358	6	11.9907471376533	1.36089229143543e-05	8.5407723117672e-05	252928	1	24	2.85882016036655	0.297123022355909	0.772519858125363	0.0025994801039792	0.0315403585949477	0.0175964807038592	0.400319936012797
GO:0030125	clathrin vesicle coat	0.00239472078713708	6	8.79126773026266	7.53061317068093e-05	0.000415324726383009	252928	1	31	2.21328012415475	0.365861456657323	0.795250459507111	0.0017996400719856	0.0251949610077984	0.011997600479904	0.32753449310138
GO:0061695	transferase complex, transferring phosphorus-containing groups	0.0240783782396798	19	2.76873575134739	7.83073292019987e-05	0.000419174526904816	297431	10	322	2.13079763505582	0.0201969225037912	0.138937461326464	0.000399920015996801	0.0242618143038059	0.10877824435113	1
GO:1902911	protein kinase complex	0.0129288819555813	12	3.25668246508493	0.000404787245870009	0.0020748899787525	274758	5	151	2.27191006121845	0.0704116520284691	0.388330929369133	0.0017996400719856	0.0251949610077984	0.313337332533493	1
GO:1902554	serine/threonine protein kinase complex	0.0111023525502708	11	3.47642457337826	0.000410417797995	0.0020748899787525	255382	4	137	2.00326084230065	0.140321767442238	0.532053368218486	0.0011997600479904	0.0251949610077984	0.259148170365927	1
GO:0005776	autophagosome	0.0088016271631494	9	3.58785333473742	0.00109164172777398	0.00509432806294526	285093	2	117	1.17284929656064	0.51062149365839	0.846857727107347	0.00499900019996001	0.0454909018196361	0.212957408518296	1
GO:0005905	clathrin-coated pit	0.00683463228583573	7	3.59366861033236	0.00378999017015125	0.0149951784992941	261312	2	74	1.85436983375128	0.293353093084481	0.772519858125363	0.00399920015996801	0.0402235342405203	0.0615876824635073	0.862227554489102
GO:1990234	transferase complex	0.0658939684115361	31	1.65071147552131	0.00448767488816992	0.0173778048861048	298779	18	869	1.42118562632722	0.0857948125939868	0.457167142250558	0.002999400119976	0.0321112248138608	0.357728454309138	1
