id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper 	regions_empirical_p_value 	regions_empirical_p_adjust 	genes_empirical_p_value 	genes_empirical_p_adjust
GO:0000785 	chromatin 	0.139119504496778 	109 	2.74911948352816 	0 	0 	361416 	65 	1307 	3.10397593858006 	1.11022302462516e-16 	1.98729921407903e-14 	0.00379924015196961 	0.0523126144001969 	0.829234153169366 	1
GO:0032993 	protein-DNA complex 	0.144646247679909 	109 	2.64407923804027 	0 	0 	358536 	66 	1373 	3.00022603410603 	3.33066907387547e-16 	2.98094882111855e-14 	0.00599880023995201 	0.0596547357195228 	0.840431913617277 	1
GO:0005694 	chromosome 	0.175163117130119 	112 	2.24352285217913 	0 	0 	356928 	68 	1857 	2.28548084600672 	4.57451854174451e-11 	2.72946272990756e-09 	0.0197960407918416 	0.147645470905819 	0.948810237952409 	1
GO:0005634 	nucleus 	0.519532507290501 	202 	1.36424943555697 	5.79346570717121e-11 	2.59257590395912e-09 	346430 	149 	7112 	1.30760055855087 	1.74225847522358e-05 	0.000779660667662552 	0.0167966406718656 	0.136663576375634 	1 	1
GO:0034399 	nuclear periphery 	0.0126461822662886 	20 	5.54914021629757 	1.16061293908842e-09 	4.15499432193656e-08 	413342 	8 	143 	3.49168073306004 	0.00217194121138065 	0.0393635828656507 	0.0001999600079984 	0.0178964207158568 	0.161167766446711 	1
GO:0016363 	nuclear matrix 	0.0115943809975513 	19 	5.74991167538365 	1.72565484124476e-09 	5.14820360971354e-08 	427978 	7 	123 	3.5520044855621 	0.00368853141914549 	0.0550205936689202 	0.0001999600079984 	0.0178964207158568 	0.210757848430314 	1
GO:0031981 	nuclear lumen 	0.335846904090832 	143 	1.49399735371451 	5.77451653160921e-09 	1.47662637022578e-07 	351643 	86 	4227 	1.26983350056696 	0.00749787251049461 	0.089474611958569 	0.0939812037592481 	0.423548623608612 	1 	1
GO:0032991 	protein-containing complex 	0.454982489825043 	176 	1.35729148584727 	2.57113930146602e-08 	5.75292418703022e-07 	344461 	124 	5767 	1.34199936619171 	5.57562909959675e-05 	0.00166339601471303 	0.0767846430713857 	0.371471651615623 	0.999800039992002 	1
GO:0005654 	nucleoplasm 	0.312554634413518 	132 	1.48184619180553 	7.49901943875031e-08 	1.49147164392923e-06 	343129 	78 	3897 	1.24923681346394 	0.0167559650322602 	0.186319933486887 	0.135172965406919 	0.483919216156769 	1 	1
GO:0005667 	transcription regulator complex 	0.0526301757614071 	38 	2.53340087515164 	1.72227720085516e-07 	3.08287618953074e-06 	376297 	21 	487 	2.69135452807477 	4.13275110401345e-05 	0.00147952489523682 	0.200559888022396 	0.554246726412293 	0.818836232753449 	1
GO:0030122 	AP-2 adaptor complex 	0.000932295564541716 	6 	22.5814992365604 	3.71034569401907e-07 	5.53459899357844e-06 	252928 	1 	10 	6.24137931034483 	0.149183588672693 	0.635806246962192 	0.0013997200559888 	0.0278388766691106 	0.00639872025594881 	0.229074185162967
GO:0030128 	clathrin coat of endocytic vesicle 	0.000932295564541716 	6 	22.5814992365604 	3.71034569401907e-07 	5.53459899357844e-06 	252928 	1 	10 	6.24137931034483 	0.149183588672693 	0.635806246962192 	0.0013997200559888 	0.0278388766691106 	0.00639872025594881 	0.229074185162967
GO:1990316 	Atg1/ULK1 kinase complex 	0.0010635350351012 	6 	19.7949582139944 	7.92557329765131e-07 	1.09129047713814e-05 	252928 	1 	7 	8.91625615763547 	0.106922381630423 	0.627896910073977 	0.000999800039992002 	0.0278388766691106 	0.00379924015196961 	0.229074185162967
GO:0030904 	retromer complex 	0.0012240306283804 	6 	17.199432016504 	1.77290625247295e-06 	2.26678727994756e-05 	252928 	1 	19 	3.28493647912886 	0.264378028539183 	0.890883540581899 	0.0013997200559888 	0.0278388766691106 	0.00639872025594881 	0.229074185162967
GO:0043231 	intracellular membrane-bounded organelle 	0.724382002260601 	240 	1.16251544147965 	1.93160498707101e-06 	2.30504861790474e-05 	346326 	204 	11268 	1.12996217546179 	0.00222308417809414 	0.0393635828656507 	0.00719856028794241 	0.0662167566486703 	1 	1
GO:0030132 	clathrin coat of coated pit 	0.00141605182567749 	6 	14.8671335308473 	4.06047052425862e-06 	4.54265139901433e-05 	252928 	1 	17 	3.67139959432049 	0.240202796501794 	0.859926011476422 	0.0013997200559888 	0.0278388766691106 	0.00879824035192961 	0.2624808371659
GO:0043232 	intracellular non-membrane-bounded organelle 	0.396144410935455 	149 	1.31973846686188 	1.0165457496436e-05 	0.000101317362073836 	362728 	102 	4979 	1.27861154781115 	0.00240261136985165 	0.0393635828656507 	0.314337132573485 	0.646739617593723 	1 	1
GO:0043228 	non-membrane-bounded organelle 	0.396158774672196 	149 	1.31969061641121 	1.01883380856371e-05 	0.000101317362073836 	362728 	102 	4980 	1.27835479850436 	0.00241899112582211 	0.0393635828656507 	0.314337132573485 	0.646739617593723 	1 	1
GO:0031974 	membrane-enclosed lumen 	0.397726961740068 	149 	1.31448724335047 	1.30022686311015e-05 	0.000110828861188913 	344258 	94 	5277 	1.11178634673567 	0.122385026417967 	0.627896910073977 	0.279144171165767 	0.607615826232344 	1 	1
GO:0043233 	organelle lumen 	0.397726961740068 	149 	1.31448724335047 	1.30022686311015e-05 	0.000110828861188913 	344258 	94 	5277 	1.11178634673567 	0.122385026417967 	0.627896910073977 	0.279144171165767 	0.607615826232344 	1 	1
GO:0070013 	intracellular organelle lumen 	0.397726961740068 	149 	1.31448724335047 	1.30022686311015e-05 	0.000110828861188913 	344258 	94 	5277 	1.11178634673567 	0.122385026417967 	0.627896910073977 	0.279144171165767 	0.607615826232344 	1 	1
GO:0030119 	AP-type membrane coat adaptor complex 	0.00282463516182714 	7 	8.69542510859498 	2.03656597065338e-05 	0.000165702413066798 	253980 	2 	39 	3.20070733863837 	0.128983295895714 	0.627896910073977 	0.0117976404719056 	0.10056084021291 	0.101579684063187 	1
GO:0030131 	clathrin adaptor complex 	0.0019344623547897 	6 	10.8829368154006 	2.33351868164089e-05 	0.000181608627832052 	252928 	1 	25 	2.49655172413793 	0.332400044462433 	0.949124588242239 	0.00599880023995201 	0.0596547357195228 	0.0255948810237952 	0.560754515763514
GO:0043227 	membrane-bounded organelle 	0.762491097157954 	245 	1.12742184926644 	3.28601521324412e-05 	0.000245081967987791 	343577 	213 	12250 	1.0852357494722 	0.0187360826970054 	0.186319933486887 	0.0249950009998 	0.1720809684217 	1 	1
GO:0061695 	transferase complex, transferring phosphorus-containing groups 	0.0227716288134984 	19 	2.92761959246185 	3.7759603282117e-05 	0.000270358759499958 	297431 	10 	289 	2.15964682018852 	0.0185083862477446 	0.186319933486887 	0.000599880023995201 	0.0278388766691106 	0.100979804039192 	1
GO:0043229 	intracellular organelle 	0.761834708157043 	244 	1.12378753778268 	5.69576799838156e-05 	0.000392131719888577 	347251 	213 	12291 	1.08161564811931 	0.0228211128581775 	0.214998905348093 	0.0191961607678464 	0.147645470905819 	1 	1
GO:0030125 	clathrin vesicle coat 	0.00245210969550075 	6 	8.58551785736818 	8.56335231478322e-05 	0.000567718542350443 	252928 	1 	32 	1.95043103448276 	0.403875440600584 	0.999996266334608 	0.002999400119976 	0.0520623148097653 	0.0181963607278544 	0.465306938612278
GO:0016604 	nuclear body 	0.0655031808884098 	36 	1.92839168663998 	0.000134468161653523 	0.000859635747713591 	354135 	14 	770 	1.13479623824451 	0.352262410383892 	0.970076483980258 	0.118376324735053 	0.459976089888405 	0.993201359728054 	1
GO:1902554 	serine/threonine protein kinase complex 	0.0105149646994405 	11 	3.6706248980678 	0.000261069596314556 	0.00161047963032188 	255382 	4 	124 	2.01334816462736 	0.138379715707282 	0.627896910073977 	0.0031993601279744 	0.0520623148097653 	0.300939812037592 	1
GO:1902911 	protein kinase complex 	0.0123504743336587 	12 	3.40920211000686 	0.000269912787204785 	0.00161047963032188 	274758 	5 	138 	2.26136931534233 	0.0713705070233943 	0.580696398053981 	0.00359928014397121 	0.0523126144001969 	0.309738052389522 	1
GO:0005622 	intracellular anatomical structure 	0.815201330089103 	254 	1.09326130525085 	0.000312546783799661 	0.00175899734011103 	346369 	235 	13772 	1.06500445681893 	0.0251848226681852 	0.225404162880258 	0.0441911617676465 	0.239703574436628 	1 	1
GO:0031312 	extrinsic component of organelle membrane 	0.00201439731907396 	5 	8.70923500691903 	0.000314457625047782 	0.00175899734011103 	426753 	1 	22 	2.83699059561129 	0.299211029479362 	0.926996013256549 	0.00539892021595681 	0.0596547357195228 	0.00539892021595681 	0.229074185162967
GO:0005776 	autophagosome 	0.0089540337082677 	9 	3.52678450822255 	0.00122758398864131 	0.00629732516240957 	285093 	2 	102 	1.2237998647735 	0.488257902686382 	0.999996266334608 	0.00439912017596481 	0.0562458936784072 	0.215556888622276 	1
GO:0030120 	vesicle coat 	0.00407472448712346 	6 	5.16663927720163 	0.00123016839436141 	0.00629732516240957 	252928 	1 	59 	1.05786090005845 	0.614995865615482 	0.999996266334608 	0.00559888022395521 	0.0596547357195228 	0.0281943611277744 	0.560754515763514
GO:0043226 	organelle 	0.795700786333877 	247 	1.08918664094799 	0.00123132056248232 	0.00629732516240957 	344253 	218 	13010 	1.04582681756739 	0.115794665397594 	0.627896910073977 	0.0693861227754449 	0.345003221577907 	1 	1
GO:0030118 	clathrin coat 	0.00460808969636043 	6 	4.56862452038969 	0.00227106434212132 	0.0112922365899921 	252928 	1 	48 	1.30028735632184 	0.539897009838223 	0.999996266334608 	0.0213957208558288 	0.153193361327734 	0.0661867626474705 	1
GO:0005575 	cellular_component 	0.914677346003947 	273 	1.047248782346 	0.00336528625206478 	0.0162807091653945 	348336 	275 	16804 	1.02141115826281 	0.109875925529735 	0.627896910073977 	0.245550889822036 	0.607615826232344 	1 	1
GO:1990234 	transferase complex 	0.0649763184392207 	31 	1.67402420508492 	0.00366836189150277 	0.017279915225763 	276780 	19 	819 	1.44793903414593 	0.0685269532234528 	0.580696398053981 	0.0013997200559888 	0.0278388766691106 	0.169766046790642 	1
GO:0016605 	PML body 	0.00741634285916626 	7 	3.31179450238269 	0.00584952329004684 	0.0263050171300487 	312068 	3 	96 	1.95043103448276 	0.199497448022317 	0.74395923324989 	0.138972205558888 	0.487765192059627 	0.404919016196761 	1
GO:0030117 	membrane coat 	0.00746334702687242 	7 	3.29093681699866 	0.00604643063292354 	0.0263050171300487 	253980 	2 	92 	1.3568215892054 	0.435135022696167 	0.999996266334608 	0.0305938812237553 	0.188838094450076 	0.178564287142571 	1
GO:0048475 	coated membrane 	0.00746334702687242 	7 	3.29093681699866 	0.00604643063292354 	0.0263050171300487 	253980 	2 	92 	1.3568215892054 	0.435135022696167 	0.999996266334608 	0.0305938812237553 	0.188838094450076 	0.178564287142571 	1
GO:0016607 	nuclear speck 	0.0350621189897432 	19 	1.90138726886897 	0.00617212692436897 	0.0263050171300487 	364839 	6 	379 	0.988081157310527 	0.569039259260843 	0.999996266334608 	0.173565286942611 	0.527347863760581 	0.984003199360128 	1
GO:0000118 	histone deacetylase complex 	0.00790575529268101 	7 	3.10677507707712 	0.00815033837640389 	0.0339281527761929 	389572 	3 	75 	2.49655172413793 	0.119093881365704 	0.627896910073977 	0.252749450109978 	0.607615826232344 	0.584483103379324 	1
GO:0110165 	cellular anatomical entity 	0.911768841134424 	271 	1.04289283652134 	0.00896171602077622 	0.0364578901754305 	348520 	273 	16700 	1.02029733636176 	0.135514273146434 	0.627896910073977 	0.381523695260948 	0.717207501895847 	1 	1
GO:0010008 	endosome membrane 	0.0451385196190104 	22 	1.71013544767716 	0.0108562005518393 	0.0431835533062054 	334398 	10 	509 	1.22620418670822 	0.300367423289831 	0.926996013256549 	0.0403919216156769 	0.225942311537692 	0.809038192361528 	1
GO:0005905 	clathrin-coated pit 	0.0066173911499726 	6 	3.18140957695006 	0.0124805075765284 	0.0485654533956214 	252928 	1 	71 	0.879067508499271 	0.683053445020652 	0.999996266334608 	0.00739852029594081 	0.0662167566486703 	0.0313937212557489 	0.561947610477904
GO:0090575 	RNA polymerase II transcription regulator complex 	0.0225977563180781 	13 	2.01852053122762 	0.0139308597970347 	0.0530558277376427 	276369 	10 	237 	2.63349337989233 	0.00503197582875825 	0.0692864364113636 	0.277344531093781 	0.607615826232344 	0.330533893221356 	1
GO:0030669 	clathrin-coated endocytic vesicle membrane 	0.00744967295101402 	6 	2.82598064604726 	0.0209686378647267 	0.0781955453705433 	252928 	1 	60 	1.04022988505747 	0.621184613410588 	0.999996266334608 	0.0975804839032194 	0.423548623608612 	0.207358528294341 	1
GO:0035869 	ciliary transition zone 	0.00548879617590107 	5 	3.19630372250846 	0.0214176995676314 	0.0782401678082861 	380998 	3 	67 	2.79464745239321 	0.0924742478226891 	0.627896910073977 	0.349130173965207 	0.671981732685721 	0.228154369126175 	1
GO:0030665 	clathrin-coated vesicle membrane 	0.0124714703317081 	8 	2.25075108964735 	0.0280174613804829 	0.100302511742129 	297127 	2 	120 	1.04022988505747 	0.575603493657587 	0.999996266334608 	0.0373925214957009 	0.215911656378402 	0.34753049390122 	1
GO:0045334 	clathrin-coated endocytic vesicle 	0.00852141277203544 	6 	2.47055648425287 	0.0367393247559368 	0.12894782610417 	252928 	1 	76 	0.821234119782214 	0.70773987086557 	0.999996266334608 	0.102779444111178 	0.427849313858159 	0.214557088582284 	1
GO:0005657 	replication fork 	0.00639409897172812 	5 	2.74375791283401 	0.0375239991682316 	0.129169150982951 	267592 	2 	74 	1.68685927306617 	0.332839997009154 	0.949124588242239 	0.202359528094381 	0.554246726412293 	0.179764047190562 	1
GO:0000228 	nuclear chromosome 	0.0161511746977659 	9 	1.9552105626589 	0.0438462236670228 	0.146405602305265 	221923 	5 	217 	1.43810583187669 	0.268758163080573 	0.890883540581899 	0.120775844831034 	0.459976089888405 	0.389322135572885 	1
GO:0030315 	T-tubule 	0.00669510292806241 	5 	2.62040178285953 	0.0441670532094096 	0.146405602305265 	401746 	5 	49 	6.36875439831105 	0.00109280548567248 	0.027944597419339 	0.15996800639872 	0.520623148097653 	0.0743851229754049 	1
GO:0036064 	ciliary basal body 	0.0139319984762661 	8 	2.01479891678251 	0.0481690177267714 	0.156768257692583 	448239 	5 	166 	1.8799335272123 	0.128649331690845 	0.627896910073977 	0.296940611877624 	0.625321994424645 	0.448110377924415 	1
GO:0005768 	endosome 	0.0868581383388131 	32 	1.29269063212483 	0.081652693798713 	0.260997003392315 	340602 	16 	978 	1.02108454974967 	0.502564282671344 	0.999996266334608 	0.0635872825434913 	0.325203530722427 	0.90621875624875 	1
GO:0030136 	clathrin-coated vesicle 	0.0187008445162694 	9 	1.68863750195602 	0.0897819662130773 	0.281946876353348 	274769 	3 	196 	0.955313159746657 	0.610786155254868 	0.999996266334608 	0.0975804839032194 	0.423548623608612 	0.637672465506899 	1
GO:0030662 	coated vesicle membrane 	0.0166403233172704 	8 	1.6868768054202 	0.106122593321524 	0.327516279388841 	297127 	2 	178 	0.701278574196048 	0.781572051278559 	0.999996266334608 	0.0633873225354929 	0.325203530722427 	0.439712057588482 	1
GO:0005737 	cytoplasm 	0.724395948660599 	215 	1.04140003309948 	0.142665766343486 	0.423887932244314 	347147 	172 	11197 	0.958754346145673 	0.832251939734372 	0.999996266334608 	0.220355928814237 	0.563481589396406 	1 	1
GO:0005829 	cytosol 	0.381663645958238 	118 	1.0848166758974 	0.143793568756887 	0.423887932244314 	322636 	70 	5127 	0.852148530766799 	0.953455615595527 	0.999996266334608 	0.286342731453709 	0.61018272535969 	1 	1
GO:1902494 	catalytic complex 	0.124814165283793 	42 	1.18070269281981 	0.14445342942404 	0.423887932244314 	305467 	29 	1619 	1.11797405806053 	0.290926101304233 	0.926996013256549 	0.193161367726455 	0.554246726412293 	0.810837832433513 	1
GO:0098796 	membrane protein complex 	0.116190917580574 	39 	1.17773495650607 	0.159495595919142 	0.460479220476232 	377327 	24 	1166 	1.2846749866919 	0.124455043024869 	0.627896910073977 	0.0281943611277744 	0.186918171921171 	0.671065786842632 	1
GO:0005635 	nuclear envelope 	0.0428280521762009 	16 	1.31083128988037 	0.166188752024101 	0.472187089084351 	443490 	9 	467 	1.20283541312855 	0.334049436085257 	0.949124588242239 	0.130173965206959 	0.483919216156769 	0.674265146970606 	1
GO:0031968 	organelle outer membrane 	0.0192117746416726 	8 	1.46109227086752 	0.18565867472141 	0.519264105861443 	316324 	7 	233 	1.87509249667012 	0.0817918837056059 	0.627896910073977 	0.219556088782244 	0.563481589396406 	0.151369726054789 	1
GO:0140513 	nuclear protein-containing complex 	0.0924593019224011 	31 	1.176430359769 	0.195795042069182 	0.527872275167193 	358182 	21 	1195 	1.09681142692252 	0.362254025493855 	0.982476826718182 	0.668666266746651 	0.92783923835388 	0.929414117176565 	1
GO:0019867 	outer membrane 	0.0195217023196556 	8 	1.43789588525452 	0.196655033609583 	0.527872275167193 	316324 	7 	235 	1.85913426265591 	0.084673421322501 	0.627896910073977 	0.219756048790242 	0.563481589396406 	0.151569686062787 	1
GO:0055037 	recycling endosome 	0.0165851317243079 	7 	1.48092905845141 	0.197583477297218 	0.527872275167193 	316977 	4 	185 	1.34948741845294 	0.344590502184423 	0.963776560797058 	0.151369726054789 	0.501762610440875 	0.422315536892621 	1
GO:0005741 	mitochondrial outer membrane 	0.0169999351728982 	7 	1.44479395121038 	0.214109994884788 	0.56361307477025 	349642 	6 	207 	1.80909545227386 	0.116285191026487 	0.627896910073977 	0.272145570885823 	0.607615826232344 	0.202359528094381 	1
GO:0005815 	microtubule organizing center 	0.0708784927872465 	24 	1.18809702357189 	0.218901591516593 	0.567875143209712 	419665 	12 	821 	0.912260069721534 	0.668981176100329 	0.999996266334608 	0.327734453109378 	0.651827412295319 	0.955208958208358 	1
GO:0005813 	centrosome 	0.0595693927714259 	20 	1.17804522308565 	0.256701140555018 	0.642726106162917 	431452 	9 	688 	0.816459502806736 	0.777377193589431 	0.999996266334608 	0.276944611077784 	0.607615826232344 	0.970205958808238 	1
GO:0031967 	organelle envelope 	0.0893424656820515 	29 	1.13892520413564 	0.258526701920279 	0.642726106162917 	403543 	20 	1183 	1.05517824350716 	0.434948933450982 	0.999996266334608 	0.204359128174365 	0.554246726412293 	0.620875824835033 	1
GO:0031975 	envelope 	0.0893424656820515 	29 	1.13892520413564 	0.258526701920279 	0.642726106162917 	403543 	20 	1183 	1.05517824350716 	0.434948933450982 	0.999996266334608 	0.204359128174365 	0.554246726412293 	0.620875824835033 	1
GO:0030135 	coated vesicle 	0.0247281398922488 	9 	1.27704499837126 	0.275543155213036 	0.675185467095226 	274769 	3 	285 	0.656987295825771 	0.838171505878799 	0.999996266334608 	0.147570485902819 	0.498398433520843 	0.72245550889822 	1
GO:0005773 	vacuole 	0.0606448927080045 	20 	1.15715331436688 	0.282542225701023 	0.675185467095226 	353056 	10 	770 	0.810568741603224 	0.7937523427191 	0.999996266334608 	0.099380123975205 	0.423548623608612 	0.838632273545291 	1
GO:0042383 	sarcolemma 	0.0186203267783264 	7 	1.31906404227883 	0.28289893872705 	0.675185467095226 	370720 	7 	135 	3.23627075351213 	0.00611929540097234 	0.0782395626267177 	0.146170765846831 	0.498398433520843 	0.0945810837832434 	1
GO:0140535 	intracellular protein-containing complex 	0.0614951999842496 	20 	1.14115310812006 	0.303603447686914 	0.715066014946811 	224666 	13 	866 	0.936927610097953 	0.635282633401011 	0.999996266334608 	0.170965806838632 	0.527347863760581 	0.734653069386123 	1
GO:0045177 	apical part of cell 	0.0452748495085489 	15 	1.16249042279932 	0.312416760124883 	0.726267533277326 	426249 	10 	439 	1.42172649438379 	0.168796908685266 	0.681577184632946 	0.414917016596681 	0.717207501895847 	0.680063987202559 	1
GO:0019898 	extrinsic component of membrane 	0.0228703568666547 	8 	1.22736062241002 	0.329055709229864 	0.755140666053151 	426887 	2 	169 	0.738624770455009 	0.756663462155484 	0.999996266334608 	0.0351929614077185 	0.20998466973272 	0.322135572885423 	1
GO:1990351 	transporter complex 	0.049478480329166 	16 	1.13464177767198 	0.33838097829285 	0.766711330562281 	438279 	10 	435 	1.43479984145858 	0.162264023987032 	0.675471169620437 	0.117976404719056 	0.459976089888405 	0.588482303539292 	1
