id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper
GO:0000122 	negative regulation of transcription by RNA polymerase II 	0.105549340878516 	81 	2.69267930950803 	0 	0 	401974 	42 	966 	2.98311668907814 	2.20671925177385e-10 	6.1538321775882e-09
GO:0045944 	positive regulation of transcription by RNA polymerase II 	0.13449221935263 	101 	2.63499231864934 	0 	0 	345007 	59 	1255 	3.22556920085979 	6.66133814775094e-16 	1.09393975359732e-13
GO:0045893 	positive regulation of DNA-templated transcription 	0.168090239347535 	113 	2.35879983043162 	0 	0 	346736 	66 	1713 	2.64353247753685 	1.50879309046559e-13 	1.11499809385407e-11
GO:1902680 	positive regulation of RNA biosynthetic process 	0.168914375252751 	113 	2.34729120879674 	0 	0 	348101 	67 	1720 	2.67266442899385 	5.57331958361829e-14 	4.84550961446343e-12
GO:0006357 	regulation of transcription by RNA polymerase II 	0.230489812821485 	149 	2.26824349043476 	0 	0 	349476 	91 	2558 	2.44083785388606 	1.11022302462516e-16 	2.05113703799498e-14
GO:0006366 	transcription by RNA polymerase II 	0.234518108766052 	149 	2.22928208100721 	0 	0 	349476 	91 	2671 	2.33757515171866 	1.4432899320127e-15 	2.13318251951478e-13
GO:0051254 	positive regulation of RNA metabolic process 	0.177859370863231 	113 	2.22924002342876 	0 	0 	348101 	67 	1848 	2.4875448148644 	1.58939528205337e-12 	8.70046750694403e-11
GO:0045935 	positive regulation of nucleobase-containing compound metabolic process 	0.191319744097564 	117 	2.14576032246899 	0 	0 	346931 	71 	2040 	2.387955663365 	1.99829042202282e-12 	1.01843904956887e-10
GO:0006355 	regulation of DNA-templated transcription 	0.290523291881445 	160 	1.93238726277762 	0 	0 	353791 	104 	3442 	2.07310142948138 	1.90958360235527e-14 	2.01597468877221e-12
GO:2001141 	regulation of RNA biosynthetic process 	0.291901851140802 	160 	1.92326121460988 	0 	0 	354653 	105 	3465 	2.07914193481204 	1.08801856413265e-14 	1.23699341368312e-12
GO:0006351 	DNA-templated transcription 	0.2966287190955 	160 	1.89261346805461 	0 	0 	353791 	104 	3572 	1.99765260925949 	2.22488694134881e-13 	1.42973169535372e-11
GO:0032774 	RNA biosynthetic process 	0.299079518571484 	160 	1.87710449533089 	0 	0 	354653 	105 	3609 	1.99618365312378 	1.66311409088848e-13 	1.1173102846969e-11
GO:0051252 	regulation of RNA metabolic process 	0.314165662493812 	164 	1.83164064437679 	0 	0 	352621 	108 	3745 	1.97865470111351 	1.08468789505878e-13 	8.43773004682565e-12
GO:0019219 	regulation of nucleobase-containing compound metabolic process 	0.329895666804604 	169 	1.79748482871578 	0 	0 	349813 	112 	4031 	1.90635291269295 	3.70814490224802e-13 	2.22507345881695e-11
GO:0034654 	nucleobase-containing compound biosynthetic process 	0.321940232780761 	164 	1.78740815188233 	0 	0 	349484 	109 	4029 	1.85621085617247 	5.53024293026283e-12 	2.27047195859124e-10
GO:0019438 	aromatic compound biosynthetic process 	0.327667386106308 	166 	1.77758350402901 	0 	0 	348417 	110 	4114 	1.83453700130474 	8.89255336034012e-12 	3.45873522804808e-10
GO:0018130 	heterocycle biosynthetic process 	0.325287912066936 	164 	1.76901315771248 	0 	0 	349484 	109 	4103 	1.82273300987543 	1.79058989857594e-11 	6.61622967523812e-10
GO:1901362 	organic cyclic compound biosynthetic process 	0.33682583482387 	169 	1.76050170394568 	0 	0 	346424 	113 	4261 	1.81955415980148 	6.47770725947794e-12 	2.58758144040767e-10
GO:0090304 	nucleic acid metabolic process 	0.379824464713808 	189 	1.74595887401967 	0 	0 	339202 	129 	5118 	1.72936835023346 	2.6674218389644e-12 	1.31414982599646e-10
GO:0016070 	RNA metabolic process 	0.350964068115493 	174 	1.73956929285583 	0 	0 	347364 	117 	4556 	1.76197695573075 	1.85953474840517e-11 	6.70339599547033e-10
GO:0006139 	nucleobase-containing compound metabolic process 	0.405855456733396 	192 	1.65991167384711 	0 	0 	337770 	133 	5623 	1.62286216466122 	1.08841158308337e-10 	3.28300473428004e-09
GO:0046483 	heterocycle metabolic process 	0.41679086165071 	193 	1.62477886337071 	0 	0 	336179 	135 	5795 	1.59837399820321 	2.09078088175829e-10 	5.94264258315145e-09
GO:0006725 	cellular aromatic compound metabolic process 	0.423040051160883 	195 	1.61736583672921 	0 	0 	335417 	136 	5847 	1.59589345022001 	1.86510917821181e-10 	5.40515953999423e-09
GO:1901360 	organic cyclic compound metabolic process 	0.434949916610485 	197 	1.58921301919564 	0 	0 	333345 	138 	6088 	1.55525827383936 	8.04022404210514e-10 	1.91668566681151e-08
GO:0034641 	cellular nitrogen compound metabolic process 	0.436181128086021 	196 	1.5766828364706 	0 	0 	337904 	136 	6212 	1.50212314929756 	1.41066727188388e-08 	2.42437933470276e-07
