id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper
GO:0001227 	DNA-binding transcription repressor activity, RNA polymerase II-specific 	0.035758689077043 	48 	4.7099336407079 	0 	0 	423383 	18 	324 	3.81176021382207 	1.42555949855794e-06 	1.56811544841373e-05
GO:0001217 	DNA-binding transcription repressor activity 	0.036174299966707 	48 	4.65582064577849 	0 	0 	423383 	18 	329 	3.75383072728982 	1.77247143717807e-06 	1.84140088195722e-05
GO:0000978 	RNA polymerase II cis-regulatory region sequence-specific DNA binding 	0.115743000197422 	112 	3.39530213896343 	0 	0 	379392 	61 	1190 	3.51706950821566 	0 	0
GO:0000987 	cis-regulatory region sequence-specific DNA binding 	0.117480627344937 	112 	3.34508305770711 	0 	0 	379392 	61 	1210 	3.45893612791457 	0 	0
GO:0000981 	DNA-binding transcription factor activity, RNA polymerase II-specific 	0.12966237849225 	121 	3.27436075479789 	0 	0 	373546 	66 	1359 	3.33213475645373 	0 	0
GO:0000977 	RNA polymerase II transcription regulatory region sequence-specific DNA binding 	0.130670153117342 	121 	3.2491077218492 	0 	0 	369820 	66 	1405 	3.22303995303959 	0 	0
GO:0003700 	DNA-binding transcription factor activity 	0.132120218568457 	122 	3.24000505052748 	0 	0 	373593 	67 	1413 	3.25334948186087 	0 	0
GO:0000976 	transcription cis-regulatory region binding 	0.137882911215434 	121 	3.07914446950876 	0 	0 	369820 	66 	1502 	3.01489423037325 	2.22044604925031e-16 	5.19029264012261e-15
GO:0001067 	transcription regulatory region nucleic acid binding 	0.138250130786306 	121 	3.07096565546848 	0 	0 	369820 	66 	1504 	3.01088506251371 	2.22044604925031e-16 	5.19029264012261e-15
GO:1990837 	sequence-specific double-stranded DNA binding 	0.14347511533483 	123 	3.00804042820414 	0 	0 	371463 	68 	1560 	2.99076570622962 	1.11022302462516e-16 	3.46019509341507e-15
GO:0003690 	double-stranded DNA binding 	0.149649410940947 	124 	2.90738009967801 	0 	0 	371525 	69 	1661 	2.85021444043769 	8.88178419700125e-16 	1.66089364483923e-14
GO:0043565 	sequence-specific DNA binding 	0.149893037222288 	124 	2.90265463533853 	0 	0 	372904 	69 	1666 	2.8416603754904 	9.99200722162641e-16 	1.69864122767649e-14
GO:0140110 	transcription regulator activity 	0.175532508145599 	138 	2.75852337228698 	0 	0 	359203 	76 	1926 	2.70741846963063 	3.33066907387547e-16 	6.92039018683014e-15
GO:0003677 	DNA binding 	0.205614758481203 	142 	2.42319966579946 	0 	0 	364934 	88 	2514 	2.4016818531003 	1.11022302462516e-15 	1.73009754670754e-14
