id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper
GO:0045944 	positive regulation of transcription by RNA polymerase II 	0.13223714263981 	95 	2.52072395606183 	0 	0 	327449 	57 	1168 	3.04587860179499 	2.74225087082414e-14 	1.3062254981359e-11
GO:0045893 	positive regulation of DNA-templated transcription 	0.165932119219343 	107 	2.26260351677267 	0 	0 	331711 	64 	1579 	2.52975475530126 	2.59214871789482e-12 	2.31511282366981e-10
GO:1902680 	positive regulation of RNA biosynthetic process 	0.166460344991256 	107 	2.25542363564697 	0 	0 	333276 	65 	1582 	2.56440995684206 	9.04498698162115e-13 	1.43614293297074e-10
GO:0006357 	regulation of transcription by RNA polymerase II 	0.226958554045935 	142 	2.19531542280731 	0 	0 	338115 	88 	2413 	2.27617645797905 	2.35367281220533e-14 	1.3062254981359e-11
GO:0006366 	transcription by RNA polymerase II 	0.232318151480298 	142 	2.1446693289368 	0 	0 	338115 	88 	2525 	2.17521338340731 	3.28848059893971e-13 	5.87404846985606e-11
GO:0006355 	regulation of DNA-templated transcription 	0.285483402986944 	154 	1.89275758779467 	0 	0 	343146 	102 	3165 	2.01143977774146 	2.60902410786912e-13 	5.32613635734996e-11
GO:2001141 	regulation of RNA biosynthetic process 	0.286534534338298 	154 	1.88581414258086 	0 	0 	344096 	103 	3184 	2.01903916132386 	1.44995127016045e-13 	3.45330060843215e-11
GO:0006351 	DNA-templated transcription 	0.290722761484365 	154 	1.85864661725856 	0 	0 	343146 	102 	3276 	1.94328659845901 	2.32502905817e-12 	2.21497768274996e-10
GO:0032774 	RNA biosynthetic process 	0.292708197812005 	154 	1.84603943870417 	0 	0 	344096 	103 	3306 	1.94453136408202 	1.62736490949555e-12 	1.66107461119225e-10
GO:0034654 	nucleobase-containing compound biosynthetic process 	0.316136227881001 	159 	1.76472889735404 	0 	0 	341404 	108 	3689 	1.82724035109038 	1.89781523829424e-11 	1.12999082313436e-09
GO:0019438 	aromatic compound biosynthetic process 	0.321694145029603 	161 	1.75605397061165 	0 	0 	340395 	109 	3767 	1.80597383814066 	3.02837754873053e-11 	1.60279685819849e-09
GO:1901362 	organic cyclic compound biosynthetic process 	0.331257823981034 	164 	1.73713209117794 	0 	0 	339889 	111 	3902 	1.77548206931901 	5.236522326868e-11 	2.49433013503146e-09
GO:0090304 	nucleic acid metabolic process 	0.371805830044057 	176 	1.66093108216175 	0 	0 	338953 	121 	4684 	1.61231190553314 	2.37269204284019e-09 	8.69378699799647e-08
GO:0018130 	heterocycle biosynthetic process 	0.319564112753573 	159 	1.74579908874911 	1.11022302462516e-16 	1.13322050156382e-14 	341404 	108 	3757 	1.79416812754123 	6.00641758552456e-11 	2.68224085303581e-09
GO:0051252 	regulation of RNA metabolic process 	0.310507754271075 	155 	1.751517125231 	2.22044604925031e-16 	2.11534493625246e-14 	342646 	104 	3469 	1.87115436228268 	1.33998367957133e-11 	9.11826989574969e-10
GO:0019219 	regulation of nucleobase-containing compound metabolic process 	0.326917683536946 	160 	1.71726259252196 	4.44089209850063e-16 	3.96627175547337e-14 	342574 	108 	3755 	1.79512374305524 	5.80966386110049e-11 	2.67806763145568e-09
GO:0045935 	positive regulation of nucleobase-containing compound metabolic process 	0.190860517433301 	113 	2.07738736854643 	7.7715611723761e-16 	6.53268289136791e-14 	338113 	70 	1914 	2.28263611141138 	2.29070096224859e-11 	1.3093646700213e-09
GO:0051254 	positive regulation of RNA metabolic process 	0.176106088822148 	107 	2.1318887893217 	1.33226762955019e-15 	1.05767246812623e-13 	333276 	65 	1717 	2.36278191713695 	3.36088934460577e-11 	1.6561071977385e-09
GO:0016070 	RNA metabolic process 	0.344652809125808 	163 	1.6594375830334 	3.99680288865056e-15 	3.00601648835877e-13 	341645 	112 	4170 	1.67634168527247 	1.4902816758422e-09 	5.75570949940135e-08
GO:0001967 	suckling behavior 	0.0018186759175304 	13 	25.0809034463156 	1.49880108324396e-14 	1.07089337397781e-12 	332325 	3 	12 	15.6034482758621 	0.000804492342613927 	0.00450831199056981
GO:0006139 	nucleobase-containing compound metabolic process 	0.40050173707518 	178 	1.55944742729426 	2.02060590481778e-14 	1.3749742085641e-12 	339140 	126 	5196 	1.51349844708131 	4.97986305525444e-08 	1.09517071104497e-06
