id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	regions_empirical_p_value	regions_empirical_p_adjust	genes_empirical_p_value	genes_empirical_p_adjust
GO:2000109	regulation of macrophage apoptotic process	0.00103168876940896	37	10.3174709155408	0	0	383530	2	9	2.75070606874699	0.160827170464253	0.312333543792168	0.0001999600079984	0.00586295784321397	0.843231353729254	1
GO:1905563	negative regulation of vascular endothelial cell proliferation	0.00098007926009741	35	10.2737046778958	0	0	389257	1	5	2.47563546187229	0.343762764345307	0.52810499800154	0.0001999600079984	0.00586295784321397	0.998400319936013	1
GO:0021527	spinal cord association neuron differentiation	0.00135882188653029	46	9.73902611694633	0	0	314538	7	12	7.22060343046084	1.2211641480242e-05	0.000108895546753563	0.001999600079984	0.0385280086839775	0.215156968606279	1
GO:0010694	positive regulation of alkaline phosphatase activity	0.00109807662896489	37	9.69369403873118	0	0	376932	2	6	4.12605910312048	0.0786180669075479	0.185946721160114	0.0001999600079984	0.00586295784321397	0.751449710057988	1
GO:2000987	positive regulation of behavioral fear response	0.00109308901234857	35	9.21155072040973	0	0	389257	1	6	2.06302955156024	0.396791703832859	0.573297065393217	0.0001999600079984	0.00586295784321397	0.989402119576085	1
GO:1903367	positive regulation of fear response	0.00112201153799731	35	8.9741010124939	0	0	389257	1	7	1.76831104419449	0.445537945401876	0.617277148290478	0.0001999600079984	0.00586295784321397	0.989402119576085	1
GO:0071888	macrophage apoptotic process	0.0011889171538236	37	8.9530366670496	0	0	383530	2	13	1.90433497067099	0.283297652666254	0.461470663084071	0.0001999600079984	0.00586295784321397	0.843231353729254	1
GO:0021516	dorsal spinal cord development	0.00254469173323205	77	8.7051403692194	0	0	303853	10	20	6.18908865468072	1.0012095995604e-06	1.08682611461336e-05	0.000999800039992002	0.0219265090071417	0.410117976404719	1
GO:0002634	regulation of germinal center formation	0.00122043118406557	35	8.25039953963558	0	0	389257	1	8	1.54727216367018	0.490347169013619	0.655294272189367	0.0001999600079984	0.00586295784321397	0.995200959808038	1
GO:0030220	platelet formation	0.0013392451849466	37	7.94807328181018	0	0	370197	2	22	1.12528884630559	0.540349514370394	0.694422494051519	0.0001999600079984	0.00586295784321397	0.648870225954809	1
GO:0033034	positive regulation of myeloid cell apoptotic process	0.00148928182924024	41	7.92003677670284	0	0	415349	2	10	2.47563546187229	0.190770775082646	0.35126564217436	0.0001999600079984	0.00586295784321397	0.997200559888022	1
GO:0071374	cellular response to parathyroid hormone stimulus	0.00134077530620583	36	7.72443512927384	0	0	378954	2	11	2.25057769261117	0.221355585372195	0.389756326071473	0.0001999600079984	0.00586295784321397	0.723455308938212	1
GO:0010692	regulation of alkaline phosphatase activity	0.00149759384279042	40	7.68397914915884	0	0	362998	3	9	4.12605910312048	0.0305351139136634	0.0909144258080651	0.0001999600079984	0.00586295784321397	0.747050589882024	1
GO:0071236	cellular response to antibiotic	0.00131164138894375	35	7.67667516750132	0	0	389257	1	13	0.952167485335495	0.665605755470663	0.785077186437304	0.0001999600079984	0.00586295784321397	0.99500099980004	1
GO:2000822	regulation of behavioral fear response	0.00131431697361508	35	7.66104758692735	0	0	389257	1	10	1.23781773093614	0.569400101471139	0.713734560278066	0.0001999600079984	0.00586295784321397	0.989402119576085	1
GO:2000727	positive regulation of cardiac muscle cell differentiation	0.00164845154436488	43	7.50433999339643	0	0	383118	3	7	5.30493313258347	0.0143775981295418	0.0501727955426118	0.0001999600079984	0.00586295784321397	0.98120375924815	1
GO:1903365	regulation of fear response	0.00134323949926381	35	7.49609052197318	0	0	389257	1	11	1.12528884630559	0.604204553081034	0.738487440841	0.0001999600079984	0.00586295784321397	0.989402119576085	1
GO:0036344	platelet morphogenesis	0.00144166969789248	37	7.38339641030648	0	0	370197	2	24	1.03151477578012	0.588387870230688	0.727895565213153	0.0001999600079984	0.00586295784321397	0.648870225954809	1
