id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	regions_empirical_p_value	regions_empirical_p_adjust	genes_empirical_p_value	genes_empirical_p_adjust
GO:0016363	nuclear matrix	0.0120317155242345	139	3.32359025939341	0	0	361095	15	127	1.46198944598757	0.0879764650345167	0.400193694329945	0.0001999600079984	0.0134417560932258	0.965606878624275	1
GO:0034399	nuclear periphery	0.0130188377673916	147	3.24836895951221	0	0	348961	16	150	1.32033891299855	0.154255768722771	0.527258418515685	0.0001999600079984	0.0134417560932258	0.984403119376125	1
GO:0000785	chromatin	0.137879402318896	1239	2.58518808993866	0	0	335040	250	1357	2.28043060231419	0	0	0.0001999600079984	0.0134417560932258	1	1
GO:0005667	transcription regulator complex	0.0544306063019912	487	2.57398505799176	0	0	326353	89	523	2.10642023046495	1.14557252572922e-11	1.38614275613236e-09	0.0001999600079984	0.0134417560932258	1	1
GO:0032993	protein-DNA complex	0.142599365495035	1249	2.51979423218863	0	0	334863	257	1422	2.23712487236701	0	0	0.0001999600079984	0.0134417560932258	1	1
GO:0001401	SAM complex	0.00125474879132445	24	5.50268544977684	5.29365440371521e-11	7.81136808353098e-10	415011	2	13	1.90433497067099	0.283297652666254	0.693907205923417	0.0011997600479904	0.0483903219356129	0.939212157568486	1
GO:0140275	MIB complex	0.00125474879132445	24	5.50268544977684	5.29365440371521e-11	7.81136808353098e-10	415011	2	13	1.90433497067099	0.283297652666254	0.693907205923417	0.0011997600479904	0.0483903219356129	0.939212157568486	1
GO:0070390	transcription export complex 2	0.000506312869616768	16	9.09120075942003	7.55581153200069e-11	1.08839666115724e-09	607190	1	5	2.47563546187229	0.343762764345307	0.751048431113038	0.0001999600079984	0.0134417560932258	0.333333333333333	1
GO:0072687	meiotic spindle	0.000869313799161518	20	6.61871459593163	9.04600838680381e-11	1.24382615318552e-09	479102	1	15	0.825211820624096	0.717486544550586	0.971094763877192	0.0001999600079984	0.0134417560932258	0.562687462507498	1
GO:0005954	calcium- and calmodulin-dependent protein kinase complex	0.000937315519649606	18	5.52467747444897	1.20228552669133e-08	1.32251407936046e-07	618850	1	5	2.47563546187229	0.343762764345307	0.751048431113038	0.000999800039992002	0.0483903219356129	0.910817836432713	1
GO:0016528	sarcoplasm	0.0111425309134185	73	1.8847738373959	4.99443804091726e-07	4.95350002418843e-06	403539	13	90	1.78795894468554	0.028460410855033	0.220750622657628	0.0001999600079984	0.0134417560932258	0.950409918016397	1
GO:0044615	nuclear pore nuclear basket	0.00175203820057641	17	2.79142254986385	0.000203996064381151	0.00141859332127122	602539	2	12	2.06302955156024	0.252282798398838	0.669434618558319	0.0001999600079984	0.0134417560932258	0.595280943811238	1
GO:0071014	post-mRNA release spliceosomal complex	0.00129996447024396	14	3.09825233216778	0.000258961558354365	0.00168464239574614	364982	2	13	1.90433497067099	0.283297652666254	0.693907205923417	0.000999800039992002	0.0483903219356129	0.399120175964807	1
