id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper 	regions_empirical_p_value 	regions_empirical_p_adjust 	genes_empirical_p_value 	genes_empirical_p_adjust
GO:0060836 	lymphatic endothelial cell differentiation 	0.00137622578188535 	56 	11.7062708886357 	0 	0 	473991 	3 	8 	4.22370877411325 	0.0278334360643471 	0.0916948351950367 	0.00699860027994401 	0.0936955466049647 	0.543091381723655 	1
GO:0018401 	peptidyl-proline hydroxylation to 4-hydroxy-L-proline 	0.000786057501589965 	31 	11.3456036930394 	0 	0 	542741 	1 	8 	1.40790292470442 	0.524770717176824 	0.705248840907548 	0.0267946410717856 	0.214030862016333 	1 	1
GO:0071374 	cellular response to parathyroid hormone stimulus 	0.000931386001915536 	35 	10.8108183486363 	0 	0 	389257 	1 	9 	1.25146926640393 	0.56698238296816 	0.735431287295469 	0.0001999600079984 	0.00659993787406041 	0.99500099980004 	1
GO:2000109 	regulation of macrophage apoptotic process 	0.00102935597274832 	37 	10.3408530713111 	0 	0 	383530 	2 	8 	2.81580584940884 	0.154180661373432 	0.320705553265069 	0.0001999600079984 	0.00659993787406041 	0.847430513897221 	1
GO:1905563 	negative regulation of vascular endothelial cell proliferation 	0.000996905487871397 	35 	10.1003003812036 	0 	0 	389257 	1 	5 	2.25264467952707 	0.371822990539668 	0.571566213928582 	0.0001999600079984 	0.00659993787406041 	0.998000399920016 	1
GO:0060839 	endothelial cell fate commitment 	0.00203608078828244 	64 	9.0428473590127 	0 	0 	485739 	4 	7 	6.43612765579163 	0.00173974604160398 	0.00985981341937118 	0.0173965206958608 	0.163614588910175 	0.675664867026595 	1
GO:0071888 	macrophage apoptotic process 	0.00118658435716297 	37 	8.97063812447094 	0 	0 	383530 	2 	11 	2.04785879957006 	0.254950902337143 	0.44989318610132 	0.0001999600079984 	0.00659993787406041 	0.847430513897221 	1
GO:0060298 	positive regulation of sarcomere organization 	0.00125838738223435 	39 	8.91600871381991 	0 	0 	448946 	3 	5 	6.75793403858121 	0.00609073879239164 	0.0279407318028595 	0.0105978804239152 	0.123594836588238 	0.605678864227155 	1
GO:0033034 	positive regulation of myeloid cell apoptotic process 	0.00113402954268192 	35 	8.87899697512172 	0 	0 	389257 	1 	8 	1.40790292470442 	0.524770717176824 	0.705248840907548 	0.0001999600079984 	0.00659993787406041 	0.997600479904019 	1
GO:0003211 	cardiac ventricle formation 	0.00130817300062109 	40 	8.79660400913849 	0 	0 	383091 	2 	8 	2.81580584940884 	0.154180661373432 	0.320705553265069 	0.0001999600079984 	0.00659993787406041 	0.995600879824035 	1
GO:0019471 	4-hydroxyproline metabolic process 	0.0012183427983202 	37 	8.73680124095045 	0 	0 	517839 	2 	12 	1.87720389960589 	0.289180876801831 	0.487667494041134 	0.00619876024795041 	0.0847163900553223 	0.948010397920416 	1
GO:0019511 	peptidyl-proline hydroxylation 	0.001082454414293 	32 	8.50473125516428 	0 	0 	526811 	2 	11 	2.04785879957006 	0.254950902337143 	0.44989318610132 	0.0231953609278144 	0.196021343235379 	0.425714857028594 	1
GO:2000987 	positive regulation of behavioral fear response 	0.00119851828176949 	35 	8.40124429667065 	0 	0 	389257 	1 	7 	1.60903191394791 	0.4784469602014 	0.669092614811319 	0.0001999600079984 	0.00659993787406041 	0.99120175964807 	1
GO:0071107 	response to parathyroid hormone 	0.00120554050011361 	35 	8.35230743241108 	0 	0 	389257 	1 	12 	0.938601949802945 	0.672434133295526 	0.805508863623584 	0.0001999600079984 	0.00659993787406041 	0.995200959808038 	1
GO:1903367 	positive regulation of fear response 	0.00122744080741823 	35 	8.20328346452037 	0 	0 	389257 	1 	8 	1.40790292470442 	0.524770717176824 	0.705248840907548 	0.0001999600079984 	0.00659993787406041 	0.99120175964807 	1
GO:0002634 	regulation of germinal center formation 	0.00123306974738324 	35 	8.16583563139027 	0 	0 	389257 	1 	8 	1.40790292470442 	0.524770717176824 	0.705248840907548 	0.0001999600079984 	0.00659993787406041 	0.994401119776045 	1
GO:2000727 	positive regulation of cardiac muscle cell differentiation 	0.00137814362463831 	38 	7.9324866243051 	0 	0 	395649 	2 	8 	2.81580584940884 	0.154180661373432 	0.320705553265069 	0.0001999600079984 	0.00659993787406041 	0.998000399920016 	1
GO:0021527 	spinal cord association neuron differentiation 	0.00141370439159435 	38 	7.73295034931996 	0 	0 	345756 	6 	11 	6.14357639871019 	0.000151460692116578 	0.00116208437460205 	0.00799840031993601 	0.101882536114136 	0.257748450309938 	1
GO:0090649 	response to oxygen-glucose deprivation 	0.00180089995931964 	48 	7.66781950481534 	0 	0 	415865 	4 	8 	5.63161169881767 	0.00323526810933972 	0.0164841621726358 	0.410917816436713 	0.869204635493699 	0.93621275744851 	1
GO:0021516 	dorsal spinal cord development 	0.00259975805709033 	69 	7.63548081239987 	0 	0 	319807 	9 	19 	5.33521108309043 	1.35959326234003e-05 	0.000129966219321685 	0.001999600079984 	0.0358153625247647 	0.443111377724455 	1
GO:0021796 	cerebral cortex regionalization 	0.00122560806595889 	32 	7.51136039752288 	0 	0 	208980 	6 	7 	9.65419148368744 	3.1417353957286e-06 	3.3511844221105e-05 	0.000399920015996801 	0.0109883782405823 	0.0323935212957408 	1
GO:2000822 	regulation of behavioral fear response 	0.00138569755586494 	35 	7.26640877481121 	0 	0 	389257 	1 	10 	1.12632233976353 	0.605446774686151 	0.764161778151255 	0.0001999600079984 	0.00659993787406041 	0.99120175964807 	1
GO:0072102 	glomerulus morphogenesis 	0.00190737495343653 	48 	7.23978041622732 	0 	0 	366275 	2 	9 	2.50293853280785 	0.187077390846141 	0.363715896892045 	0.0001999600079984 	0.00659993787406041 	1 	1
GO:0030220 	platelet formation 	0.00147891989572942 	37 	7.19742759767057 	0 	0 	370197 	2 	22 	1.02392939978503 	0.59362712773315 	0.757072944433431 	0.0001999600079984 	0.00659993787406041 	0.645870825834833 	1
GO:0036344 	platelet morphogenesis 	0.00149086675573257 	37 	7.13975198074399 	0 	0 	370197 	2 	23 	0.97941073022916 	0.618254083727445 	0.771237801616741 	0.0001999600079984 	0.00659993787406041 	0.645870825834833 	1
GO:1903365 	regulation of fear response 	0.00141462008151368 	35 	7.1178438725381 	0 	0 	389257 	1 	11 	1.02392939978503 	0.640496361921051 	0.78501578995372 	0.0001999600079984 	0.00659993787406041 	0.99120175964807 	1
GO:0003084 	positive regulation of systemic arterial blood pressure 	0.00151862509568462 	37 	7.00924731358289 	0 	0 	533994 	1 	12 	0.938601949802945 	0.672434133295526 	0.805508863623584 	0.0545890821835633 	0.334676989835678 	1 	1
GO:0060216 	definitive hemopoiesis 	0.00214548054365837 	52 	6.97266813474558 	0 	0 	345334 	6 	20 	3.3789670192906 	0.00632255475697785 	0.0287030859555534 	0.0419916016796641 	0.284350871761132 	0.77624475104979 	1
GO:2001016 	positive regulation of skeletal muscle cell differentiation 	0.00145613385416083 	35 	6.9149170939194 	0 	0 	389257 	1 	6 	1.87720389960589 	0.42761080232208 	0.624150310102454 	0.0001999600079984 	0.00659993787406041 	0.997800439912018 	1
GO:0060297 	regulation of sarcomere organization 	0.00163265980791611 	39 	6.87209473214337 	0 	0 	448946 	3 	8 	4.22370877411325 	0.0278334360643471 	0.0916948351950367 	0.0127974405118976 	0.138191291782796 	0.706658668266347 	1
GO:0001967 	suckling behavior 	0.0018186759175304 	43 	6.80194900713901 	0 	0 	318339 	3 	12 	2.81580584940884 	0.0838010300136981 	0.210424787326262 	0.0001999600079984 	0.00659993787406041 	0.994401119776045 	1
GO:0055012 	ventricular cardiac muscle cell differentiation 	0.00254121347315933 	60 	6.79251073362427 	0 	0 	370441 	4 	14 	3.21806382789581 	0.0300578503248548 	0.0970729836952848 	0.0001999600079984 	0.00659993787406041 	0.909218156368726 	1
GO:0071236 	cellular response to antibiotic 	0.00155176353941915 	36 	6.67416884894456 	0 	0 	385601 	2 	11 	2.04785879957006 	0.254950902337143 	0.44989318610132 	0.0001999600079984 	0.00659993787406041 	0.721455708858228 	1
