id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	regions_empirical_p_value	regions_empirical_p_adjust	genes_empirical_p_value	genes_empirical_p_adjust
GO:0016363	nuclear matrix	0.0115943809975513	118	2.92788943194162	0	0	309368	14	123	1.28199290704793	0.20168009420895	0.648145977344357	0.000599880023995201	0.0315755030812019	0.98120375924815	1
GO:0034399	nuclear periphery	0.0126461822662886	127	2.88911291900015	0	0	296935	16	143	1.26022079973542	0.200144926134576	0.64739615772022	0.0001999600079984	0.0192961407718456	0.98620275944811	1
GO:0005667	transcription regulator complex	0.0526301757614071	460	2.51445138644222	0	0	330887	84	487	1.94273257782622	2.12234141372392e-09	2.45767135709229e-07	0.0001999600079984	0.0192961407718456	1	1
GO:0000785	chromatin	0.139119504496778	1211	2.50424233524639	0	0	332270	249	1307	2.14578624790451	0	0	0.0001999600079984	0.0192961407718456	1	1
GO:0032993	protein-DNA complex	0.144646247679909	1222	2.43043642970483	0	0	332162	257	1373	2.10826541383269	0	0	0.0001999600079984	0.0192961407718456	1	1
GO:0001401	SAM complex	0.00125073915877439	24	5.52032601578728	4.96738206123837e-11	8.45915945134416e-10	415011	2	12	1.87720389960589	0.289180876801831	0.709473422323136	0.000599880023995201	0.0315755030812019	0.934213157368526	1
GO:0140275	MIB complex	0.00125073915877439	24	5.52032601578728	4.96738206123837e-11	8.45915945134416e-10	415011	2	12	1.87720389960589	0.289180876801831	0.709473422323136	0.000599880023995201	0.0315755030812019	0.934213157368526	1
GO:0072687	meiotic spindle	0.000921730409141731	20	6.24232408293084	2.45801379250565e-10	3.74523680489677e-09	479102	1	13	0.866401799818104	0.701536209135535	0.993128276502384	0.0001999600079984	0.0192961407718456	0.572085582883423	1
GO:0005954	calcium- and calmodulin-dependent protein kinase complex	0.000937315519649606	18	5.52467747444897	1.20228552669133e-08	1.48111344671123e-07	618850	1	5	2.25264467952707	0.371822990539668	0.803304147471895	0.000599880023995201	0.0315755030812019	0.910817836432713	1
GO:0016528	sarcoplasm	0.0121530155041046	75	1.77540502057241	2.93448862165313e-06	2.98082265252134e-05	411454	13	94	1.55767983158787	0.0718148235447759	0.411690919132923	0.000399920015996801	0.0315755030812019	0.980603879224155	1
GO:0044615	nuclear pore nuclear basket	0.00157266543834705	17	3.10980251874309	5.77274370441305e-05	0.000491762703160995	602539	2	11	2.04785879957006	0.254950902337143	0.706299389728257	0.0001999600079984	0.0192961407718456	0.510097980403919	1
