id	description	genome_fraction	observed_region_hits	fold_enrichment	p_value	p_adjust	mean_tss_dist	observed_gene_hits	gene_set_size	fold_enrichment_hyper	p_value_hyper	p_adjust_hyper	regions_empirical_p_value	regions_empirical_p_adjust	genes_empirical_p_value	genes_empirical_p_adjust
GO:0003680	minor groove of adenine-thymine-rich DNA binding	0.00159730566690096	52	9.3655986643481	0	0	349486	4	9	5.00587706561571	0.00541609175514068	0.0702316160379718	0.0001999600079984	0.00832465085930182	0.982403519296141	1
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	0.0575140389229754	596	2.981210381905	0	0	314433	109	447	2.74651308801399	0	0	0.0001999600079984	0.00832465085930182	0.999800039992002	1
GO:0001216	DNA-binding transcription activator activity	0.0579795620617511	597	2.96223584365968	0	0	313957	110	453	2.73499905902845	0	0	0.0001999600079984	0.00832465085930182	0.999200159968006	1
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	0.033719705994243	338	2.88372042299963	0	0	337119	57	250	2.56801493466086	2.06706873839835e-11	1.02190710754568e-09	0.0011997600479904	0.0412613129548003	1	1
GO:0001217	DNA-binding transcription repressor activity	0.034600208230679	346	2.8768526519232	0	0	341076	59	259	2.56575359251153	9.5528029930847e-12	5.03751144502e-10	0.0011997600479904	0.0412613129548003	1	1
GO:0042826	histone deacetylase binding	0.0114348630479332	110	2.76746380674607	0	0	389743	15	118	1.43176568614009	0.0997457593510642	0.381440594103816	0.0001999600079984	0.00832465085930182	0.900819836032793	1
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.128158620252155	1209	2.71393042576384	0	0	322910	236	1278	2.07990666810794	0	0	0.0001999600079984	0.00832465085930182	1	1
GO:0003700	DNA-binding transcription factor activity	0.132249148730313	1216	2.64521466611064	0	0	322199	241	1355	2.00327441980083	0	0	0.0001999600079984	0.00832465085930182	1	1
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.115908788750759	1056	2.62100459877717	0	0	323837	204	1119	2.05334903763862	0	0	0.0001999600079984	0.00832465085930182	1	1
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	0.129155181590395	1173	2.61280145941597	0	0	319577	232	1309	1.99623210714393	0	0	0.0001999600079984	0.00832465085930182	1	1
GO:0000987	cis-regulatory region sequence-specific DNA binding	0.117376971586475	1057	2.5906713322123	0	0	323634	205	1140	2.02540420746951	0	0	0.0001999600079984	0.00832465085930182	1	1
GO:1990837	sequence-specific double-stranded DNA binding	0.141698937641712	1260	2.55813926118998	0	0	324335	251	1458	1.93900485103325	0	0	0.0001999600079984	0.00832465085930182	1	1
GO:0000976	transcription cis-regulatory region binding	0.135403693353865	1199	2.54746898195236	0	0	320766	241	1396	1.94443899629665	0	0	0.0001999600079984	0.00832465085930182	1	1
GO:0001067	transcription regulatory region nucleic acid binding	0.135770912924737	1199	2.54057884292177	0	0	320766	241	1398	1.94165725238206	0	0	0.0001999600079984	0.00832465085930182	1	1
GO:0140297	DNA-binding transcription factor binding	0.0527684571938109	464	2.52966968330875	0	0	377161	75	451	1.87304158497262	7.44961063947613e-08	3.10139053464506e-06	0.0001999600079984	0.00832465085930182	1	1
GO:0003690	double-stranded DNA binding	0.146656896797606	1269	2.48931217413473	0	0	325166	256	1543	1.86868774452019	0	0	0.0001999600079984	0.00832465085930182	1	1
GO:0043565	sequence-specific DNA binding	0.148906793905292	1286	2.4845439745061	0	0	323956	258	1562	1.86037876862351	0	0	0.0001999600079984	0.00832465085930182	1	1
GO:0008134	transcription factor binding	0.0638884478381967	539	2.42709435564865	0	0	358550	93	567	1.84740701231056	4.09976186332983e-09	1.8016175743855e-07	0.0001999600079984	0.00832465085930182	1	1
GO:0140110	transcription regulator activity	0.176375079714254	1438	2.34553487774974	0	0	330787	293	1821	1.81225944838394	0	0	0.0001999600079984	0.00832465085930182	1	1
GO:0003677	DNA binding	0.203409642014624	1456	2.05925472767617	0	0	330478	320	2362	1.52592357630961	4.44089209850063e-16	2.50910403565285e-14	0.0001999600079984	0.00832465085930182	1	1
GO:0003676	nucleic acid binding	0.293135851555932	1702	1.67036295808005	0	0	336381	427	3745	1.28421799487057	1.80049197773258e-09	8.37758326109687e-08	0.0013997200559888	0.0461324401786309	1	1
GO:0000217	DNA secondary structure binding	0.00394481770282202	52	3.79224718287527	1.99840144432528e-15	4.6492221837097e-14	349486	4	38	1.18560246290898	0.439731674983847	0.778138154166047	0.0001999600079984	0.00832465085930182	0.999800039992002	1
GO:0046982	protein heterodimerization activity	0.0284992175172634	170	1.71607481445739	2.92486035391448e-11	5.38038265103804e-10	354873	34	342	1.11973565941404	0.268306872220283	0.616949813739081	0.000799840031993601	0.030127307871759	0.948210357928414	1
GO:0031683	G-protein beta/gamma-subunit complex binding	0.00222346328426705	16	2.07019021961563	0.00600067732702458	0.0277575190975231	607190	1	21	0.536343971315969	0.858240744844048	0.992497703467312	0.000599880023995201	0.0237252549490102	0.729454109178164	1
