id	description	fold_enrichment	source	p_adjust	regions_empirical_p_adjust	description_default_annot	genome_fraction_default_annot	observed_region_hits_default_annot	fold_enrichment_default_annot	p_value_default_annot	p_adjust_default_annot	mean_tss_dist_default_annot	observed_gene_hits_default_annot	gene_set_size_default_annot	fold_enrichment_hyper_default_annot	p_value_hyper_default_annot	p_adjust_hyper_default_annot	regions_empirical_p_value_default_annot	regions_empirical_p_adjust_default_annot	genes_empirical_p_value_default_annot	genes_empirical_p_adjust_default_annot	description_biomart_annot	genome_fraction_biomart_annot	observed_region_hits_biomart_annot	fold_enrichment_biomart_annot	p_value_biomart_annot	p_adjust_biomart_annot	mean_tss_dist_biomart_annot	observed_gene_hits_biomart_annot	gene_set_size_biomart_annot	fold_enrichment_hyper_biomart_annot	p_value_hyper_biomart_annot	p_adjust_hyper_biomart_annot	regions_empirical_p_value_biomart_annot	regions_empirical_p_adjust_biomart_annot	genes_empirical_p_value_biomart_annot	genes_empirical_p_adjust_biomart_annot
GO:0000122	negative regulation of transcription by RNA polymerase II	 2.360384	default_and_biomart_annot	0.000000e+00	0.006129456	negative regulation of transcription by RNA polymerase II	0.104558424138879	840	2.31121575416187	0	0	358142	161	876	2.07006731394896	0	0	0.0001999600079984	0.00659993787406041	1	1	negative regulation of transcription by RNA polymerase II	0.105549340878516	866	2.36038365504439	0	0	368085	160	966	2.0502157034139	0	0	0.0001999600079984	0.00612945592699642	1	1
GO:0001662	behavioral fear response	 2.803108	default_and_biomart_annot	3.283507e-11	0.006129456	behavioral fear response	0.00653446164136854	57	2.50948887654466	9.46086098352339e-10	7.29083677555518e-09	375532	5	41	1.37356382897992	0.297716416431647	0.497302308611333	0.0001999600079984	0.00659993787406041	0.913417316536693	1	behavioral fear response	0.00626051649235276	61	2.80310846730444	3.40827366329677e-12	3.28350650240823e-11	372941	7	40	2.16618102913825	0.0392272925073796	0.112749729929309	0.0001999600079984	0.00612945592699642	0.615076984603079	1
GO:0001678	intracellular glucose homeostasis	 1.966084	default_annot	2.081378e-10	0.033255321	intracellular glucose homeostasis	0.0169736844874638	116	1.96608412417391	2.28443930438971e-11	2.0813780328884e-10	347628	21	143	1.65403979965274	0.0149931412873325	0.0569348809521861	0.0017996400719856	0.0332553207668326	0.827234553089382	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0001709	cell fate determination	 5.554091	default_and_biomart_annot	0.000000e+00	0.006129456	cell fate determination	0.00865015196658845	167	5.55409068060839	0	0	328888	18	38	5.33521108309043	6.38107788830666e-10	1.24954838648632e-08	0.0001999600079984	0.00659993787406041	0.946010797840432	1	cell fate determination	0.0092577707777478	174	5.40708326021952	0	0	324487	20	45	5.50141213749397	5.53799228697471e-11	1.03025753062857e-09	0.0001999600079984	0.00612945592699642	0.886022795440912	1
GO:0001764	neuron migration	 3.014197	default_and_biomart_annot	0.000000e+00	0.006129456	neuron migration	0.0342752918320538	334	2.80340302623159	0	0	377995	53	176	3.39176613678792	6.66133814775094e-16	2.60885840294007e-14	0.0001999600079984	0.00659993787406041	0.988402319536093	1	neuron migration	0.0335962849497307	352	3.01419704399851	0	0	379968	56	178	3.89425802991146	0	0	0.0001999600079984	0.00612945592699642	0.979204159168166	1
GO:0001776	leukocyte homeostasis	 1.716103	default_and_biomart_annot	2.128051e-03	0.010524724	leukocyte homeostasis	0.0102984918580561	57	1.5922873979256	0.000612706793391982	0.00212805112622179	377608	13	104	1.40790292470442	0.131035142752092	0.286649616157974	0.000399920015996801	0.0109883782405823	0.688462307538492	1	leukocyte homeostasis	0.00955546395335521	57	1.71610283742049	0.000101126333794443	0.000381522077497219	376158	13	106	1.51807834926131	0.085272938000436	0.196182302990342	0.000399920015996801	0.010524724323428	0.70505898820236	1
GO:0001782	B cell homeostasis	 3.342252	default_and_biomart_annot	1.074549e-09	0.006129456	B cell homeostasis	0.00378431325900829	40	3.04083702228337	1.81834769463762e-09	1.34783738721162e-08	358482	6	32	2.11185438705663	0.0595344882481881	0.166101538716901	0.0001999600079984	0.00659993787406041	0.517696460707858	1	B cell homeostasis	0.00344303154121534	40	3.34225223445042	1.29264599024737e-10	1.07454932471256e-09	358482	6	33	2.25057769261117	0.0462727235632715	0.127563282383163	0.0001999600079984	0.00612945592699642	0.595480903819236	1
GO:0001910	regulation of leukocyte mediated cytotoxicity	 1.611566	default_annot	2.396746e-02	0.010988378	regulation of leukocyte mediated cytotoxicity	0.00535541930125109	30	1.61156567038858	0.00900606598462439	0.0239674616061404	342487	5	75	0.750881559842356	0.806997348935627	0.891041886642998	0.000399920015996801	0.0109883782405823	0.260747850429914	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0001912	positive regulation of leukocyte mediated cytotoxicity	 1.826985	default_and_biomart_annot	4.766206e-02	0.010988378	positive regulation of leukocyte mediated cytotoxicity	0.00440903266451225	28	1.82698485501656	0.00225587510165703	0.00702601337299473	363537	3	54	0.625734633201964	0.869394849601352	0.924836485897436	0.000399920015996801	0.0109883782405823	0.76124775044991	1	positive regulation of leukocyte mediated cytotoxicity	0.0041096813753	23	1.61005204937947	0.0202398124755797	0.047662063861088	340430	2	56	0.442077761048623	0.947292027409403	0.975499234180899	0.0011997600479904	0.0248950209958008	0.883223355328934	1
GO:0001935	endothelial cell proliferation	 3.017666	default_and_biomart_annot	0.000000e+00	0.006129456	endothelial cell proliferation	0.0200201954016045	210	3.01766631459486	0	0	384415	32	151	2.38690826969756	2.78045721258113e-06	2.99627093462542e-05	0.000399920015996801	0.0109883782405823	0.935412917416517	1	endothelial cell proliferation	0.0194457940081802	190	2.81091784275201	0	0	381547	34	159	2.64690583973767	1.24998101203033e-07	1.55742437873063e-06	0.0001999600079984	0.00612945592699642	0.741651669666067	1
