id	description	fold_enrichment	source	p_adjust	regions_empirical_p_adjust	description_default_annot	genome_fraction_default_annot	observed_region_hits_default_annot	fold_enrichment_default_annot	p_value_default_annot	p_adjust_default_annot	mean_tss_dist_default_annot	observed_gene_hits_default_annot	gene_set_size_default_annot	fold_enrichment_hyper_default_annot	p_value_hyper_default_annot	p_adjust_hyper_default_annot	regions_empirical_p_value_default_annot	regions_empirical_p_adjust_default_annot	genes_empirical_p_value_default_annot	genes_empirical_p_adjust_default_annot	genes_prop_default_annot	description_biomart_annot	genome_fraction_biomart_annot	observed_region_hits_biomart_annot	fold_enrichment_biomart_annot	p_value_biomart_annot	p_adjust_biomart_annot	mean_tss_dist_biomart_annot	observed_gene_hits_biomart_annot	gene_set_size_biomart_annot	fold_enrichment_hyper_biomart_annot	p_value_hyper_biomart_annot	p_adjust_hyper_biomart_annot	regions_empirical_p_value_biomart_annot	regions_empirical_p_adjust_biomart_annot	genes_empirical_p_value_biomart_annot	genes_empirical_p_adjust_biomart_annot	genes_prop_biomart_annot
GO:0003680	minor groove of adenine-thymine-rich DNA binding	9.365599	default_and_biomart_annot	0	0.007968406	minor groove of adenine-thymine-rich DNA binding	0.00159730566690096	52	9.3655986643481	0	0	349486	4	9	5.00587706561571	0.00541609175514068	0.0702316160379718	0.0001999600079984	0.00832465085930182	0.982403519296141	1	0.4	minor groove of adenine-thymine-rich DNA binding	0.00192962826090707	43	6.41084145696458	0	0	381981	3	10	3.71345319280843	0.0410527519906789	0.205405026026251	0.0001999600079984	0.00796840631873625	0.985802839432114	1	0.25
GO:1990757	ubiquitin ligase activator activity	8.877155	biomart_annot	8.108373e-08	0.042906803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ubiquitin ligase activator activity	0.000421298379319084	13	8.87715485914146	5.79896153318771e-09	8.1083725297379e-08	103667	1	7	1.76831104419449	0.445537945401876	0.723205178177791	0.0013997200559888	0.0429068032547337	0.628874225154969	1	0.142857142857143
GO:0000217	DNA secondary structure binding	3.792247	default_and_biomart_annot	2.814948e-08	0.007968406	DNA secondary structure binding	0.00394481770282202	52	3.79224718287527	1.99840144432528e-15	4.6492221837097e-14	349486	4	38	1.18560246290898	0.439731674983847	0.778138154166047	0.0001999600079984	0.00832465085930182	0.999800039992002	1	0.102564102564103	DNA secondary structure binding	0.00427183099732194	43	2.89584041580969	1.90724203097403e-09	2.81494796053019e-08	381981	3	37	1.00363599805633	0.583958600845363	0.83025246543494	0.0001999600079984	0.00796840631873625	0.999200159968006	1	0.0769230769230769
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	3.065234	default_and_biomart_annot	0	0.007968406	DNA-binding transcription repressor activity, RNA polymerase II-specific	0.033719705994243	338	2.88372042299963	0	0	337119	57	250	2.56801493466086	2.06706873839835e-11	1.02190710754568e-09	0.0011997600479904	0.0412613129548003	1	1	0.217557251908397	DNA-binding transcription repressor activity, RNA polymerase II-specific	0.035758689077043	381	3.06523389178334	0	0	369112	61	324	2.33045930824397	3.65009467095945e-10	1.61618080708593e-08	0.0001999600079984	0.00796840631873625	0.999800039992002	1	0.174785100286533
GO:0001217	DNA-binding transcription repressor activity	3.053875	default_and_biomart_annot	0	0.007968406	DNA-binding transcription repressor activity	0.034600208230679	346	2.8768526519232	0	0	341076	59	259	2.56575359251153	9.5528029930847e-12	5.03751144502e-10	0.0011997600479904	0.0412613129548003	1	1	0.217712177121771	DNA-binding transcription repressor activity	0.036174299966707	384	3.05387545235183	0	0	367162	63	329	2.37028927200538	9.04845087745798e-11	4.24212667607883e-09	0.0001999600079984	0.00796840631873625	0.99880023995201	1	0.177966101694915
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	2.98121	default_and_biomart_annot	0	0.008324651	DNA-binding transcription activator activity, RNA polymerase II-specific	0.0575140389229754	596	2.981210381905	0	0	314433	109	447	2.74651308801399	0	0	0.0001999600079984	0.00832465085930182	0.999800039992002	1	0.23109243697479	DNA-binding transcription activator activity, RNA polymerase II-specific	0.0581471425079265	599	2.96359379841606	0	0	314639	108	470	2.84434712640646	0	0	0.000399920015996801	0.0138580979456283	0.999800039992002	1	0.218181818181818
GO:0001216	DNA-binding transcription activator activity	2.962236	default_and_biomart_annot	0	0.007968406	DNA-binding transcription activator activity	0.0579795620617511	597	2.96223584365968	0	0	313957	110	453	2.73499905902845	0	0	0.0001999600079984	0.00832465085930182	0.999200159968006	1	0.230290456431535	DNA-binding transcription activator activity	0.0583029350633153	600	2.960609062669	0	0	314162	109	474	2.84645849519071	0	0	0.0001999600079984	0.00796840631873625	0.999800039992002	1	0.218436873747495
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	2.79783	default_and_biomart_annot	0	0.007968406	DNA-binding transcription factor activity, RNA polymerase II-specific	0.128158620252155	1209	2.71393042576384	0	0	322910	236	1278	2.07990666810794	0	0	0.0001999600079984	0.00832465085930182	1	1	0.172992700729927	DNA-binding transcription factor activity, RNA polymerase II-specific	0.12966237849225	1261	2.79783007889528	0	0	329045	239	1359	2.17688327957129	0	0	0.0001999600079984	0.00796840631873625	1	1	0.164713990351482
GO:0042826	histone deacetylase binding	2.797681	default_and_biomart_annot	0	0.007968406	histone deacetylase binding	0.0114348630479332	110	2.76746380674607	0	0	389743	15	118	1.43176568614009	0.0997457593510642	0.381440594103816	0.0001999600079984	0.00832465085930182	0.900819836032793	1	0.1171875	histone deacetylase binding	0.0118255113453431	115	2.7976806783937	0	0	390490	14	126	1.37535303437349	0.139012679459659	0.413407110184136	0.0001999600079984	0.00796840631873625	0.88502299540092	1	0.102941176470588
GO:0003700	DNA-binding transcription factor activity	2.761024	default_and_biomart_annot	0	0.007968406	DNA-binding transcription factor activity	0.132249148730313	1216	2.64521466611064	0	0	322199	241	1355	2.00327441980083	0	0	0.0001999600079984	0.00832465085930182	1	1	0.165980795610425	DNA-binding transcription factor activity	0.132120218568457	1268	2.76102413071276	0	0	328327	244	1413	2.13749134004543	0	0	0.0001999600079984	0.00796840631873625	1	1	0.16158940397351
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	2.751523	default_and_biomart_annot	0	0.007968406	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.115908788750759	1056	2.62100459877717	0	0	323837	204	1119	2.05334903763862	0	0	0.0001999600079984	0.00832465085930182	1	1	0.171691792294807	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.115743000197422	1107	2.75152281032249	0	0	332834	208	1190	2.16358057172032	0	0	0.0001999600079984	0.00796840631873625	1	1	0.164167324388319
GO:0000987	cis-regulatory region sequence-specific DNA binding	2.740211	default_and_biomart_annot	0	0.007968406	cis-regulatory region sequence-specific DNA binding	0.117376971586475	1057	2.5906713322123	0	0	323634	205	1140	2.02540420746951	0	0	0.0001999600079984	0.00832465085930182	1	1	0.169129720853859	cis-regulatory region sequence-specific DNA binding	0.117480627344937	1119	2.74021135579859	0	0	331424	211	1210	2.15850860518617	0	0	0.0001999600079984	0.00796840631873625	1	1	0.163947163947164
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	2.714607	default_and_biomart_annot	0	0.007968406	RNA polymerase II transcription regulatory region sequence-specific DNA binding	0.129155181590395	1173	2.61280145941597	0	0	319577	232	1309	1.99623210714393	0	0	0.0001999600079984	0.00832465085930182	1	1	0.166191155492154	RNA polymerase II transcription regulatory region sequence-specific DNA binding	0.130670153117342	1233	2.71460665102953	0	0	326498	238	1405	2.09680156557155	0	0	0.0001999600079984	0.00796840631873625	1	1	0.158666666666667
GO:1990837	sequence-specific double-stranded DNA binding	2.642768	default_and_biomart_annot	0	0.007968406	sequence-specific double-stranded DNA binding	0.141698937641712	1260	2.55813926118998	0	0	324335	251	1458	1.93900485103325	0	0	0.0001999600079984	0.00832465085930182	1	1	0.161228406909789	sequence-specific double-stranded DNA binding	0.14347511533483	1318	2.64276812438912	0	0	331113	256	1560	2.03129063538239	0	0	0.0001999600079984	0.00796840631873625	1	1	0.153661464585834
GO:0000976	transcription cis-regulatory region binding	2.637284	default_and_biomart_annot	0	0.007968406	transcription cis-regulatory region binding	0.135403693353865	1199	2.54746898195236	0	0	320766	241	1396	1.94443899629665	0	0	0.0001999600079984	0.00832465085930182	1	1	0.161333333333333	transcription cis-regulatory region binding	0.137882911215434	1264	2.63728376802403	0	0	327698	249	1502	2.05204137818309	0	0	0.0001999600079984	0.00796840631873625	1	1	0.154947106409459
GO:0001067	transcription regulatory region nucleic acid binding	2.630279	default_and_biomart_annot	0	0.007968406	transcription regulatory region nucleic acid binding	0.135770912924737	1199	2.54057884292177	0	0	320766	241	1398	1.94165725238206	0	0	0.0001999600079984	0.00832465085930182	1	1	0.161118508655127	transcription regulatory region nucleic acid binding	0.138250130786306	1264	2.63027862301583	0	0	327698	249	1504	2.04931259975465	0	0	0.0001999600079984	0.00796840631873625	1	1	0.154754505904288
GO:0140297	DNA-binding transcription factor binding	2.620465	default_and_biomart_annot	0	0.008324651	DNA-binding transcription factor binding	0.0527684571938109	464	2.52966968330875	0	0	377161	75	451	1.87304158497262	7.44961063947613e-08	3.10139053464506e-06	0.0001999600079984	0.00832465085930182	1	1	0.158995815899582	DNA-binding transcription factor binding	0.0526966602960326	480	2.62046508388159	0	0	389851	75	487	1.9062901400454	4.17754990600372e-08	1.44761185873259e-06	0.000399920015996801	0.0138580979456283	1	1	0.142857142857143
GO:0043565	sequence-specific DNA binding	2.579515	default_and_biomart_annot	0	0.007968406	sequence-specific DNA binding	0.148906793905292	1286	2.4845439745061	0	0	323956	258	1562	1.86037876862351	0	0	0.0001999600079984	0.00832465085930182	1	1	0.154811715481172	sequence-specific DNA binding	0.149893037222288	1344	2.579514902929	0	0	329788	263	1666	1.95405800261828	0	0	0.0001999600079984	0.00796840631873625	1	1	0.148002250984806
GO:0003690	double-stranded DNA binding	2.552956	default_and_biomart_annot	0	0.007968406	double-stranded DNA binding	0.146656896797606	1269	2.48931217413473	0	0	325166	256	1543	1.86868774452019	0	0	0.0001999600079984	0.00832465085930182	1	1	0.155006031363088	double-stranded DNA binding	0.149649410940947	1328	2.55295579857765	0	0	331933	263	1661	1.95994017601569	0	0	0.0001999600079984	0.00796840631873625	1	1	0.14717403469502
