id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper
GO:0002139 	stereocilia coupling link 	0.000728227428120177 	27 	10.6663778468772 	0 	0 	388358 	2 	6 	4.12605910312048 	0.0786180669075479 	0.380511443832532
GO:0002141 	stereocilia ankle link 	0.000728227428120177 	27 	10.6663778468772 	0 	0 	388358 	2 	6 	4.12605910312048 	0.0786180669075479 	0.380511443832532
GO:0002142 	stereocilia ankle link complex 	0.000728227428120177 	27 	10.6663778468772 	0 	0 	388358 	2 	6 	4.12605910312048 	0.0786180669075479 	0.380511443832532
GO:1990075 	periciliary membrane compartment 	0.000766754485766544 	26 	9.7552241937833 	0 	0 	397324 	1 	6 	2.06302955156024 	0.396791703832859 	0.784506473264312
GO:0060171 	stereocilium membrane 	0.00097985459268226 	29 	8.5144499624653 	0 	0 	385093 	2 	6 	4.12605910312048 	0.0786180669075479 	0.380511443832532
GO:0043240 	Fanconi anaemia nuclear complex 	0.00115355994916189 	33 	8.22988947646241 	0 	0 	572131 	1 	14 	0.884155522097246 	0.692638177483685 	0.958915554639885
GO:0002116 	semaphorin receptor complex 	0.00248648891609622 	45 	5.20650414359139 	0 	0 	424081 	4 	11 	4.50115538522234 	0.00882241388669569 	0.106988673138555
GO:1990907 	beta-catenin-TCF complex 	0.00353222995151242 	62 	5.04966948098146 	0 	0 	364550 	8 	13 	7.61733988268396 	1.58723964704954e-06 	6.9328791489433e-05
GO:0032391 	photoreceptor connecting cilium 	0.00316189975815618 	53 	4.82223093179981 	0 	0 	447188 	4 	41 	1.20762705457185 	0.425270914325898 	0.807406584541115
GO:0016363 	nuclear matrix 	0.0120317155242345 	139 	3.32359025939341 	0 	0 	361095 	15 	127 	1.46198944598757 	0.0879764650345167 	0.400193694329945
GO:0034399 	nuclear periphery 	0.0130188377673916 	147 	3.24836895951221 	0 	0 	348961 	16 	150 	1.32033891299855 	0.154255768722771 	0.527258418515685
GO:0000785 	chromatin 	0.137879402318896 	1239 	2.58518808993866 	0 	0 	335040 	250 	1357 	2.28043060231419 	0 	0
GO:0005667 	transcription regulator complex 	0.0544306063019912 	487 	2.57398505799176 	0 	0 	326353 	89 	523 	2.10642023046495 	1.14557252572922e-11 	1.38614275613236e-09
GO:0032993 	protein-DNA complex 	0.142599365495035 	1249 	2.51979423218863 	0 	0 	334863 	257 	1422 	2.23712487236701 	0 	0
GO:0005694 	chromosome 	0.173888827720159 	1279 	2.11601672981963 	0 	0 	336525 	275 	1926 	1.76739291800332 	0 	0
GO:0090575 	RNA polymerase II transcription regulator complex 	0.0234632099225611 	166 	2.03535840085578 	0 	0 	334976 	33 	257 	1.58941576345886 	0.00544581942473199 	0.0732160167102856
GO:0016604 	nuclear body 	0.0675049508775368 	393 	1.67485477988683 	0 	0 	371558 	74 	833 	1.09962199386884 	0.208462493634164 	0.621077036107162
GO:0031981 	nuclear lumen 	0.339161294474184 	1718 	1.45726021253485 	0 	0 	355527 	414 	4512 	1.13576360950258 	0.00132670407287372 	0.0236075283555471
GO:0005654 	nucleoplasm 	0.316014901689932 	1573 	1.43199464059969 	0 	0 	353228 	378 	4140 	1.13018140650691 	0.00321796723070611 	0.0474846384043219
GO:0032991 	protein-containing complex 	0.459631158881847 	2135 	1.33631440288701 	0 	0 	340739 	645 	6195 	1.28876906610785 	1.11022302462516e-15 	1.67921232474555e-13
GO:0031974 	membrane-enclosed lumen 	0.400720039594378 	1846 	1.32528983617771 	0 	0 	348922 	496 	5648 	1.0870354011054 	0.0123075484640184 	0.127131566322919
GO:0043233 	organelle lumen 	0.400720039594378 	1846 	1.32528983617771 	0 	0 	348922 	496 	5648 	1.0870354011054 	0.0123075484640184 	0.127131566322919
GO:0070013 	intracellular organelle lumen 	0.400720039594378 	1846 	1.32528983617771 	0 	0 	348922 	496 	5648 	1.0870354011054 	0.0123075484640184 	0.127131566322919
GO:0043232 	intracellular non-membrane-bounded organelle 	0.396445102740244 	1824 	1.32361600149952 	0 	0 	345591 	513 	5298 	1.19856643255991 	5.10681902210486e-07 	3.44430797996065e-05
GO:0043228 	non-membrane-bounded organelle 	0.396459466476986 	1824 	1.32356804685749 	0 	0 	345591 	513 	5299 	1.19834024527315 	5.23443109301525e-07 	3.44430797996065e-05
GO:0005634 	nucleus 	0.528813756493942 	2349 	1.27791069462925 	0 	0 	341773 	720 	7692 	1.15864374190591 	1.01886589054523e-07 	1.02735643963311e-05
GO:0043231 	intracellular membrane-bounded organelle 	0.732230543953584 	2797 	1.09891691351663 	0 	0 	343833 	1077 	12196 	1.09308764858825 	4.74188593502234e-07 	3.44430797996065e-05
GO:0043229 	intracellular organelle 	0.767053986834033 	2882 	1.08090687002717 	0 	0 	343987 	1151 	13312 	1.07025856994253 	1.45050999259544e-05 	0.000487532525289023
GO:0043227 	membrane-bounded organelle 	0.769908677049524 	2878 	1.07540439632061 	0 	0 	342641 	1153 	13234 	1.07843724026702 	1.78121088068028e-06 	7.18421721874381e-05
GO:0005575 	cellular_component 	0.916514040248173 	3311 	1.03929847633506 	0 	0 	351728 	1537 	18459 	1.03067655476941 	1.21441859612936e-06 	6.12269375548554e-05
GO:0042382 	paraspeckles 	0.000885608994863335 	26 	8.44600941682614 	6.66133814775094e-16 	1.22124532708767e-14 	535406 	1 	8 	1.54727216367018 	0.490347169013619 	0.845185291319771
GO:0043226 	organelle 	0.801579105087276 	2968 	1.06521614689641 	6.66133814775094e-16 	1.22124532708767e-14 	345375 	1221 	14090 	1.07265823241521 	9.61790277864694e-07 	5.28984652825581e-05
GO:0005622 	intracellular anatomical structure 	0.819399028668744 	3023 	1.06136053392302 	6.66133814775094e-16 	1.22124532708767e-14 	346348 	1277 	14936 	1.05831095501169 	1.04701656418182e-05 	0.000372614718429414
GO:0030119 	AP-type membrane coat adaptor complex 	0.00253053121837933 	41 	4.66114259835616 	2.55351295663786e-15 	4.54375099637031e-14 	325344 	6 	41 	1.81144058185777 	0.109625624350859 	0.436338833764932
GO:0110165 	cellular anatomical entity 	0.913766673997303 	3297 	1.03801556196911 	3.21964677141295e-15 	5.56538941915668e-14 	351840 	1531 	18347 	1.03292033905447 	5.69307104125727e-07 	3.44430797996065e-05
GO:0140513 	nuclear protein-containing complex 	0.0944706168726203 	467 	1.42213348272038 	1.62092561595273e-14 	2.72405554903167e-13 	376469 	99 	1303 	0.940475482445727 	0.759624726458577 	0.992908383859579
GO:0035869 	ciliary transition zone 	0.00543687145139796 	58 	3.06901605986647 	3.35176331134335e-13 	5.48058595503439e-12 	450110 	6 	72 	1.03151477578012 	0.530375773663237 	0.878603804382814
GO:0030131 	clathrin adaptor complex 	0.00175573976644358 	31 	5.07950953975675 	6.91446899736547e-13 	1.10085624826477e-11 	369676 	3 	24 	1.54727216367018 	0.305889628126453 	0.722903222720718
GO:0016607 	nuclear speck 	0.035111471612748 	202 	1.65509363844344 	8.79496475647557e-12 	1.36434709683788e-10 	345762 	40 	417 	1.18735513758863 	0.145992222102805 	0.510550834521371
GO:0001401 	SAM complex 	0.00125474879132445 	24 	5.50268544977684 	5.29365440371521e-11 	7.81136808353098e-10 	415011 	2 	13 	1.90433497067099 	0.283297652666254 	0.693907205923417
GO:0140275 	MIB complex 	0.00125474879132445 	24 	5.50268544977684 	5.29365440371521e-11 	7.81136808353098e-10 	415011 	2 	13 	1.90433497067099 	0.283297652666254 	0.693907205923417
GO:0070390 	transcription export complex 2 	0.000506312869616768 	16 	9.09120075942003 	7.55581153200069e-11 	1.08839666115724e-09 	607190 	1 	5 	2.47563546187229 	0.343762764345307 	0.751048431113038
GO:1990316 	Atg1/ULK1 kinase complex 	0.00107012732170996 	22 	5.91435597956448 	8.73106031917814e-11 	1.22843988211692e-09 	374195 	2 	9 	2.75070606874699 	0.160827170464253 	0.531926365064556
GO:0072687 	meiotic spindle 	0.000869313799161518 	20 	6.61871459593163 	9.04600838680381e-11 	1.24382615318552e-09 	479102 	1 	15 	0.825211820624096 	0.717486544550586 	0.971094763877192
GO:0030122 	AP-2 adaptor complex 	0.000790278866158552 	19 	6.91661281665949 	1.28298704993313e-10 	1.72490481157676e-09 	424339 	1 	8 	1.54727216367018 	0.490347169013619 	0.845185291319771
GO:0031313 	extrinsic component of endosome membrane 	0.00117265327539784 	22 	5.3972594089275 	4.66827021483596e-10 	6.13979017386033e-09 	424526 	2 	9 	2.75070606874699 	0.160827170464253 	0.531926365064556
GO:0030128 	clathrin coat of endocytic vesicle 	0.000873401724901713 	19 	6.25834914056585 	6.54231779861902e-10 	8.42149418758406e-09 	424339 	1 	9 	1.37535303437349 	0.53153716883229 	0.878603804382814
GO:0005742 	mitochondrial outer membrane translocase complex 	0.00166565596228771 	25 	4.31792343469042 	2.80148926279367e-09 	3.53104375831285e-08 	400995 	3 	23 	1.61454486643845 	0.283132739678524 	0.693907205923417
GO:0043596 	nuclear replication fork 	0.0040099583178187 	41 	2.94146869458589 	2.90242552214437e-09 	3.581628238436e-08 	508828 	3 	40 	0.928363298202108 	0.637589669473 	0.930583863482076
GO:0016605 	PML body 	0.00766332723755377 	62 	2.32752605141974 	2.96002333755041e-09 	3.581628238436e-08 	280256 	11 	104 	1.30923029233631 	0.217926115464448 	0.630838755291823
GO:0001891 	phagocytic cup 	0.00223107338234747 	29 	3.73942110819624 	3.84142917475572e-09 	4.55698951122982e-08 	337014 	3 	28 	1.32623328314587 	0.396768026195861 	0.784506473264312
GO:0098799 	outer mitochondrial membrane protein complex 	0.00170869951578892 	25 	4.2091513734486 	4.60155602510781e-09 	5.3537334522889e-08 	400995 	3 	24 	1.54727216367018 	0.305889628126453 	0.722903222720718
GO:0016514 	SWI/SNF complex 	0.00346018387714647 	37 	3.07625815569234 	5.35905453347141e-09 	6.11741130707585e-08 	476268 	3 	30 	1.23781773093614 	0.441123010148417 	0.819302300815001
GO:0030904 	retromer complex 	0.00139515707525825 	22 	4.53648842577749 	1.02931261292127e-08 	1.1532113533655e-07 	391379 	3 	21 	1.76831104419449 	0.238177615841885 	0.644317399796655
GO:0005954 	calcium- and calmodulin-dependent protein kinase complex 	0.000937315519649606 	18 	5.52467747444897 	1.20228552669133e-08 	1.32251407936046e-07 	618850 	1 	5 	2.47563546187229 	0.343762764345307 	0.751048431113038
GO:0000118 	histone deacetylase complex 	0.00760612555203605 	60 	2.26938402144108 	1.27218025003373e-08 	1.37440902012572e-07 	367838 	11 	84 	1.62095179051162 	0.0749063589747017 	0.380511443832532
GO:0005730 	nucleolus 	0.077510333456065 	356 	1.32132795982685 	8.34341877808953e-08 	8.85573396621783e-07 	364990 	86 	1004 	1.06028212012459 	0.297204518162288 	0.710706456475036
GO:0030123 	AP-3 adaptor complex 	0.000783324048038982 	15 	5.50896523478313 	1.98377181126475e-07 	2.06927921692271e-06 	232771 	4 	13 	3.80866994134198 	0.0167809212754469 	0.14713706335718
GO:0010008 	endosome membrane 	0.0434529673146801 	216 	1.43006093932098 	2.05755461335499e-07 	2.10986532386402e-06 	370166 	50 	544 	1.13770012034572 	0.186592078490723 	0.588858770025514
GO:0030132 	clathrin coat of coated pit 	0.00127177449653068 	19 	4.297973382324 	2.25739632098154e-07 	2.27620795698972e-06 	424339 	1 	16 	0.77363608183509 	0.740327214373648 	0.982232378719423
GO:0016528 	sarcoplasm 	0.0111425309134185 	73 	1.8847738373959 	4.99443804091726e-07 	4.95350002418843e-06 	403539 	13 	90 	1.78795894468554 	0.028460410855033 	0.220750622657628
GO:0031597 	cytosolic proteasome complex 	0.000135262038506182 	7 	14.8882051318652 	6.65287763101929e-07 	6.4919209141398e-06 	58305 	1 	5 	2.47563546187229 	0.343762764345307 	0.751048431113038
GO:0044300 	cerebellar mossy fiber 	0.000903801949412814 	15 	4.77461345488348 	1.15261607636086e-06 	1.10687734317193e-05 	342597 	1 	7 	1.76831104419449 	0.445537945401876 	0.819302300815001
GO:0000813 	ESCRT I complex 	0.000569972722104507 	12 	6.05685820511966 	1.22331659646591e-06 	1.15641647009668e-05 	360344 	1 	11 	1.12528884630559 	0.604204553081034 	0.927776026939151
GO:0036064 	ciliary basal body 	0.013078520666226 	80 	1.75975252180121 	1.93520364999422e-06 	1.80122801268693e-05 	407430 	16 	166 	1.19307733102279 	0.266698562527813 	0.693907205923417
GO:0000145 	exocyst 	0.00221139047434934 	23 	2.99214498631014 	5.90607196948589e-06 	5.41389930536207e-05 	451230 	5 	19 	3.2574150814109 	0.0152511327256728 	0.138971384614859
GO:0046696 	lipopolysaccharide receptor complex 	0.00082165775554625 	13 	4.55168947152999 	9.58799338524052e-06 	8.65781492249331e-05 	445606 	2 	5 	4.95127092374458 	0.055324522176518 	0.31511433349136
GO:0017059 	serine C-palmitoyltransferase complex 	0.00113164704686582 	15 	3.81329581530558 	1.62137769730286e-05 	0.000142164276357715 	771969 	1 	8 	1.54727216367018 	0.490347169013619 	0.845185291319771
GO:0031211 	endoplasmic reticulum palmitoyltransferase complex 	0.00113164704686582 	15 	3.81329581530558 	1.62137769730286e-05 	0.000142164276357715 	771969 	1 	8 	1.54727216367018 	0.490347169013619 	0.845185291319771
GO:0005657 	replication fork 	0.00607804025614777 	43 	2.0352844552224 	1.8136026269655e-05 	0.000156747084187733 	489600 	4 	72 	0.687676517186746 	0.843581251506496 	0.999932261339175
GO:0098800 	inner mitochondrial membrane protein complex 	0.0100345301119972 	62 	1.77752157668406 	1.94087164171464e-05 	0.000165384132850332 	362773 	15 	150 	1.23781773093614 	0.230576481845958 	0.644317399796655
GO:1990124 	messenger ribonucleoprotein complex 	0.00200417767492606 	20 	2.87087317803167 	4.0658096219115e-05 	0.00034164094739673 	446060 	1 	14 	0.884155522097246 	0.692638177483685 	0.958915554639885
GO:0030118 	clathrin coat 	0.00436043914504649 	33 	2.17722815759529 	4.66011762134677e-05 	0.000383515647181562 	349492 	4 	47 	1.05346189866906 	0.532971233402468 	0.878603804382814
GO:0016327 	apicolateral plasma membrane 	0.00360818626011749 	29 	2.31222068331175 	4.69093518866703e-05 	0.000383515647181562 	548364 	5 	24 	2.5787869394503 	0.039897314583882 	0.277446842795961
GO:0032421 	stereocilium bundle 	0.00597244554981206 	41 	1.97493083194859 	5.34553421674966e-05 	0.000431206426817806 	330357 	8 	63 	1.57183203928399 	0.133698461321964 	0.487274512649326
GO:0000276 	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) 	0.000711177554146564 	11 	4.44974246385333 	5.53161339726937e-05 	0.000440345540177365 	325196 	2 	12 	2.06302955156024 	0.252282798398838 	0.669434618558319
GO:0032420 	stereocilium 	0.00503864164994227 	36 	2.05546109353458 	6.82869501926753e-05 	0.000536540322942449 	328454 	6 	55 	1.3503466155667 	0.283087057157957 	0.693907205923417
GO:0045263 	proton-transporting ATP synthase complex, coupling factor F(o) 	0.000739348465170069 	11 	4.28019683695074 	7.76751757418648e-05 	0.000602480529792669 	325196 	2 	15 	1.65042364124819 	0.344761038547066 	0.751048431113038
GO:1904949 	ATPase complex 	0.00968375108983653 	58 	1.72307669259305 	7.9710475246686e-05 	0.000610440981319557 	390953 	12 	156 	0.952167485335495 	0.613316421560623 	0.928690916251535
GO:0005769 	early endosome 	0.0390909589017794 	181 	1.33205600062099 	9.32312544581482e-05 	0.000705061361839746 	378298 	42 	418 	1.24374030381144 	0.0834746252378895 	0.388778222446426
GO:0002178 	palmitoyltransferase complex 	0.00133001850269262 	15 	3.24454504917037 	9.72128050593657e-05 	0.000726095642727361 	771969 	1 	11 	1.12528884630559 	0.604204553081034 	0.927776026939151
GO:0000931 	gamma-tubulin ring complex 	0.000521961295487094 	9 	4.96048843336857 	0.000115619690110202 	0.000853047713617957 	789978 	1 	8 	1.54727216367018 	0.490347169013619 	0.845185291319771
GO:0070603 	SWI/SNF superfamily-type complex 	0.00716252722973752 	45 	1.80745069853276 	0.00017295184912669 	0.00126067311712828 	420539 	8 	99 	1.00025675227163 	0.552985333917976 	0.894535098984962
GO:0036452 	ESCRT complex 	0.00125023876316792 	14 	3.22147902490497 	0.000175515269592141 	0.00126412783456245 	312414 	3 	27 	1.37535303437349 	0.374222906502252 	0.771429526560612
