id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper
GO:0071837 	HMG box domain binding 	0.00184029436935055 	42 	6.5657179939478 	0 	0 	378590 	6 	14 	5.30493313258347 	0.000468653358600024 	0.00794716440008977
GO:0003680 	minor groove of adenine-thymine-rich DNA binding 	0.00192962826090707 	43 	6.41084145696458 	0 	0 	381981 	3 	10 	3.71345319280843 	0.0410527519906789 	0.205405026026251
GO:0001972 	retinoic acid binding 	0.0020227685631245 	39 	5.54675066139632 	0 	0 	508989 	2 	20 	1.23781773093614 	0.488555779542029 	0.769304515165068
GO:0017154 	semaphorin receptor activity 	0.00260029249321424 	46 	5.08927433191895 	0 	0 	415436 	5 	13 	4.76083742667748 	0.00253627893589692 	0.0310986817216899
GO:0004879 	nuclear receptor activity 	0.00961168493156528 	135 	4.0406801523843 	0 	0 	406597 	12 	52 	2.85650245600649 	0.000729698509329357 	0.0114033276850098
GO:0098531 	ligand-activated transcription factor activity 	0.00961168493156528 	135 	4.0406801523843 	0 	0 	406597 	12 	52 	2.85650245600649 	0.000729698509329357 	0.0114033276850098
GO:0001227 	DNA-binding transcription repressor activity, RNA polymerase II-specific 	0.035758689077043 	381 	3.06523389178334 	0 	0 	369112 	61 	324 	2.33045930824397 	3.65009467095945e-10 	1.61618080708593e-08
GO:0001217 	DNA-binding transcription repressor activity 	0.036174299966707 	384 	3.05387545235183 	0 	0 	367162 	63 	329 	2.37028927200538 	9.04845087745798e-11 	4.24212667607883e-09
GO:0001228 	DNA-binding transcription activator activity, RNA polymerase II-specific 	0.0581471425079265 	599 	2.96359379841606 	0 	0 	314639 	108 	470 	2.84434712640646 	0 	0
GO:0001216 	DNA-binding transcription activator activity 	0.0583029350633153 	600 	2.960609062669 	0 	0 	314162 	109 	474 	2.84645849519071 	0 	0
GO:0000981 	DNA-binding transcription factor activity, RNA polymerase II-specific 	0.12966237849225 	1261 	2.79783007889528 	0 	0 	329045 	239 	1359 	2.17688327957129 	0 	0
GO:0042826 	histone deacetylase binding 	0.0118255113453431 	115 	2.7976806783937 	0 	0 	390490 	14 	126 	1.37535303437349 	0.139012679459659 	0.413407110184136
GO:0003700 	DNA-binding transcription factor activity 	0.132120218568457 	1268 	2.76102413071276 	0 	0 	328327 	244 	1413 	2.13749134004543 	0 	0
GO:0000978 	RNA polymerase II cis-regulatory region sequence-specific DNA binding 	0.115743000197422 	1107 	2.75152281032249 	0 	0 	332834 	208 	1190 	2.16358057172032 	0 	0
GO:0000987 	cis-regulatory region sequence-specific DNA binding 	0.117480627344937 	1119 	2.74021135579859 	0 	0 	331424 	211 	1210 	2.15850860518617 	0 	0
GO:0000977 	RNA polymerase II transcription regulatory region sequence-specific DNA binding 	0.130670153117342 	1233 	2.71460665102953 	0 	0 	326498 	238 	1405 	2.09680156557155 	0 	0
GO:1990837 	sequence-specific double-stranded DNA binding 	0.14347511533483 	1318 	2.64276812438912 	0 	0 	331113 	256 	1560 	2.03129063538239 	0 	0
GO:0000976 	transcription cis-regulatory region binding 	0.137882911215434 	1264 	2.63728376802403 	0 	0 	327698 	249 	1502 	2.05204137818309 	0 	0
GO:0001067 	transcription regulatory region nucleic acid binding 	0.138250130786306 	1264 	2.63027862301583 	0 	0 	327698 	249 	1504 	2.04931259975465 	0 	0
GO:0140297 	DNA-binding transcription factor binding 	0.0526966602960326 	480 	2.62046508388159 	0 	0 	389851 	75 	487 	1.9062901400454 	4.17754990600372e-08 	1.44761185873259e-06
GO:0016922 	nuclear receptor binding 	0.0144827764313927 	131 	2.60219418053476 	0 	0 	400087 	17 	140 	1.50306438756532 	0.0592843407569775 	0.265447301029838
GO:0043565 	sequence-specific DNA binding 	0.149893037222288 	1344 	2.579514902929 	0 	0 	329788 	263 	1666 	1.95405800261828 	0 	0
GO:0003690 	double-stranded DNA binding 	0.149649410940947 	1328 	2.55295579857765 	0 	0 	331933 	263 	1661 	1.95994017601569 	0 	0
GO:0008134 	transcription factor binding 	0.0624173497725663 	544 	2.50734333790579 	0 	0 	371205 	89 	597 	1.84532291546594 	1.1264300825431e-08 	4.72507776729919e-07
GO:0140110 	transcription regulator activity 	0.175532508145599 	1473 	2.41415650235765 	0 	0 	332093 	297 	1926 	1.90878435144359 	0 	0
GO:0061629 	RNA polymerase II-specific DNA-binding transcription factor binding 	0.0385553385082615 	311 	2.32057762655049 	0 	0 	386717 	55 	352 	1.93409020458772 	1.66293000103401e-06 	4.90872300305225e-05
GO:0003677 	DNA binding 	0.205614758481203 	1508 	2.10992632045757 	0 	0 	332325 	329 	2514 	1.61989671232296 	0 	0
GO:0046982 	protein heterodimerization activity 	0.0299542382465037 	202 	1.94005178246954 	0 	0 	383453 	36 	365 	1.22086132366305 	0.123411700628677 	0.396369931216023
GO:0003682 	chromatin binding 	0.058676071897335 	358 	1.75526311550475 	0 	0 	316530 	80 	590 	1.67839692330325 	3.06724924503676e-06 	8.73070588676536e-05
GO:0003676 	nucleic acid binding 	0.2960067695669 	1768 	1.718307357094 	0 	0 	336457 	434 	4027 	1.33402755208911 	6.09401418216748e-12 	3.03558081449218e-10
GO:0046983 	protein dimerization activity 	0.0950447013488272 	520 	1.57396715526298 	0 	0 	363901 	114 	1099 	1.28399655438326 	0.00319247140525025 	0.0353549930425592
GO:1901363 	heterocyclic compound binding 	0.428108848624421 	2076 	1.39506157546652 	0 	0 	339693 	582 	6005 	1.19968346278907 	3.78254083610585e-08 	1.37031138471653e-06
GO:0097159 	organic cyclic compound binding 	0.432925341857505 	2084 	1.38485702461571 	0 	0 	339236 	589 	6079 	1.19933318559202 	3.03509612997743e-08 	1.15189124552001e-06
GO:0005488 	binding 	0.888673251439626 	3248 	1.05146336212258 	0 	0 	348672 	1447 	16732 	1.07047708383015 	1.01008090780397e-12 	5.36689655679841e-11
GO:0003674 	molecular_function 	0.91328347770268 	3318 	1.04517981311407 	0 	0 	349868 	1534 	18297 	1.03777253060941 	1.47875742761983e-08 	5.89284834906501e-07
GO:0005515 	protein binding 	0.836817591061558 	3080 	1.05886391351196 	1.11022302462516e-16 	2.45791041840625e-15 	351508 	1271 	14745 	1.06698293388934 	8.84903562203831e-07 	2.71256976567867e-05
GO:0140776 	protein-containing complex destabilizing activity 	0.00137256642625981 	32 	6.70713177402577 	2.22044604925031e-16 	4.78296081419594e-15 	241625 	3 	13 	2.85650245600649 	0.081701099928045 	0.317637934842204
GO:0004698 	calcium,diacylglycerol-dependent serine/threonine kinase activity 	0.00227492097287079 	39 	4.93194840575227 	1.99840144432528e-15 	4.19138408191381e-14 	553973 	3 	16 	2.32090824550527 	0.133952827943902 	0.40439546920943
GO:0004697 	diacylglycerol-dependent serine/threonine kinase activity 	0.00233359422995773 	39 	4.80794506659613 	4.66293670342566e-15 	9.52912962212884e-14 	553973 	3 	17 	2.18438423106378 	0.153407867100748 	0.430344326752539
GO:0008568 	microtubule severing ATPase activity 	0.00104905045452238 	25 	6.85589037466114 	2.04281036531029e-13 	4.07029965288075e-12 	288334 	1 	7 	1.76831104419449 	0.445537945401876 	0.723205178177791
GO:0000182 	rDNA binding 	0.000871934578599753 	23 	7.58864378474858 	2.40696351738734e-13 	4.67890225209197e-12 	433726 	2 	10 	2.47563546187229 	0.190770775082646 	0.479635040192015
GO:0009931 	calcium-dependent protein serine/threonine kinase activity 	0.00268698450021171 	39 	4.17560758704729 	3.45279360658424e-13 	6.55208691535152e-12 	553973 	3 	23 	1.61454486643845 	0.283132739678524 	0.598907769694973
GO:0010857 	calcium-dependent protein kinase activity 	0.00271096978920995 	39 	4.13866392389133 	4.50750547997814e-13 	8.35460899428506e-12 	553973 	3 	24 	1.54727216367018 	0.305889628126453 	0.628335138187584
GO:0003712 	transcription coregulator activity 	0.0504636741770098 	271 	1.54493657736797 	3.43824968496165e-12 	6.22792045207826e-11 	385470 	57 	527 	1.33881614161974 	0.0146275144212994 	0.106955311869501
