id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper
GO:0002141 	stereocilia ankle link 	0.000726832447715204 	27 	10.6868493986567 	0 	0 	388358 	2 	6 	3.75440779921178 	0.0928839316276058 	0.475927401879502
GO:0002142 	stereocilia ankle link complex 	0.000726832447715204 	27 	10.6868493986567 	0 	0 	388358 	2 	6 	3.75440779921178 	0.0928839316276058 	0.475927401879502
GO:1990075 	periciliary membrane compartment 	0.000765359505361571 	26 	9.77300452642582 	0 	0 	397324 	1 	6 	1.87720389960589 	0.42761080232208 	0.839276795066049
GO:0060171 	stereocilium membrane 	0.00097985459268226 	29 	8.5144499624653 	0 	0 	385093 	2 	6 	3.75440779921178 	0.0928839316276058 	0.475927401879502
GO:0043240 	Fanconi anaemia nuclear complex 	0.00115089389583545 	33 	8.2489540699009 	0 	0 	572131 	1 	13 	0.866401799818104 	0.701536209135535 	0.993128276502384
GO:1990907 	beta-catenin-TCF complex 	0.00340695437960962 	61 	5.15090747749429 	0 	0 	369174 	7 	12 	6.57021364862062 	2.27772084091526e-05 	0.00164850045861242
GO:0032391 	photoreceptor connecting cilium 	0.00316352859691601 	54 	4.91068670241303 	0 	0 	456631 	4 	37 	1.21764577271733 	0.419250179265501 	0.839276795066049
GO:0002116 	semaphorin receptor complex 	0.00271134729854843 	45 	4.7747165593946 	0 	0 	424081 	4 	13 	3.46560719927241 	0.0230545583022588 	0.242701622854688
GO:0016363 	nuclear matrix 	0.0115943809975513 	118 	2.92788943194162 	0 	0 	309368 	14 	123 	1.28199290704793 	0.20168009420895 	0.648145977344357
GO:0034399 	nuclear periphery 	0.0126461822662886 	127 	2.88911291900015 	0 	0 	296935 	16 	143 	1.26022079973542 	0.200144926134576 	0.64739615772022
GO:0005667 	transcription regulator complex 	0.0526301757614071 	460 	2.51445138644222 	0 	0 	330887 	84 	487 	1.94273257782622 	2.12234141372392e-09 	2.45767135709229e-07
GO:0000785 	chromatin 	0.139119504496778 	1211 	2.50424233524639 	0 	0 	332270 	249 	1307 	2.14578624790451 	0 	0
GO:0032993 	protein-DNA complex 	0.144646247679909 	1222 	2.43043642970483 	0 	0 	332162 	257 	1373 	2.10826541383269 	0 	0
GO:0090575 	RNA polymerase II transcription regulator complex 	0.0225977563180781 	164 	2.08784742917542 	0 	0 	337461 	31 	237 	1.47324863007045 	0.0187537033666618 	0.21290969116269
GO:0005694 	chromosome 	0.175163117130119 	1253 	2.05792071173616 	0 	0 	334467 	275 	1857 	1.66795176863205 	0 	0
GO:0016604 	nuclear body 	0.0655031808884098 	376 	1.65137492919975 	0 	0 	355660 	74 	770 	1.08243965120132 	0.250133729870349 	0.706299389728257
GO:0031981 	nuclear lumen 	0.335846904090832 	1654 	1.41681905205622 	0 	0 	356390 	400 	4227 	1.06583613888198 	0.0681252240901284 	0.406644378847262
GO:0005654 	nucleoplasm 	0.312554634413518 	1520 	1.39906495251019 	0 	0 	354318 	362 	3897 	1.04626298946472 	0.162053639144214 	0.612850932190783
GO:0032991 	protein-containing complex 	0.454982489825043 	2080 	1.31519116933365 	0 	0 	339721 	637 	5767 	1.24409108796492 	3.25361959596648e-12 	4.70961436516149e-10
GO:0031974 	membrane-enclosed lumen 	0.397726961740068 	1780 	1.28752361070677 	0 	0 	350473 	483 	5277 	1.03091470552546 	0.210339591521888 	0.654766792963297
GO:0043233 	organelle lumen 	0.397726961740068 	1780 	1.28752361070677 	0 	0 	350473 	483 	5277 	1.03091470552546 	0.210339591521888 	0.654766792963297
GO:0070013 	intracellular organelle lumen 	0.397726961740068 	1780 	1.28752361070677 	0 	0 	350473 	483 	5277 	1.03091470552546 	0.210339591521888 	0.654766792963297
GO:0043232 	intracellular non-membrane-bounded organelle 	0.396144410935455 	1769 	1.28467872534468 	0 	0 	348287 	506 	4979 	1.14464571986413 	0.000121218040446514 	0.00597086271874953
GO:0043228 	non-membrane-bounded organelle 	0.396158774672196 	1769 	1.28463214607347 	0 	0 	348287 	506 	4980 	1.144415871326 	0.000123748450129524 	0.00597086271874953
GO:0005634 	nucleus 	0.519532507290501 	2258 	1.25034955289449 	0 	0 	344190 	690 	7112 	1.09274805179533 	0.000985586929969084 	0.02593885602055
GO:0043231 	intracellular membrane-bounded organelle 	0.724382002260601 	2722 	1.08103735620045 	1.22124532708767e-15 	2.71961940147601e-14 	344758 	1056 	11268 	1.05555235249405 	0.00142006843556997 	0.0342591510081254
GO:0002139 	stereocilia coupling link 	0.00121203883489422 	28 	6.64602129191695 	1.62092561595273e-14 	3.47598493198752e-13 	378293 	3 	8 	4.22370877411325 	0.0278334360643471 	0.24793168432703
GO:0030119 	AP-type membrane coat adaptor complex 	0.00282463516182714 	42 	4.27766885376796 	1.99840144432528e-14 	4.13240870094406e-13 	334665 	6 	39 	1.73280359963621 	0.1277321134661 	0.56889918228363
GO:0035869 	ciliary transition zone 	0.00548879617590107 	59 	3.0923962654764 	1.55098156540134e-13 	3.0966149185082e-12 	458703 	6 	67 	1.00864687143003 	0.553472603537059 	0.918360613340437
GO:0030131 	clathrin adaptor complex 	0.0019344623547897 	32 	4.75893669718323 	1.59694479862083e-12 	3.08210346133819e-11 	380524 	3 	25 	1.35158680771624 	0.385186525608282 	0.812743905397577
GO:0140513 	nuclear protein-containing complex 	0.0924593019224011 	440 	1.36905942235266 	2.15369944100985e-11 	4.02255476240227e-10 	368384 	92 	1195 	0.867126822244729 	0.939993385032335 	0.999860689809865
GO:0043227 	membrane-bounded organelle 	0.762491097157954 	2810 	1.06020970384095 	4.22408774625183e-11 	7.6429587658744e-10 	343895 	1135 	12250 	1.04357212704621 	0.00418374337494398 	0.078141529486857
GO:0001401 	SAM complex 	0.00125073915877439 	24 	5.52032601578728 	4.96738206123837e-11 	8.45915945134416e-10 	415011 	2 	12 	1.87720389960589 	0.289180876801831 	0.709473422323136
GO:0140275 	MIB complex 	0.00125073915877439 	24 	5.52032601578728 	4.96738206123837e-11 	8.45915945134416e-10 	415011 	2 	12 	1.87720389960589 	0.289180876801831 	0.709473422323136
GO:1990316 	Atg1/ULK1 kinase complex 	0.0010635350351012 	22 	5.95101591876415 	7.78792585975907e-11 	1.28834544937157e-09 	374195 	2 	7 	3.21806382789581 	0.12259385504616 	0.550246837765324
GO:0016605 	PML body 	0.00741634285916626 	64 	2.48262089936956 	1.40415457039467e-10 	2.25834860071809e-09 	293975 	12 	96 	1.40790292470442 	0.142700255487482 	0.587036738253319
GO:0043229 	intracellular organelle 	0.761834708157043 	2802 	1.05810217845922 	2.10087502949818e-10 	3.28758551913364e-09 	344613 	1129 	12291 	1.03459272768125 	0.0180931711473327 	0.21290969116269
GO:0072687 	meiotic spindle 	0.000921730409141731 	20 	6.24232408293084 	2.45801379250565e-10 	3.74523680489677e-09 	479102 	1 	13 	0.866401799818104 	0.701536209135535 	0.993128276502384
GO:0016607 	nuclear speck 	0.0350621189897432 	193 	1.58357771673638 	8.08511479988283e-10 	1.20032858182876e-08 	344709 	39 	379 	1.15901243405746 	0.186472836967913 	0.637163584117149
GO:0001891 	phagocytic cup 	0.00209605575475656 	29 	3.98029626881461 	9.81890568851895e-10 	1.42128659841312e-08 	337014 	3 	26 	1.29960269972716 	0.40994612702865 	0.832837921226626
GO:0030904 	retromer complex 	0.0012240306283804 	22 	5.17071532141735 	1.01321973033919e-09 	1.43086396064973e-08 	391379 	3 	19 	1.77840369436348 	0.235116320977468 	0.675532099825381
GO:0030122 	AP-2 adaptor complex 	0.000932295564541716 	19 	5.86300433285263 	1.86563897663916e-09 	2.5121045755211e-08 	424339 	1 	10 	1.12632233976353 	0.605446774686151 	0.951758307047988
GO:0030128 	clathrin coat of endocytic vesicle 	0.000932295564541716 	19 	5.86300433285263 	1.86563897663916e-09 	2.5121045755211e-08 	424339 	1 	10 	1.12632233976353 	0.605446774686151 	0.951758307047988
GO:0005742 	mitochondrial outer membrane translocase complex 	0.00166026360391895 	25 	4.33194758755009 	2.62958710361971e-09 	3.46029757499049e-08 	400995 	3 	21 	1.60903191394791 	0.284715820364285 	0.709473422323136
GO:0005575 	cellular_component 	0.914677346003947 	3271 	1.02880449572613 	2.96605906502379e-09 	3.8163293303306e-08 	355081 	1522 	16804 	1.02015151221144 	0.00095181415841572 	0.02593885602055
GO:0098799 	outer mitochondrial membrane protein complex 	0.00170330715742017 	25 	4.22247677546732 	4.32802149674671e-09 	5.44766184047032e-08 	400995 	3 	22 	1.53589409967755 	0.309849785422634 	0.725701410093287
GO:0005954 	calcium- and calmodulin-dependent protein kinase complex 	0.000937315519649606 	18 	5.52467747444897 	1.20228552669133e-08 	1.48111344671123e-07 	618850 	1 	5 	2.25264467952707 	0.371822990539668 	0.803304147471895
GO:0043596 	nuclear replication fork 	0.00440573958485444 	42 	2.74252565824427 	1.31801982661273e-08 	1.5898614158516e-07 	505984 	4 	41 	1.09885106318394 	0.499705201054587 	0.871473829550018
GO:0000118 	histone deacetylase complex 	0.00790575529268101 	61 	2.21976346847714 	2.09000839967999e-08 	2.46962217023411e-07 	362559 	11 	75 	1.65193943165318 	0.0663253579524161 	0.404917955095978
GO:0043226 	organelle 	0.795700786333877 	2892 	1.04560760565468 	3.18644111096944e-08 	3.68989880650261e-07 	345832 	1203 	13010 	1.04148022654537 	0.00271430963722497 	0.0561280457126162
GO:0110165 	cellular anatomical entity 	0.911768841134424 	3252 	1.02609134088118 	1.43615245473683e-07 	1.6304554339071e-06 	354698 	1514 	16700 	1.02110899545029 	0.000914692080073443 	0.02593885602055
GO:0071013 	catalytic step 2 spliceosome 	0.00519744747193541 	43 	2.38011849438605 	4.02581235681154e-07 	4.48258722037285e-06 	430006 	7 	84 	0.938601949802945 	0.625928915636273 	0.955219076661108
GO:0030123 	AP-3 adaptor complex 	0.00101141900289004 	16 	4.55102379094266 	9.51977661589609e-07 	1.03999069067997e-05 	263023 	4 	11 	4.09571759914013 	0.0122791733750807 	0.187095825899255
GO:0030132 	clathrin coat of coated pit 	0.00141605182567749 	19 	3.86006559596942 	1.08913498420016e-06 	1.16779473305906e-05 	424339 	1 	17 	0.662542552802079 	0.794297165778456 	0.999860689809865
GO:0044300 	cerebellar mossy fiber 	0.000903801949412814 	15 	4.77461345488348 	1.15261607636086e-06 	1.21339037856898e-05 	342597 	1 	7 	1.60903191394791 	0.4784469602014 	0.857649504509631
GO:0005622 	intracellular anatomical structure 	0.815201330089103 	2939 	1.03718192260731 	1.42000671699005e-06 	1.4681855163165e-05 	347321 	1254 	13772 	1.02556506975274 	0.0289648605782387 	0.254068539858663
GO:0016528 	sarcoplasm 	0.0121530155041046 	75 	1.77540502057241 	2.93448862165313e-06 	2.98082265252134e-05 	411454 	13 	94 	1.55767983158787 	0.0718148235447759 	0.411690919132923
GO:0098800 	inner mitochondrial membrane protein complex 	0.0097410280048978 	62 	1.83107920200954 	8.20126732947735e-06 	8.18712721339204e-05 	362773 	15 	129 	1.30967713925992 	0.170322076493443 	0.618030426606777
GO:0036064 	ciliary basal body 	0.0139319984762661 	81 	1.6725990000692 	1.01759382419297e-05 	9.98621735945309e-05 	413676 	16 	166 	1.08561189374799 	0.403594784237407 	0.828508593700308
GO:0016327 	apicolateral plasma membrane 	0.00340629909964877 	29 	2.44926316093181 	1.71160014612592e-05 	0.000165169414101152 	548364 	5 	20 	2.81580584940884 	0.0274835623187042 	0.24793168432703
GO:0010008 	endosome membrane 	0.0451385196190104 	210 	1.33841937628776 	1.99896399410981e-05 	0.000189737729932718 	370376 	51 	509 	1.12853515379058 	0.198929082804236 	0.64739615772022
GO:0046696 	lipopolysaccharide receptor complex 	0.000906526212024087 	13 	4.1255629517544 	2.63074312190081e-05 	0.000245677462512995 	445606 	2 	5 	4.50528935905414 	0.0657157511064843 	0.404917955095978
GO:0005657 	replication fork 	0.00639409897172812 	44 	1.97967343077897 	2.77144173135291e-05 	0.00025470869245291 	487322 	5 	74 	0.761028607948334 	0.79752657453682 	0.999860689809865
GO:0014701 	junctional sarcoplasmic reticulum membrane 	0.00137274616019193 	16 	3.35312680395371 	3.96364574517527e-05 	0.000358586076008825 	366659 	1 	9 	1.25146926640393 	0.56698238296816 	0.918360613340437
GO:0000276 	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) 	0.000701268019112605 	11 	4.51262124576819 	4.8892913629861e-05 	0.000435523030641378 	325196 	2 	10 	2.25264467952707 	0.220802857506246 	0.655614638441622
GO:0008541 	proteasome regulatory particle, lid subcomplex 	0.000264960154435673 	7 	7.60042195825034 	4.98630937953992e-05 	0.000437435322841457 	58305 	1 	7 	1.60903191394791 	0.4784469602014 	0.857649504509631
GO:0044615 	nuclear pore nuclear basket 	0.00157266543834705 	17 	3.10980251874309 	5.77274370441305e-05 	0.000491762703160995 	602539 	2 	11 	2.04785879957006 	0.254950902337143 	0.706299389728257
GO:0000813 	ESCRT I complex 	0.000980818279731181 	13 	3.81307224019709 	5.79284469035546e-05 	0.000491762703160995 	340820 	2 	11 	2.04785879957006 	0.254950902337143 	0.706299389728257
GO:0030118 	clathrin coat 	0.00460808969636043 	34 	2.12264919459993 	5.86038454544191e-05 	0.000491762703160995 	360296 	4 	48 	0.938601949802945 	0.62691407449261 	0.955219076661108
GO:0045263 	proton-transporting ATP synthase complex, coupling factor F(o) 	0.000736716111955903 	11 	4.29549036687111 	7.53020512578306e-05 	0.000622855538261199 	325196 	2 	12 	1.87720389960589 	0.289180876801831 	0.709473422323136
GO:0000931 	gamma-tubulin ring complex 	0.000494764624072918 	9 	5.23316106882414 	7.76388949432771e-05 	0.000633139720734612 	789978 	1 	7 	1.60903191394791 	0.4784469602014 	0.857649504509631
GO:0032420 	stereocilium 	0.00528235064974104 	37 	2.01509130651688 	8.09113162545394e-05 	0.000650661834880254 	323320 	7 	55 	1.43350115969904 	0.212997144110818 	0.655614638441622
GO:0097733 	photoreceptor cell cilium 	0.00989741558853151 	58 	1.68587907120969 	0.000138897333088472 	0.00110166514874282 	447049 	8 	112 	0.804515956973953 	0.787999650755119 	0.999860689809865
GO:0097226 	sperm mitochondrial sheath 	0.000428105801998109 	8 	5.37599808654827 	0.000159902664023215 	0.0012511303036411 	219053 	2 	5 	4.50528935905414 	0.0657157511064843 	0.404917955095978
GO:0045179 	apical cortex 	0.000810829807351576 	11 	3.9028621460794 	0.000171595897310306 	0.00132472032723556 	465806 	1 	8 	1.40790292470442 	0.524770717176824 	0.888427617676553
GO:0005753 	mitochondrial proton-transporting ATP synthase complex 	0.000957752084704008 	12 	3.60452774126823 	0.000183088530749886 	0.00139484551716032 	304364 	3 	19 	1.77840369436348 	0.235116320977468 	0.675532099825381
