id 	description 	genome_fraction 	observed_region_hits 	fold_enrichment 	p_value 	p_adjust 	mean_tss_dist 	observed_gene_hits 	gene_set_size 	fold_enrichment_hyper 	p_value_hyper 	p_adjust_hyper
GO:0031545 	peptidyl-proline 4-dioxygenase activity 	0.000786057501589965 	31 	11.3456036930394 	0 	0 	542741 	1 	8 	1.40790292470442 	0.524770717176824 	0.833521360013791
GO:0003680 	minor groove of adenine-thymine-rich DNA binding 	0.00159730566690096 	52 	9.3655986643481 	0 	0 	349486 	4 	9 	5.00587706561571 	0.00541609175514068 	0.0702316160379718
GO:0031543 	peptidyl-proline dioxygenase activity 	0.00105203206344556 	31 	8.4772101562872 	0 	0 	542741 	1 	12 	0.938601949802945 	0.672434133295526 	0.92223540233589
GO:0071837 	HMG box domain binding 	0.00205408175431352 	46 	6.44258769808287 	0 	0 	382998 	6 	13 	5.19841079890862 	0.00048121872525364 	0.0118951253648634
GO:0001972 	retinoic acid binding 	0.0020258257419964 	39 	5.53838004561323 	0 	0 	508989 	2 	20 	1.12632233976353 	0.540866009698453 	0.843836318878652
GO:0017154 	semaphorin receptor activity 	0.00270206955551829 	46 	4.89758001017054 	0 	0 	415436 	5 	12 	4.69300974901473 	0.00255045406976007 	0.0380643239467965
GO:0004879 	nuclear receptor activity 	0.00964377969303489 	135 	4.02723265878805 	0 	0 	406597 	12 	51 	2.65017021120832 	0.00138790391174237 	0.0244595646726566
GO:0098531 	ligand-activated transcription factor activity 	0.0100007503449139 	135 	3.8834830582186 	0 	0 	406597 	12 	52 	2.59920539945431 	0.00166089408313153 	0.0268115759134089
GO:0001228 	DNA-binding transcription activator activity, RNA polymerase II-specific 	0.0575140389229754 	596 	2.981210381905 	0 	0 	314433 	109 	447 	2.74651308801399 	0 	0
GO:0001216 	DNA-binding transcription activator activity 	0.0579795620617511 	597 	2.96223584365968 	0 	0 	313957 	110 	453 	2.73499905902845 	0 	0
GO:0001227 	DNA-binding transcription repressor activity, RNA polymerase II-specific 	0.033719705994243 	338 	2.88372042299963 	0 	0 	337119 	57 	250 	2.56801493466086 	2.06706873839835e-11 	1.02190710754568e-09
GO:0001217 	DNA-binding transcription repressor activity 	0.034600208230679 	346 	2.8768526519232 	0 	0 	341076 	59 	259 	2.56575359251153 	9.5528029930847e-12 	5.03751144502e-10
GO:0042826 	histone deacetylase binding 	0.0114348630479332 	110 	2.76746380674607 	0 	0 	389743 	15 	118 	1.43176568614009 	0.0997457593510642 	0.381440594103816
GO:0000981 	DNA-binding transcription factor activity, RNA polymerase II-specific 	0.128158620252155 	1209 	2.71393042576384 	0 	0 	322910 	236 	1278 	2.07990666810794 	0 	0
GO:0003700 	DNA-binding transcription factor activity 	0.132249148730313 	1216 	2.64521466611064 	0 	0 	322199 	241 	1355 	2.00327441980083 	0 	0
GO:0000978 	RNA polymerase II cis-regulatory region sequence-specific DNA binding 	0.115908788750759 	1056 	2.62100459877717 	0 	0 	323837 	204 	1119 	2.05334903763862 	0 	0
GO:0000977 	RNA polymerase II transcription regulatory region sequence-specific DNA binding 	0.129155181590395 	1173 	2.61280145941597 	0 	0 	319577 	232 	1309 	1.99623210714393 	0 	0
GO:0000987 	cis-regulatory region sequence-specific DNA binding 	0.117376971586475 	1057 	2.5906713322123 	0 	0 	323634 	205 	1140 	2.02540420746951 	0 	0
GO:1990837 	sequence-specific double-stranded DNA binding 	0.141698937641712 	1260 	2.55813926118998 	0 	0 	324335 	251 	1458 	1.93900485103325 	0 	0
GO:0000976 	transcription cis-regulatory region binding 	0.135403693353865 	1199 	2.54746898195236 	0 	0 	320766 	241 	1396 	1.94443899629665 	0 	0
GO:0001067 	transcription regulatory region nucleic acid binding 	0.135770912924737 	1199 	2.54057884292177 	0 	0 	320766 	241 	1398 	1.94165725238206 	0 	0
GO:0140297 	DNA-binding transcription factor binding 	0.0527684571938109 	464 	2.52966968330875 	0 	0 	377161 	75 	451 	1.87304158497262 	7.44961063947613e-08 	3.10139053464506e-06
GO:0003690 	double-stranded DNA binding 	0.146656896797606 	1269 	2.48931217413473 	0 	0 	325166 	256 	1543 	1.86868774452019 	0 	0
GO:0043565 	sequence-specific DNA binding 	0.148906793905292 	1286 	2.4845439745061 	0 	0 	323956 	258 	1562 	1.86037876862351 	0 	0
GO:0008134 	transcription factor binding 	0.0638884478381967 	539 	2.42709435564865 	0 	0 	358550 	93 	567 	1.84740701231056 	4.09976186332983e-09 	1.8016175743855e-07
GO:0140110 	transcription regulator activity 	0.176375079714254 	1438 	2.34553487774974 	0 	0 	330787 	293 	1821 	1.81225944838394 	0 	0
GO:0061629 	RNA polymerase II-specific DNA-binding transcription factor binding 	0.0383337231659065 	312 	2.34149817732105 	0 	0 	383838 	56 	323 	1.95275699773244 	8.60610464559208e-07 	3.24163274983968e-05
GO:0003677 	DNA binding 	0.203409642014624 	1456 	2.05925472767617 	0 	0 	330478 	320 	2362 	1.52592357630961 	4.44089209850063e-16 	2.50910403565285e-14
GO:0003682 	chromatin binding 	0.060699311581221 	371 	1.75837044834357 	0 	0 	320919 	78 	585 	1.50176311968471 	0.00017871044509421 	0.00504857007391143
GO:0003676 	nucleic acid binding 	0.293135851555932 	1702 	1.67036295808005 	0 	0 	336381 	427 	3745 	1.28421799487057 	1.80049197773258e-09 	8.37758326109687e-08
GO:0097159 	organic cyclic compound binding 	0.428899498532219 	1995 	1.33815861309443 	0 	0 	342852 	573 	5646 	1.14307952654004 	3.48475699836204e-05 	0.00119845338508886
GO:0016922 	nuclear receptor binding 	0.0142350223969057 	116 	2.34433713337843 	3.33066907387547e-16 	8.23299761698593e-15 	363963 	17 	128 	1.49589685749844 	0.0606319776907654 	0.30547703409806
GO:0140776 	protein-containing complex destabilizing activity 	0.00141769155740291 	32 	6.49364372768982 	4.44089209850063e-16 	1.06446837876182e-14 	241625 	3 	12 	2.81580584940884 	0.0838010300136981 	0.343453962387747
GO:0000217 	DNA secondary structure binding 	0.00394481770282202 	52 	3.79224718287527 	1.99840144432528e-15 	4.6492221837097e-14 	349486 	4 	38 	1.18560246290898 	0.439731674983847 	0.778138154166047
GO:0004697 	diacylglycerol-dependent serine/threonine kinase activity 	0.00232030140789473 	39 	4.83548940115607 	3.77475828372553e-15 	8.5309537212197e-14 	553973 	3 	16 	2.11185438705663 	0.164462866086011 	0.496533048007376
GO:0046983 	protein dimerization activity 	0.0916199482038601 	455 	1.42870178378592 	1.86517468137026e-14 	4.09820325823299e-13 	345967 	111 	1041 	1.20097771098705 	0.0232857242436764 	0.181760593432757
GO:0031418 	L-ascorbic acid binding 	0.00185150220971994 	33 	5.12755039461281 	9.9475983006414e-14 	2.12663520427226e-12 	516902 	3 	20 	1.6894835096453 	0.259761583406388 	0.604327683748392
GO:0003674 	molecular_function 	0.900628978657169 	3251 	1.03846361591789 	2.87991852587766e-13 	5.99477777360323e-12 	354033 	1497 	16425 	1.02654766674339 	0.00017790116896288 	0.00504857007391143
GO:0008198 	ferrous iron binding 	0.00294844869350559 	41 	4.00046535808429 	3.34621219622022e-13 	6.7868047364364e-12 	498456 	4 	26 	1.73280359963621 	0.195362914718798 	0.534713029559063
GO:0005501 	retinoid binding 	0.0028606970052 	40 	4.02261401364515 	5.44564393578639e-13 	1.05061081785537e-11 	498600 	3 	36 	0.938601949802946 	0.631195767043624 	0.903196042644631
GO:0019840 	isoprenoid binding 	0.0028606970052 	40 	4.02261401364515 	5.44564393578639e-13 	1.05061081785537e-11 	498600 	3 	36 	0.938601949802946 	0.631195767043624 	0.903196042644631
GO:0008568 	microtubule severing ATPase activity 	0.00115497058820489 	25 	6.22714984012912 	1.59539048638635e-12 	3.00465208269429e-11 	288334 	1 	9 	1.25146926640393 	0.56698238296816 	0.865852404399973
GO:0046982 	protein heterodimerization activity 	0.0284992175172634 	170 	1.71607481445739 	2.92486035391448e-11 	5.38038265103804e-10 	354873 	34 	342 	1.11973565941404 	0.268306872220283 	0.616949813739081
GO:0070016 	armadillo repeat domain binding 	0.000914096823104271 	21 	6.60917615596366 	3.18791659736917e-11 	5.73100461027048e-10 	261714 	2 	8 	2.81580584940884 	0.154180661373432 	0.482043095440254
GO:0030957 	Tat protein binding 	0.00126115079144069 	24 	5.4747520788206 	5.85663739727238e-11 	1.02946670694277e-09 	569127 	2 	7 	3.21806382789581 	0.12259385504616 	0.425789453470674
GO:0000182 	rDNA binding 	0.00116624923285056 	23 	5.67357365322808 	7.34674543423353e-11 	1.26332079097363e-09 	433726 	2 	10 	2.25264467952707 	0.220802857506246 	0.563571900461572
