userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	size
1	3011	ucsc_features	97.8185798079001	2.84562185751098	600	2	194	13	194	69.7	6282	13555	403857	UCSC Vista enhancers	NA	NA	NA	NA	NA	vistaEnhancers.bed	1339
1	1040	encode_tfbs	25.6223651155551	1.95055135027719	328	4	266	30	266	100	4928	13827	405211	ChIP SH-SY5Y GATA3_(SC-269)	SH-SY5Y	NA	GATA3_(SC-269)	None	NA	wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk.narrowPeak	15879
1	821	encode_tfbs	23.1398003367847	1.98725849812128	280	5	263	41	263	103	4123	13875	406016	ChIP HEK293 TCF7L2	HEK293	NA	TCF7L2	None	NA	wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk.narrowPeak	8960
1	3004	ucsc_features	211.826431293324	1.71716114496977	6534	1	311	2	311	105	136587	7621	273552	UCSC LaminB1 Lads	NA	NA	NA	NA	NA	laminB1Lads.bed	1296
1	202	cistrome_epigenome	13.3219585990116	1.89184306734346	177	6	271	94	271	124	2727	13978	407412	cistrome_epigenome UPR9 cells H3K27me3	UPR9 cells	hematopoietic stem cell	H3K27me3	No treatment	NA	Human_UPR9-cells_H3K27me3_No-treatment_Stunnenberg.bed	15095
1	2999	ucsc_features	51.3804175625466	1.42935250516685	12169	3	372	1	372	125	332561	1986	77578	UCSC coriellDelDup table	NA	NA	NA	NA	NA	coriellDelDup.bed	864
1	2371	sheffield_dnase	11.1689005307335	1.71239704491172	199	9	312	74	312	132	3387	13956	406752	Ewing sarcoma	NA	NA	NA	NA	NA	2474.bed	42606
1	194	cistrome_epigenome	11.6481979277275	1.43927818972941	435	8	371	18	371	132	8840	13720	401299	cistrome_epigenome NB4 cells H3K27me3	NB4 cells	hematopoietic stem cell	H3K27me3	ATRA(24hr)	NA	Human_NB4-cells_H3K27me3_ATRA-24hr_Stunnenberg.bed	43145
1	717	encode_tfbs	11.9561095277974	1.41833231563137	485	7	380	16	380	134	10009	13670	400130	ChIP SK-N-SH_RA p300	SK-N-SH_RA	NA	p300	None	NA	wgEncodeAwgTfbsHaibSknshraP300V0416102UniPk.narrowPeak	46484
1	209	cistrome_epigenome	10.0283609396528	1.67451195027022	191	12	319	78	319	136	3323	13964	406816	cistrome_epigenome VCaP H3K27me3	VCaP	prostate	H3K27me3	regular medium	NA	Human_VCaP_H3K27me3_regular-medium_Chinnaiyan.bed	14481
