userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	size
1	3011	ucsc_features	97.8185798079001	2.84562185751098	600	2	194	13	194	69.7	6282	13555	403857	UCSC Vista enhancers	NA	NA	NA	NA	NA	vistaEnhancers.bed	1339
1	821	encode_tfbs	23.1398003367847	1.98725849812128	280	5	263	41	263	103	4123	13875	406016	ChIP HEK293 TCF7L2	HEK293	NA	TCF7L2	None	NA	wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk.narrowPeak	8960
1	1040	encode_tfbs	25.6223651155551	1.95055135027719	328	4	266	30	266	100	4928	13827	405211	ChIP SH-SY5Y GATA3_(SC-269)	SH-SY5Y	NA	GATA3_(SC-269)	None	NA	wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk.narrowPeak	15879
1	202	cistrome_epigenome	13.3219585990116	1.89184306734346	177	6	271	94	271	124	2727	13978	407412	cistrome_epigenome UPR9 cells H3K27me3	UPR9 cells	hematopoietic stem cell	H3K27me3	No treatment	NA	Human_UPR9-cells_H3K27me3_No-treatment_Stunnenberg.bed	15095
1	2877	sheffield_dnase	7.18427200033256	1.85070312069156	95	19	277	177	277	158	1492	14060	408647	Liver;Epithelial	NA	NA	NA	NA	NA	862.bed	31684
1	2798	sheffield_dnase	6.76378863149218	1.82112821751843	93	22	280	181	280	161	1484	14062	408655	Brain	NA	NA	NA	NA	NA	756.bed	17284
1	132	cistrome_cistrome	5.24887735337622	1.8613856477749	65	40	276	283	283	200	1014	14090	409125	cistrome_cistrome VCaP ERG	VCaP	prostate	ERG	No treatment	NA	Human_VCaP_ERG_No-treatment_Chinnaiyan.bed	7338
1	263	codex	7.10919470240163	1.78885731949362	104	20	295	164	295	160	1690	14051	408449	codex Embryonic Stem Cell SOX2	Embryonic Stem Cell	NA	SOX2	NA	GSE46130	GSM1124069_SOX2.bed	5204
1	2522	sheffield_dnase	5.5875319061239	1.78710820734848	79	35	296	226	296	186	1284	14076	408855	sheffield_dnase	NA	NA	NA	NA	NA	409.bed	38590
1	348	codex	4.68995002494492	1.7803375441882	65	47	299	283	299	210	1060	14090	409079	K562 erythrocytic leukaemia cells (ATCC CCL-243) were grown according to standar	Erythrocytic leukaemia cells	NA	CBX8	NA	GSE32509	GSM830987_CBX8.bed	7105
1	3004	ucsc_features	211.826431293324	1.71716114496977	6534	1	311	2	311	105	136587	7621	273552	UCSC LaminB1 Lads	NA	NA	NA	NA	NA	laminB1Lads.bed	1296
1	2371	sheffield_dnase	11.1689005307335	1.71239704491172	199	9	312	74	312	132	3387	13956	406752	Ewing sarcoma	NA	NA	NA	NA	NA	2474.bed	42606
1	2367	sheffield_dnase	4.18022270475913	1.70609495643575	65	52	313	283	313	216	1106	14090	409033	Melanocyte, Colo829, and Ewing sarcoma	NA	NA	NA	NA	NA	2468.bed	9461
1	709	encode_tfbs	8.01377423442303	1.67932599745229	147	14	318	117	318	150	2547	14008	407592	ChIP SK-N-MC FOXP2	SK-N-MC	NA	FOXP2	None	NA	wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk.narrowPeak	14694
1	209	cistrome_epigenome	10.0283609396528	1.67451195027022	191	12	319	78	319	136	3323	13964	406816	cistrome_epigenome VCaP H3K27me3	VCaP	prostate	H3K27me3	regular medium	NA	Human_VCaP_H3K27me3_regular-medium_Chinnaiyan.bed	14481
1	281	codex	8.50437717830539	1.56900885909115	204	13	332	72	332	139	3787	13951	406352	codex Endometrial Stromal Cell NR2F2	Endometrial Stromal Cell	NA	NR2F2	NA	GSE52008	GSM1257396_NR2F2.bed	19927
1	347	codex	3.32681402474624	1.54121130356183	72	79	338	253	338	223	1356	14083	408783	K562 erythrocytic leukaemia cells (ATCC CCL-243) were grown according to standar	Erythrocytic leukaemia cells	NA	CBX2	NA	GSE32509	GSM830986_CBX2.bed	8285
1	120	cistrome_cistrome	2.90596353888159	1.53248964940366	62	108	340	301	340	250	1174	14093	408965	cistrome_cistrome U2OS cells ESR2	U2OS cells	osteosarcoma	ESR2	No treatment	NA	Human_U2OS-cells_ESR2_No-treatment_Leitman.bed	17406
1	528	encode_tfbs	4.24307412958076	1.50882182510664	107	51	352	159	352	187	2060	14048	408079	ChIP ECC-1 ERalpha_a	ECC-1	NA	ERalpha_a	Estradiol_10nM	NA	wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Est10nm1hUniPk.narrowPeak	16087
1	1143	sheffield_dnase	6.65977935278474	1.49797465089448	189	25	353	80	353	153	3672	13966	406467	Stem cell specific (weak)	NA	NA	NA	NA	NA	10.bed	63191
1	912	encode_tfbs	7.53557571136512	1.49494266224556	220	18	354	63	354	145	4286	13935	405853	ChIP HUVEC GATA-2	HUVEC	NA	GATA-2	None	NA	wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk.narrowPeak	27452
1	723	encode_tfbs	2.94565839231701	1.61542709207274	51	99	324	354	354	259	916	14104	409223	ChIP T-47D ERalpha_a	T-47D	NA	ERalpha_a	Genistein_100nM	NA	wgEncodeAwgTfbsHaibT47dEralphaaPcr2xGen1hUniPk.narrowPeak	10547
1	724	encode_tfbs	2.94565839231701	1.61542709207274	51	99	324	354	354	259	916	14104	409223	ChIP T-47D ERalpha_a	T-47D	NA	ERalpha_a	Estradiol_10nM	NA	wgEncodeAwgTfbsHaibT47dEralphaaV0416102Est10nm1hUniPk.narrowPeak	10505
1	2085	sheffield_dnase	2.38302946758811	1.47828936790963	56	146	360	327	360	278	1099	14099	409040	Jurkat	NA	NA	NA	NA	NA	2110.bed	28716
1	530	encode_tfbs	3.4174679952131	1.72342655597991	49	76	308	363	363	249	825	14106	409314	ChIP ECC-1 FOXA1_(SC-6553)	ECC-1	NA	FOXA1_(SC-6553)	DMSO_0.02pct	NA	wgEncodeAwgTfbsHaibEcc1Foxa1sc6553V0416102Dm002p1hUniPk.narrowPeak	5891
1	1818	sheffield_dnase	3.00149004865125	1.6435623180264	49	93	322	363	363	259	865	14106	409274	sheffield_dnase	NA	NA	NA	NA	NA	1750.bed	14608
1	219	cistrome_epigenome	2.49443120192369	1.46119068604516	63	127	363	293	363	261	1251	14092	408888	cistrome_epigenome VCaP Pan-H3	VCaP	prostate	Pan-H3	regular medium	NA	Human_VCaP_Pan-H3_regular-medium_Chinnaiyan.bed	8888
1	194	cistrome_epigenome	11.6481979277275	1.43927818972941	435	8	371	18	371	132	8840	13720	401299	cistrome_epigenome NB4 cells H3K27me3	NB4 cells	hematopoietic stem cell	H3K27me3	ATRA(24hr)	NA	Human_NB4-cells_H3K27me3_ATRA-24hr_Stunnenberg.bed	43145
1	2999	ucsc_features	51.3804175625466	1.42935250516685	12169	3	372	1	372	125	332561	1986	77578	UCSC coriellDelDup table	NA	NA	NA	NA	NA	coriellDelDup.bed	864
