	userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	1	36	chicken_FAANG_TSR	1.352570744	1.194331505	107	8	11	24	24	14.3	4767	2781	147975	chicken_FAANG_TSR Hypothalamus	NA	Hypothalamus	NA	NA	NA	TSR_Hypothalamus_enhancer_id.bed	0.2719789853	NA
2	1	30	chicken_FAANG_TSR	1.448848968	1.219016702	97	6	10	25	25	13.7	4234	2791	148508	chicken_FAANG_TSR Cerebellum	NA	Cerebellum	NA	NA	NA	TSR_Cerebellum_enhancer_id.bed	0.2674889209	NA
3	1	34	chicken_FAANG_TSR	1.417792241	1.260713294	69	7	8	26	26	13.7	2909	2819	149833	chicken_FAANG_TSR Gizzard	NA	Gizzard	NA	NA	NA	TSR_Gizzard_enhancer_id.bed	0.2674889209	NA
4	1	41	chicken_FAANG_TSR	0.5498123851	1.0815597	67	11	12	27	27	16.7	3282	2821	149460	chicken_FAANG_TSR Liver	NA	Liver	NA	NA	NA	TSR_Liver_enhancer_id.bed	1	NA
5	1	1	chicken_FAANG_state	0	0	2888	27	27	1	27	18.3	152742	0	0	chicken_FAANG_state Adipose	NA	Adipose	NA	NA	NA	Adipose_16_segments.bed	1	NA
6	1	2	chicken_FAANG_state	0	0	2888	27	27	1	27	18.3	152742	0	0	chicken_FAANG_state Bone Marrow	NA	Bone Marrow	NA	NA	NA	BMarrow_16_segments.bed	1	NA
7	1	3	chicken_FAANG_state	0	0	2888	27	27	1	27	18.3	152742	0	0	chicken_FAANG_state Bursa	NA	Bursa	NA	NA	NA	Bursa_16_segments.bed	1	NA
8	1	4	chicken_FAANG_state	0	0	2888	27	27	1	27	18.3	152742	0	0	chicken_FAANG_state Cecum	NA	Cecum	NA	NA	NA	Cecum_16_segments.bed	1	NA
9	1	5	chicken_FAANG_state	0	0	2888	27	27	1	27	18.3	152742	0	0	chicken_FAANG_state Cerebellum	NA	Cerebellum	NA	NA	NA	Cerebellum_16_segments.bed	1	NA
10	1	6	chicken_FAANG_state	0	0	2888	27	27	1	27	18.3	152742	0	0	chicken_FAANG_state Colon	NA	Colon	NA	NA	NA	Colon_16_segments.bed	1	NA
