userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	size
1	3004	ucsc_features	216.6288622507	3.03111862285568	1824	1	330	2	330	111	24138	1652	66267	UCSC LaminB1 Lads	NA	NA	NA	NA	NA	laminB1Lads.bed	1296
1	3011	ucsc_features	85.3716765538429	6.2613342993847	215	2	164	11	164	59	942	3261	89463	UCSC Vista enhancers	NA	NA	NA	NA	NA	vistaEnhancers.bed	1339
1	717	encode_tfbs	66.8004201178368	3.58445065381434	300	3	286	7	286	98.7	2321	3176	88084	ChIP SK-N-SH_RA p300	SK-N-SH_RA	NA	p300	None	NA	wgEncodeAwgTfbsHaibSknshraP300V0416102UniPk.narrowPeak	46484
1	3003	ucsc_features	42.1289684748517	1.6090840065094	1736	4	649	3	649	219	34600	1740	55805	UCSC LaminBq	NA	NA	NA	NA	NA	laminB1.bed	2859551
1	1039	encode_tfbs	36.6690103120499	2.99559477971469	206	5	333	12	333	117	1862	3270	88543	ChIP SH-SY5Y GATA-2	SH-SY5Y	NA	GATA-2	None	NA	wgEncodeAwgTfbsSydhShsy5yGata2UcdUniPk.narrowPeak	35617
1	1040	encode_tfbs	30.8844303450695	3.48121413138415	138	6	290	17	290	104	1061	3338	89344	ChIP SH-SY5Y GATA3_(SC-269)	SH-SY5Y	NA	GATA3_(SC-269)	None	NA	wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk.narrowPeak	15879
1	2371	sheffield_dnase	29.5377900460837	3.5350919779604	129	7	287	20	287	105	975	3347	89430	Ewing sarcoma	NA	NA	NA	NA	NA	2474.bed	42606
1	821	encode_tfbs	25.3840036888699	3.50866885671821	111	8	289	32	289	110	842	3365	89563	ChIP HEK293 TCF7L2	HEK293	NA	TCF7L2	None	NA	wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk.narrowPeak	8960
1	1148	sheffield_dnase	24.8389089607848	3.29826305824194	118	9	300	24	300	111	953	3358	89452	Brain	NA	NA	NA	NA	NA	1003.bed	33659
1	1876	sheffield_dnase	18.0018279171988	4.087126955706	64	10	243	90	243	114	413	3412	89992	sheffield_dnase	NA	NA	NA	NA	NA	1820.bed	23327
1	710	encode_tfbs	17.6982618903345	2.87596909903902	101	11	356	41	356	136	931	3375	89474	ChIP SK-N-MC Pol2-4H8	SK-N-MC	NA	Pol2-4H8	None	NA	wgEncodeAwgTfbsHaibSknmcPol24h8V0416101UniPk.narrowPeak	24118
1	3008	ucsc_features	17.5306968153855	1.93700772945946	232	12	536	9	536	186	3219	3244	87186	UCSC Repeat Masker	NA	NA	NA	NA	NA	rmsk.bed	5291824
1	709	encode_tfbs	14.0193872444618	2.93630773756159	76	13	337	66	337	139	683	3400	89722	ChIP SK-N-MC FOXP2	SK-N-MC	NA	FOXP2	None	NA	wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk.narrowPeak	14694
1	2367	sheffield_dnase	13.5503547566099	4.03032170333566	48	14	247	139	247	133	313	3428	90092	Melanocyte,Colo829,and Ewing sarcoma	NA	NA	NA	NA	NA	2468.bed	9461
1	265	codex	13.0702905585919	2.5584343815283	89	15	405	49	405	156	919	3387	89486	codex Embryonic Stem Cell NANOG	Embryonic Stem Cell	NA	NANOG	NA	GSE46130	GSM1124071_NANOG.bed	18532
1	194	cistrome_epigenome	12.5880704083837	2.04899213128264	138	16	490	17	490	174	1788	3338	88617	cistrome_epigenome NB4 cells H3K27me3	NB4 cells	hematopoietic stem cell	H3K27me3	ATRA(24hr)	NA	Human_NB4-cells_H3K27me3_ATRA-24hr_Stunnenberg.bed	43145
1	1277	sheffield_dnase	12.2169753317564	4.51024797602964	38	17	210	198	210	142	221	3438	90184	Brain	NA	NA	NA	NA	NA	1153.bed	3997
1	264	codex	12.2137832613202	2.74501951484175	73	18	368	75	368	154	701	3403	89704	codex Embryonic Stem Cell NANOG	Embryonic Stem Cell	NA	NANOG	NA	GSE46130	GSM1124070_NANOG.bed	13460
1	36	cistrome_cistrome	12.1700965715464	2.17513843505086	115	19	461	27	461	169	1400	3361	89005	cistrome_cistrome LnCaP FoxA1	LnCaP	prostate	FoxA1	regular medium	NA	Human_LnCaP_FoxA1_regular-medium_Chinnaiyan.bed	51482
1	259	codex	11.8996832564449	2.30177843438741	99	20	445	44	445	170	1137	3377	89268	Day 5 of in vitro differentiation with FGF2; BMP4 and B27	Endoderm	NA	FOXA2	NA	GSE46130	GSM1124063_FOXA2.bed	34443
1	2877	sheffield_dnase	11.7490252605886	3.1670033789376	56	21	326	117	326	155	465	3420	89940	Liver;Epithelial	NA	NA	NA	NA	NA	862.bed	31684
1	116	cistrome_cistrome	11.0249232930068	1.99250471650192	128	22	523	21	523	189	1702	3348	88703	cistrome_cistrome T47D FoxA1	T47D	breast	FoxA1	DMSO(45min-3hr)	NA	Human_T47D_FoxA1_DMSO-45min-3hr_Liu.bed	53583
1	725	encode_tfbs	10.9604882646104	2.31866349802923	89	23	443	49	443	172	1013	3387	89392	ChIP T-47D FOXA1_(SC-6553)	T-47D	NA	FOXA1_(SC-6553)	DMSO_0.02pct	NA	wgEncodeAwgTfbsHaibT47dFoxa1sc6553V0416102Dm002p1hUniPk.narrowPeak	41552
1	819	encode_tfbs	10.8643820896763	2.346322686722	86	24	441	56	441	174	967	3390	89438	ChIP HEK293 KAP1	HEK293	NA	KAP1	None	NA	wgEncodeAwgTfbsSydhHek293Kap1UcdUniPk.narrowPeak	19771
1	209	cistrome_epigenome	10.7279734410941	2.75352616947011	63	25	367	95	367	162	602	3413	89803	cistrome_epigenome VCaP H3K27me3	VCaP	prostate	H3K27me3	regular medium	NA	Human_VCaP_H3K27me3_regular-medium_Chinnaiyan.bed	14481
