code	name	phylopic_id
rheMac3	Macaca mulatta	63169c26-e130-4f3b-8c34-02ec8b0862c7
hg38	Homo sapiens	b042f8d5-d2c3-4659-8b2a-60b26d096f0c
otoGar3	Otolemur garnettii	7fb9bea8-e758-4986-afb2-95a2c3bf983d
ochPri3	Ochotona princeps	638b61e5-037d-46d5-9cc0-762ac8881d5a
oryCun2	Oryctolagus cuniculus	1e15411c-5394-4a9d-a209-76c8ac0c331d
mm10	Mus musculus	dd0a795e-4be3-4f99-a084-2427c1319d31
bosTau8	Bos taurus	dc5c561e-e030-444d-ba22-3d427b60e58a
turTru2	Tursiops truncatus	0b5c6b41-3a44-4c9e-869a-63ed54bf7c65
susScr3	Sus scrofa	14a64a2f-166e-4bb4-b108-adc085cbcb7a
myoLuc2	Myotis lucifugus	70d2cfe4-9639-4c8a-9e1a-71d76d50a16d
felCat8	Felis catus	1edbe9ff-c453-47f3-9174-2e1f9c5983de
echTel2	Echinops telfairi	a89e224a-e374-4be0-a9bb-3481b16f87fb
loxAfr3	Loxodonta africana	2a070808-0874-409d-81c0-d0c1995e54bb
dasNov3	Dasypus novemcinctus	5d59b5ce-c1dd-40f6-b295-8d2629b9775e
monDom5	Monodelphis domestica	3ed532bc-878f-42dc-9043-c4d4a2aa468c
macEug2	Macropus eugenii	0760b69c-2359-4fa0-9425-fb17f060045f
ornAna1	Ornithorhynchus anatinus	162021b6-349b-4a64-906f-33d4a191b30e
apaSpi1	Apalone spinifera	543b0354-542a-423b-93e6-84cde8ca17e8
pelSin1	Pelodiscus sinensis	929fd134-bbd7-4744-987f-1975107029f5
chrPic2	Chrysemys picta bellii	1a6160a0-c1c0-456a-af04-43bb365b3e87
cheMyd1	Chelonia mydas	09e1c81c-459f-4b44-b475-546380fa1998
allMis1	Alligator mississippiensis	915421ea-c637-4974-bddc-61ef2421a8e4
anoCar2	Anolis carolinensis	22dadaa0-e55c-4605-94d0-0110ecd7655f
xenTro7	Xenopus tropicalis	7e9286b9-0e49-46c2-88f6-218291fb06a4
latCha1	Latimeria chalumnae	12c38a8a-6d68-4af3-ada3-05cafdfc25c2

