phastCons_id	acc_element_bed_chr	acc_element_bed_start	acc_element_bed_end	id	acc_element_len	acc_element_size	acc_element_gap_count	acc_element_shift_count	hamming_ingroup_incl_gaps	hamming_outgroup_incl_gaps	hamming_in_out_incl_gaps	hamming_ingroup_excl_gaps	hamming_outgroup_excl_gaps	hamming_in_out_excl_gaps	acc_element_table_browser	acc_element_shift_count_rel	hamming_in_out_excl_gaps_scl	shift_count_rel_scl	norm2_scl	coding	acc_elements_in_phastCons_count	functional_element_shift_count	functional_element_gap_count	acc_elements_in_phastCons_shift_counts	acc_elements_in_phastCons_gap_counts	phastCons_seqnames	phastCons_start	phastCons_end	phastCons_width	phastCons_strand	functional_elements_shift_rel	functional_elements_acc_elements_count_rel	functional_element_shift_count_exclgt0gap	acc_elements_count_exclgt0gap
10081	chr1	69760074	69760124	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_69760074_69760124.maf	50	50	0	6	0	0.12	0.084853	0	0.12	0.084853	chr1:69760074-69760124	0.12	0.216301	0.275161	0.35	TRUE	1	6	0	6	0	chr1	69760075	69760220	146	*	6	1	0.041096	0.006849
101060	chr3	66837813	66837838	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_66837813_66837838.maf	25	25	0	2	0	0.08	0.056569	0	0.08	0.056569	chr3:66837813-66837838	0.08	0.141389	0.179863	0.228783	TRUE	2	2	0	2 2	0 0	chr3	66837814	66837976	163	*	4	2	0.02454	0.01227
101060	chr3	66837813	66837863	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr3/chr3_50_acc_66837813_66837863.maf	50	50	0	2	0.02	0.06	0.028284	0.02	0.06	0.028284	chr3:66837813-66837863	0.04	0.066476	0.084566	0.107566	TRUE	2	2	0	2 2	0 0	chr3	66837814	66837976	163	*	4	2	0.02454	0.01227
101158	chr3	67486012	67486037	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_67486012_67486037.maf	25	25	0	1	0	0.04	0.028284	0	0.04	0.028284	chr3:67486012-67486037	0.04	0.066476	0.084566	0.107566	TRUE	2	1	0	1 1	0 0	chr3	67485963	67486246	284	*	2	2	0.007042	0.007042
101158	chr3	67486012	67486062	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr3/chr3_50_acc_67486012_67486062.maf	50	50	0	1	0.02	0.08	0.042426	0.02	0.08	0.042426	chr3:67486012-67486062	0.02	0.103933	0.036917	0.110294	TRUE	2	1	0	1 1	0 0	chr3	67485963	67486246	284	*	2	2	0.007042	0.007042
101165	chr3	67494996	67495046	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr3/chr3_50_acc_67494996_67495046.maf	50	50	0	1	0	0.04	0.028284	0	0.04	0.028284	chr3:67494996-67495046	0.02	0.066476	0.036917	0.076039	TRUE	1	1	0	1	0	chr3	67494363	67495109	747	*	1	1	0.001339	0.001339
101229	chr3	67738659	67738709	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr3/chr3_50_acc_67738659_67738709.maf	50	65	15	1	0.030769	0.061538	0.021757	0.030769	0.061538	0.021757	chr3:67738659-67738709	0.015385	0.049189	0.025921	0.055601	TRUE	6	5	46	1 1 1 1 1 1	15 14 3 10 0 7	chr3	67738395	67739938	1544	*	1	1	0.000648	0.000648
101229	chr3	67739409	67739459	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr3/chr3_50_acc_67739409_67739459.maf	50	64	14	1	0.015625	0.0625	0.033146	0.015625	0.0625	0.033146	chr3:67739409-67739459	0.015625	0.079352	0.026494	0.083658	TRUE	6	5	46	1 1 1 1 1 1	15 14 3 10 0 7	chr3	67738395	67739938	1544	*	1	1	0.000648	0.000648
101229	chr3	67739759	67739784	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_67739759_67739784.maf	25	25	0	1	0	0.04	0.028284	0	0.04	0.028284	chr3:67739759-67739784	0.04	0.066476	0.084566	0.107566	TRUE	6	5	46	1 1 1 1 1 1	15 14 3 10 0 7	chr3	67738395	67739938	1544	*	1	1	0.000648	0.000648
101229	chr3	67739659	67739684	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_67739659_67739684.maf	25	28	3	1	0	0.035714	0.025254	0	0.035714	0.025254	chr3:67739659-67739684	0.035714	0.05845	0.074355	0.094579	TRUE	6	5	46	1 1 1 1 1 1	15 14 3 10 0 7	chr3	67738395	67739938	1544	*	1	1	0.000648	0.000648
