name cluster chr start end freq
cAvAR-167 308 chr1 113386815 113386919 12
cAvAR-346 308 chr1 113445581 113445859 12
cAvAR-519 308 chr1 113439266 113439377 12
cAvAR-726 308 chr1 113416749 113416884 12
cAvAR-886 308 chr1 113433039 113433198 12
cAvAR-1000 308 chr1 113405028 113405295 12
cAvAR-1327 308 chr1 113447287 113447522 12
cAvAR-1367 308 chr1 113448250 113448371 12
cAvAR-1372 308 chr1 113391824 113392067 12
cAvAR-1957 308 chr1 113425828 113426202 12
cAvAR-2181 308 chr1 113397379 113397618 12
cAvAR-2228 308 chr1 113420826 113421080 12
cAvAR-155 400 chr1 155686281 155686417 12
cAvAR-851 400 chr1 155702637 155702790 12
cAvAR-895 400 chr1 155682566 155682727 12
cAvAR-1119 400 chr1 155693995 155694197 12
cAvAR-1267 400 chr1 155704938 155705163 12
cAvAR-1457 400 chr1 155771272 155771401 12
cAvAR-1533 400 chr1 155719435 155719571 12
cAvAR-1617 400 chr1 155767821 155768111 12
cAvAR-2058 400 chr1 155758623 155758831 12
cAvAR-2091 400 chr1 155749097 155749313 12
cAvAR-2370 400 chr1 155742617 155742930 12
cAvAR-2446 400 chr1 155734713 155735086 12
cAvAR-28 462 chr1 181661556 181661660 9
cAvAR-89 462 chr1 181563790 181563992 9
cAvAR-511 462 chr1 181705769 181705879 9
cAvAR-1050 462 chr1 181696073 181696261 9
cAvAR-1265 462 chr1 181701667 181701779 9
cAvAR-1340 462 chr1 181712299 181712418 9
cAvAR-1395 462 chr1 181604179 181604303 9
cAvAR-1732 462 chr1 181694970 181695129 9
cAvAR-1831 462 chr1 181640898 181641068 9
cAvAR-227 585 chr2 32714893 32715045 9
cAvAR-1501 585 chr2 32624125 32624924 9
cAvAR-2278 585 chr2 32591797 32592612 9
cAvAR-2299 585 chr2 32622712 32623273 9
cAvAR-2327 585 chr2 32635445 32635735 9
cAvAR-2392 585 chr2 32626762 32627094 9
cAvAR-2420 585 chr2 32652223 32652574 9
cAvAR-2464 585 chr2 32582764 32583151 9
cAvAR-2652 585 chr2 32665561 32666265 9
cAvAR-39 1253 chr5 27441183 27441344 9
cAvAR-634 1253 chr5 27439395 27439581 9
cAvAR-834 1253 chr5 27425825 27425976 9
cAvAR-1933 1253 chr5 27555208 27555391 9
cAvAR-2227 1253 chr5 27468887 27469141 9
cAvAR-2393 1253 chr5 27480897 27481230 9
cAvAR-2512 1253 chr5 27527231 27527655 9
cAvAR-2545 1253 chr5 27427357 27427821 9
cAvAR-2641 1253 chr5 27481252 27482609 9
cAvAR-201 305 chr1 112151693 112151876 7
cAvAR-641 305 chr1 112264386 112264511 7
cAvAR-1290 305 chr1 112190624 112190739 7
cAvAR-1460 305 chr1 112168821 112168951 7
cAvAR-1514 305 chr1 112192611 112192880 7
cAvAR-1520 305 chr1 112219974 112220109 7
cAvAR-1575 305 chr1 112170449 112170589 7
cAvAR-555 743 chr2 113000424 113000539 7
cAvAR-797 743 chr2 112986123 112986340 7
cAvAR-979 743 chr2 112945316 112945754 7
cAvAR-1947 743 chr2 112967213 112967584 7
cAvAR-2133 743 chr2 112998225 112998680 7
cAvAR-2643 743 chr2 112994858 112995544 7
cAvAR-2706 743 chr2 113001322 113003292 7
cAvAR-242 41 chr1 18967151 18967346 6
cAvAR-729 41 chr1 18937340 18937476 6
cAvAR-1770 41 chr1 19016460 19018732 6
cAvAR-2548 41 chr1 18979179 18980578 6
cAvAR-2591 41 chr1 18928570 18929113 6
cAvAR-2648 41 chr1 18955843 18956543 6
cAvAR-861 54 chr1 24646872 24647103 6
cAvAR-871 54 chr1 24653049 24653597 6
cAvAR-1075 54 chr1 24672470 24672762 6
cAvAR-1330 54 chr1 24659613 24659849 6
cAvAR-2073 54 chr1 24684617 24684829 6
cAvAR-2152 54 chr1 24721244 24721477 6
cAvAR-11 347 chr1 131655970 131656088 6
cAvAR-179 347 chr1 131709015 131709121 6
cAvAR-1223 347 chr1 131695837 131695946 6
cAvAR-1836 347 chr1 131706297 131706638 6
cAvAR-1875 347 chr1 131750931 131751106 6
cAvAR-1929 347 chr1 131706757 131707120 6
cAvAR-13 439 chr1 174707455 174707563 6
cAvAR-238 439 chr1 174731541 174731695 6
cAvAR-749 439 chr1 174644507 174644646 6
cAvAR-866 439 chr1 174738992 174739148 6
cAvAR-1114 439 chr1 174692918 174693120 6
cAvAR-2179 439 chr1 174699883 174700121 6
cAvAR-616 647 chr2 60481985 60482166 6
cAvAR-637 647 chr2 60552702 60552826 6
cAvAR-752 647 chr2 60535663 60535872 6
cAvAR-780 647 chr2 60470314 60470456 6
