seqnames	start	end	width	strand
chr3	58448965	58449082	118	*
chr1	68837780	68837983	204	*
chr1	68851493	68851743	251	*
chr3	58955258	58955382	125	*
chr3	59025060	59025260	201	*
chr3	59202429	59202704	276	*
chr3	60238205	60238458	254	*
chr1	69023935	69024073	139	*
chr1	69025661	69025806	146	*
chr3	62773231	62774092	862	*
chr3	62777718	62777912	195	*
chr3	62811396	62811518	123	*
chr1	69147255	69147366	112	*
chr3	63717406	63717640	235	*
chr3	63905313	63905441	129	*
chr1	69307478	69307743	266	*
chr3	64100804	64100981	178	*
chr3	66139693	66139884	192	*
chr3	66163491	66163857	367	*
chr3	66169135	66169344	210	*
chr3	66171692	66171987	296	*
chr1	69948013	69948188	176	*
chr3	66490802	66490936	135	*
chr3	66544979	66545329	351	*
chr3	67139528	67139692	165	*
chr3	67145532	67145683	152	*
chr3	67412977	67413832	856	*
chr3	67494363	67495109	747	*
chr3	67991004	67992987	1984	*
chr3	70241965	70242242	278	*
chr3	70376335	70376530	196	*
chr3	70959858	70960092	235	*
chr3	70989681	70989852	172	*
chr1	70610716	70611028	313	*
chr1	8235012	8235523	512	*
chr3	75131240	75131586	347	*
chr3	75362132	75362389	258	*
chr3	75388509	75390104	1596	*
chr3	75399807	75400022	216	*
chr3	75487718	75487914	197	*
chr3	75806317	75806533	217	*
chr3	75852793	75852908	116	*
chr3	76530249	76530399	151	*
chr3	78271743	78271867	125	*
chr3	79544024	79544135	112	*
chr3	79545274	79545379	106	*
chr3	79563407	79563559	153	*
chr3	79568042	79568275	234	*
chr1	71710690	71710854	165	*
chr3	80581726	80581890	165	*
chr3	81635341	81635463	123	*
chr3	82049180	82049346	167	*
chr3	82119043	82119279	237	*
chr3	82692263	82692369	107	*
chr3	83472637	83472793	157	*
chr3	83521267	83521710	444	*
chr3	83701973	83702945	973	*
chr3	86960041	86960157	117	*
chr3	86994032	86994146	115	*
chr3	87959796	87959905	110	*
chr3	88208250	88208379	130	*
chr1	73319701	73319867	167	*
chr1	73371983	73372121	139	*
chr3	90011723	90011917	195	*
chr3	90112115	90112293	179	*
chr3	91074969	91075313	345	*
chr3	91126474	91126585	112	*
chr1	73878063	73879711	1649	*
chr3	92667724	92667894	171	*
chr1	73970326	73970995	670	*
chr3	92918636	92919146	511	*
chr3	92998446	92998626	181	*
chr3	93047071	93047182	112	*
chr3	93072034	93073203	1170	*
chr1	74911801	74911998	198	*
chr1	74912206	74912465	260	*
chr1	74916304	74916444	141	*
chr3	97200894	97201063	170	*
chr3	97212435	97212704	270	*
chr3	97361874	97362253	380	*
chr1	75061437	75061544	108	*
chr3	103906145	103906482	338	*
chr3	103942740	103943049	310	*
