phastCons_id	acc_element_bed_chr	acc_element_bed_start	acc_element_bed_end	id	acc_element_len	acc_element_size	acc_element_gap_count	acc_element_shift_count	hamming_ingroup_incl_gaps	hamming_outgroup_incl_gaps	hamming_in_out_incl_gaps	hamming_ingroup_excl_gaps	hamming_outgroup_excl_gaps	hamming_in_out_excl_gaps	acc_element_table_browser	acc_element_shift_count_rel	hamming_in_out_excl_gaps_scl	shift_count_rel_scl	norm2_scl	coding	acc_elements_in_phastCons_count	functional_element_shift_count	functional_element_gap_count	acc_elements_in_phastCons_shift_counts	acc_elements_in_phastCons_gap_counts	phastCons_seqnames	phastCons_start	phastCons_end	phastCons_width	phastCons_strand	functional_elements_shift_rel	functional_elements_acc_elements_count_rel	functional_element_shift_count_exclgt0gap	acc_elements_count_exclgt0gap
10045	chr2	15656775	15656825	/home/rstudio/disco_tmp/data/acc_maf_ingroup/50/chr2/chr2_acc_50_15656775_15656825.maf	50	50	0	6	0.18	0.22	0.0282842658309677	0.18	0.22	0.0282842658309677	chr2:15656775-15656825	0.12	0.070114370890606	0.196503496503497	0.208637602419806	FALSE	3	9	3	4 6 3	0 0 3	chr2	15656530	15656889	360	*	10	2	0.0277777777777778	0.00555555555555556
10045	chr2	15656725	15656750	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr2/chr2_acc_25_15656725_15656750.maf	25	28	3	3	0.142857142857143	0.214285714285714	0.0505076250815225	0.142857142857143	0.214285714285714	0.0505076250815225	chr2:15656725-15656750	0.107142857142857	0.12874472921978	0.174981268731269	0.217240994539886	FALSE	3	9	3	4 6 3	0 0 3	chr2	15656530	15656889	360	*	10	2	0.0277777777777778	0.00555555555555556
10045	chr2	15656800	15656825	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr2/chr2_acc_25_15656800_15656825.maf	25	25	0	4	0.24	0.36	0.08485282910304	0.24	0.36	0.08485282910304	chr2:15656800-15656825	0.16	0.219355315853745	0.263461538461538	0.342824644449341	FALSE	3	9	3	4 6 3	0 0 3	chr2	15656530	15656889	360	*	10	2	0.0277777777777778	0.00555555555555556
10078	chr2	16425735	16425760	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr2/chr2_acc_25_16425735_16425760.maf	25	25	0	1	0	0.04	0.0282842710993239	0	0.04	0.0282842710993239	chr2:16425735-16425760	0.04	0.0701143847897472	0.0625874125874126	0.0939851646209749	FALSE	1	1	0	1	0	chr2	16425661	16425764	104	*	1	1	0.00961538461538462	0.00961538461538462
10080	chr2	16482458	16482483	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr2/chr2_acc_25_16482458_16482483.maf	25	28	3	3	0.142857142857143	0.25	0.0757614376222838	0.142857142857143	0.25	0.0757614376222838	chr2:16482458-16482483	0.107142857142857	0.195370123776439	0.174981268731269	0.2622745311143	FALSE	3	7	5	3 3 1	2 3 0	chr2	16482379	16482684	306	*	1	1	0.00326797385620915	0.00326797385620915
10080	chr2	16482408	16482433	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr2/chr2_acc_25_16482408_16482433.maf	25	27	2	3	0.0740740740740741	0.185185185185185	0.0785674167934795	0.0740740740740741	0.185185185185185	0.0785674167934795	chr2:16482408-16482433	0.111111111111111	0.202772945393846	0.181623931623932	0.272220719127384	FALSE	3	7	5	3 3 1	2 3 0	chr2	16482379	16482684	306	*	1	1	0.00326797385620915	0.00326797385620915
10080	chr2	16482485	16482510	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr2/chr2_acc_25_16482485_16482510.maf	25	25	0	1	0.08	0.12	0.0282842710993239	0.08	0.12	0.0282842710993239	chr2:16482485-16482510	0.04	0.0701143847897472	0.0625874125874126	0.0939851646209749	FALSE	3	7	5	3 3 1	2 3 0	chr2	16482379	16482684	306	*	1	1	0.00326797385620915	0.00326797385620915
10126	chr2	18520256	18520281	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr2/chr2_acc_25_18520256_18520281.maf	25	25	0	2	0.08	0.12	0.0282842710993239	0.08	0.12	0.0282842710993239	chr2:18520256-18520281	0.08	0.0701143847897472	0.129545454545455	0.147302585679387	FALSE	4	7	13	3 5 2 2	2 2 0 11	chr2	18520083	18520360	278	*	2	1	0.00719424460431655	0.00359712230215827
10126	chr2	18520231	18520281	/home/rstudio/disco_tmp/data/acc_maf_ingroup/50/chr2/chr2_acc_50_18520231_18520281.maf	50	52	2	5	0.0961538461538462	0.134615384615385	0.0271964187737914	0.0961538461538462	0.134615384615385	0.0271964187737914	chr2:18520231-18520281	0.0961538461538462	0.0672443789127733	0.156586202259279	0.17041433400201	FALSE	4	7	13	3 5 2 2	2 2 0 11	chr2	18520083	18520360	278	*	2	1	0.00719424460431655	0.00359712230215827
10126	chr2	18520148	18520173	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr2/chr2_acc_25_18520148_18520173.maf	25	36	11	2	0.0277777777777778	0.0555555555555556	0.0196418555154589	0.0277777777777778	0.0555555555555556	0.0196418555154589	chr2:18520148-18520173	0.0555555555555556	0.0473136949030918	0.0886266511266511	0.100465262729503	FALSE	4	7	13	3 5 2 2	2 2 0 11	chr2	18520083	18520360	278	*	2	1	0.00719424460431655	0.00359712230215827
10126	chr2	18520231	18520256	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr2/chr2_acc_25_18520231_18520256.maf	25	27	2	3	0.111111111111111	0.148148148148148	0.0261891406872786	0.111111111111111	0.148148148148148	0.0261891406872786	chr2:18520231-18520256	0.111111111111111	0.0645869465019691	0.181623931623932	0.192765988174737	FALSE	4	7	13	3 5 2 2	2 2 0 11	chr2	18520083	18520360	278	*	2	1	0.00719424460431655	0.00359712230215827
