name cluster chr start end freq
cMAR-77 1479 chr3 52440929 52441051 62
cMAR-1548 1479 chr3 52407955 52408080 62
cMAR-1764 1479 chr3 52360309 52360427 62
cMAR-2131 1479 chr3 52658193 52658320 62
cMAR-2245 1479 chr3 52231442 52231543 62
cMAR-2692 1479 chr3 52802332 52802472 62
cMAR-3238 1479 chr3 52528178 52528315 62
cMAR-3247 1479 chr3 52509208 52509328 62
cMAR-3260 1479 chr3 52603512 52603735 62
cMAR-3394 1479 chr3 52564045 52564237 62
cMAR-4094 1479 chr3 52383384 52383597 62
cMAR-4467 1479 chr3 52824840 52824962 62
cMAR-4887 1479 chr3 52229658 52229786 62
cMAR-6944 1479 chr3 52802676 52802811 62
cMAR-7211 1479 chr3 52587347 52587513 62
cMAR-7308 1479 chr3 52641949 52642061 62
cMAR-7589 1479 chr3 52687243 52687387 62
cMAR-8218 1479 chr3 52451739 52451862 62
cMAR-8219 1479 chr3 52833611 52833734 62
cMAR-9076 1479 chr3 52516041 52516243 62
cMAR-9140 1479 chr3 52392827 52393030 62
cMAR-9627 1479 chr3 52617260 52617544 62
cMAR-9928 1479 chr3 52378640 52378786 62
cMAR-10004 1479 chr3 52290580 52290727 62
cMAR-10246 1479 chr3 52550418 52550644 62
cMAR-10977 1479 chr3 52668493 52668655 62
cMAR-11076 1479 chr3 52826789 52826953 62
cMAR-11306 1479 chr3 52332138 52332306 62
cMAR-11462 1479 chr3 52849788 52849916 62
cMAR-11759 1479 chr3 52563278 52563498 62
cMAR-12147 1479 chr3 52737584 52737722 62
cMAR-12577 1479 chr3 52679568 52679761 62
cMAR-12647 1479 chr3 52383858 52384004 62
cMAR-12747 1479 chr3 52458654 52458851 62
cMAR-12851 1479 chr3 52407169 52407319 62
cMAR-12939 1479 chr3 52391440 52391591 62
cMAR-13166 1479 chr3 52440371 52440525 62
cMAR-13278 1479 chr3 52258529 52258685 62
cMAR-13356 1479 chr3 52393332 52393489 62
cMAR-13542 1479 chr3 52524467 52524734 62
cMAR-13634 1479 chr3 52352549 52352711 62
cMAR-13701 1479 chr3 52576538 52576701 62
cMAR-13816 1479 chr3 52476438 52476603 62
cMAR-13906 1479 chr3 52796736 52796847 62
cMAR-15078 1479 chr3 52349225 52349417 62
cMAR-15901 1479 chr3 52408466 52408610 62
cMAR-16046 1479 chr3 52561761 52561981 62
cMAR-16347 1479 chr3 52634599 52634830 62
cMAR-16787 1479 chr3 52547748 52548249 62
cMAR-16857 1479 chr3 52681679 52681848 62
cMAR-17029 1479 chr3 52695414 52695590 62
cMAR-17448 1479 chr3 52766174 52766370 62
cMAR-17543 1479 chr3 52527833 52527934 62
cMAR-17911 1479 chr3 52402776 52402885 62
cMAR-18425 1479 chr3 52400323 52400447 62
cMAR-18745 1479 chr3 52395545 52395681 62
cMAR-18793 1479 chr3 52404451 52404589 62
cMAR-19188 1479 chr3 52628891 52629046 62
cMAR-19208 1479 chr3 52290958 52291114 62
cMAR-19334 1479 chr3 52763464 52763627 62
cMAR-19515 1479 chr3 52388165 52388340 62
cMAR-20307 1479 chr3 52609308 52609963 62
cMAR-125 1130 chr2 178781118 178781275 61
cMAR-131 1130 chr2 178773447 178773751 61
cMAR-324 1130 chr2 178704141 178704412 61
cMAR-683 1130 chr2 178778869 178779128 61
cMAR-1491 1130 chr2 178758979 178759176 61
cMAR-1715 1130 chr2 178704504 178704790 61
cMAR-1716 1130 chr2 178771315 178771484 61
cMAR-1788 1130 chr2 178733602 178733905 61
cMAR-1829 1130 chr2 178730089 178730382 61
cMAR-1882 1130 chr2 178769673 178769942 61
cMAR-1916 1130 chr2 178746131 178746307 61
cMAR-2814 1130 chr2 178721841 178722079 61
cMAR-2966 1130 chr2 178710630 178710925 61
cMAR-3022 1130 chr2 178777144 178777326 61
cMAR-3052 1130 chr2 178782209 178782442 61
cMAR-3214 1130 chr2 178732432 178732756 61
cMAR-3356 1130 chr2 178853436 178853627 61
cMAR-3614 1130 chr2 178729283 178729391 61
cMAR-3653 1130 chr2 178773833 178774122 61
cMAR-4709 1130 chr2 178802135 178802344 61
cMAR-4790 1130 chr2 178800392 178800687 61
cMAR-5330 1130 chr2 178709552 178709867 61
cMAR-5804 1130 chr2 178728208 178728422 61
cMAR-5955 1130 chr2 178715487 178715779 61
cMAR-6159 1130 chr2 178734700 178734999 61
cMAR-6735 1130 chr2 178693919 178694104 61
cMAR-7001 1130 chr2 178728489 178728787 61
cMAR-7601 1130 chr2 178751450 178751911 61
cMAR-7703 1130 chr2 178785622 178785768 61
cMAR-8043 1130 chr2 178764165 178764316 61
cMAR-8813 1130 chr2 178775351 178777056 61
cMAR-9125 1130 chr2 178729657 178729961 61
cMAR-9155 1130 chr2 178777418 178777588 61
cMAR-10033 1130 chr2 178731298 178731593 61
