seqnames	start	end	element_accelerated_ranking_name	cluster
chr2	163762290	163762419	ncMAR-1	391
chr6	41073005	41073173	ncMAR-2	997
chr14	76089218	76089323	ncMAR-3	1933
chr2	222100654	222100767	ncMAR-4	484
chr14	26987885	26987992	ncMAR-5	1863
chr1	84384590	84384822	ncMAR-6	72
chr11	45726522	45726695	ncMAR-7	1610
chr1	228313591	228313891	ncMAR-8	206
chr10	112356218	112356343	ncMAR-9	1519
chr1	84372126	84372231	ncMAR-10	72
chr11	44134697	44134856	ncMAR-11	1607
chr3	158841621	158841838	ncMAR-12	640
chr2	214602587	214602690	ncMAR-13	475
chr14	30482398	30482605	ncMAR-14	1879
chr9	116223481	116223619	ncMAR-15	1364
chr2	173496558	173496721	ncMAR-16	407
chr7	137843582	137843688	ncMAR-17	1121
chr10	101918568	101918788	ncMAR-18	1503
chr1	146743390	146743515	ncMAR-19	126
chr2	22301122	22301227	ncMAR-20	231
chr6	14291087	14291327	ncMAR-21	969
chr2	194757000	194757147	ncMAR-22	440
chr2	176561121	176561605	ncMAR-23	422
chr1	84369902	84370009	ncMAR-24	72
chr10	66013750	66013871	ncMAR-25	1452
chr16	73744086	73744263	ncMAR-26	2107
chr10	52540994	52541175	ncMAR-27	1440
chr3	141183558	141183671	ncMAR-28	624
chr3	70302662	70302861	ncMAR-29	555
chr11	13714941	13715156	ncMAR-30	1563
chr1	209222802	209222902	ncMAR-31	165
chr2	67075510	67075669	ncMAR-32	297
chr1	86634354	86634456	ncMAR-33	75
chr1	112316505	112316623	ncMAR-34	123
chr1	214574074	214574213	ncMAR-35	175
chr14	78491169	78491355	ncMAR-36	1940
chr11	15274963	15275181	ncMAR-37	1565
chr3	18843922	18844079	ncMAR-38	507
chr11	131907467	131907624	ncMAR-39	1672
chr9	13181712	13181871	ncMAR-40	1263
chr2	31109695	31109823	ncMAR-41	243
chr1	88238429	88238559	ncMAR-42	85
chr1	90187189	90187319	ncMAR-43	89
chr11	132405421	132405619	ncMAR-44	1675
chr5	35896187	35896286	ncMAR-45	825
chr10	129206060	129206177	ncMAR-46	1550
chr9	128572735	128572836	ncMAR-47	1393
chr3	135694633	135694905	ncMAR-48	616
chr3	17912518	17912660	ncMAR-49	502
chr5	124461446	124461678	ncMAR-50	938
chr17	38596057	38596166	ncMAR-51	2138
chr1	228314774	228314993	ncMAR-52	206
chr1	208918071	208918328	ncMAR-53	162
chr10	106265375	106265540	ncMAR-54	1513
chr15	60183060	60183171	ncMAR-55	2005
chr2	172976737	172977072	ncMAR-56	404
chr3	135894883	135895032	ncMAR-57	617
chr15	95191162	95191461	ncMAR-58	2030
chr12	53710025	53710231	ncMAR-59	1715
chr16	79567983	79568095	ncMAR-60	2116
chr5	102665025	102665157	ncMAR-61	901
chr12	23948387	23948576	ncMAR-62	1704
chr2	36173041	36173193	ncMAR-63	245
chr17	73449235	73449387	ncMAR-64	2170
chr10	113291073	113291303	ncMAR-65	1526
chr5	103939108	103939319	ncMAR-66	903
chr13	43724012	43724146	ncMAR-67	1782
chr2	181621877	181622031	ncMAR-68	438
chr3	31323117	31323447	ncMAR-69	516
chr1	37118277	37118393	ncMAR-70	10
chr15	37377691	37377827	ncMAR-71	1991
chr10	122880666	122880844	ncMAR-72	1542
chr6	16539651	16539790	ncMAR-73	975
chr11	72334111	72334250	ncMAR-74	1614
chr1	72413944	72414184	ncMAR-75	41
chr2	21807064	21807266	ncMAR-76	229
chr2	176471261	176471548	ncMAR-77	421
chr1	31753254	31753356	ncMAR-78	6
chr6	19791888	19792095	ncMAR-79	982
chr3	139728797	139728923	ncMAR-80	623
chr10	111861102	111861355	ncMAR-81	1518
chr5	89264334	89264653	ncMAR-82	868
chr1	33081388	33081515	ncMAR-83	7
chr11	116258163	116258420	ncMAR-84	1641
chr3	135350260	135350368	ncMAR-85	615
chr7	27116703	27116811	ncMAR-86	1045
chr1	180283134	180283242	ncMAR-87	144
chr10	101626339	101626449	ncMAR-88	1501
chr6	41528194	41528394	ncMAR-89	999
chr1	60228422	60228533	ncMAR-90	24
chr17	58489518	58489629	ncMAR-91	2152
chr14	84927510	84927711	ncMAR-92	1956
chr5	89377751	89378223	ncMAR-93	869
chr17	72057855	72057990	ncMAR-94	2169
chr5	58432037	58432173	ncMAR-95	840
chr3	186054479	186054708	ncMAR-96	676
chr11	128488441	128488694	ncMAR-97	1663
chr17	70772081	70772311	ncMAR-98	2162
chr17	70739189	70739327	ncMAR-99	2162
chr2	132781628	132781766	ncMAR-100	328
chr11	126146818	126146957	ncMAR-101	1653
chr2	67277921	67278224	ncMAR-102	299
chr17	73839387	73839503	ncMAR-103	2171
chr4	108200310	108200473	ncMAR-104	745
chr17	37170363	37170600	ncMAR-105	2137
chr14	30451165	30451284	ncMAR-106	1879
chr2	176760600	176760793	ncMAR-107	424
chr1	213929368	213929610	ncMAR-108	173
chr2	146551361	146551579	ncMAR-109	358
chr12	122323393	122323514	ncMAR-110	1771
chr3	135739798	135740139	ncMAR-111	616
chr14	28407019	28407386	ncMAR-112	1870
chr4	79636551	79636673	ncMAR-113	720
chr10	117172238	117172483	ncMAR-114	1534
chr12	119803468	119803590	ncMAR-115	1769
chr14	69981257	69981453	ncMAR-116	1930
chr14	66038890	66039037	ncMAR-117	1924
chr4	22747761	22747934	ncMAR-118	692
chr3	71317818	71317992	ncMAR-119	564
chr1	80107340	80107540	ncMAR-120	51
chr2	150047180	150047581	ncMAR-121	363
chr16	6876919	6877044	ncMAR-122	2051
chr9	120798573	120798900	ncMAR-123	1378
chr9	21708449	21708549	ncMAR-124	1286
chr9	10493958	10494235	ncMAR-125	1258
chr2	23066851	23067154	ncMAR-126	236
chr17	13351579	13351781	ncMAR-127	2129
chr9	35657913	35658014	ncMAR-128	1305
chr13	90601914	90602143	ncMAR-129	1826
chr12	53991724	53991851	ncMAR-130	1716
chr10	107138994	107139147	ncMAR-131	1517
chr2	142565582	142565761	ncMAR-132	334
chr11	131235735	131235837	ncMAR-133	1668
chr14	101250050	101250178	ncMAR-134	1982
chr1	90507232	90507490	ncMAR-135	92
chr3	55791963	55792118	ncMAR-136	531
chr4	180700758	180700861	ncMAR-137	799
chr1	102792733	102792888	ncMAR-138	113
chr9	119829224	119829405	ncMAR-139	1377
chr2	145396286	145396493	ncMAR-140	350
chr11	131642931	131643035	ncMAR-141	1670
chr4	153335153	153335257	ncMAR-142	782
chr2	83579799	83580010	ncMAR-143	308
chr13	72504722	72504828	ncMAR-144	1807
chr11	83486194	83486300	ncMAR-145	1618
chr1	245513267	245513400	ncMAR-146	213
chr15	95646751	95646911	ncMAR-147	2034
chr15	96869824	96870145	ncMAR-148	2042
chr9	16612069	16612337	ncMAR-149	1277
chr11	115643775	115643882	ncMAR-150	1638
chr1	196529392	196529527	ncMAR-151	150
chr8	118932464	118932572	ncMAR-152	1238
