seqnames	start	end	element_accelerated_ranking_name	cluster
chr8	23088132	23088243	ncAvAR-1	1238
chr2	17791100	17791319	ncAvAR-2	379
chr7	15227998	15228097	ncAvAR-3	1135
chr1	82959579	82959712	ncAvAR-4	137
chr2	69270073	69270178	ncAvAR-5	496
chr1	131089913	131090137	ncAvAR-6	217
chr1	166901384	166901538	ncAvAR-7	296
chr2	145144828	145144935	ncAvAR-8	613
chr3	100194958	100195111	ncAvAR-9	792
chr18	7505309	7505445	ncAvAR-10	1478
chr5	8246789	8246926	ncAvAR-11	945
chr6	23347348	23347491	ncAvAR-12	1084
chr2	43317908	43318053	ncAvAR-13	436
chr9	19154701	19154849	ncAvAR-14	1291
chr20	9153379	9153528	ncAvAR-15	1508
chr2	50663995	50664145	ncAvAR-16	450
chr1	137391043	137391219	ncAvAR-17	233
chr4	89450465	89450592	ncAvAR-18	932
chr3	95767732	95767936	ncAvAR-19	786
chr7	33569675	33569957	ncAvAR-20	1185
chr1	81867127	81867307	ncAvAR-21	127
chr1	136698507	136698637	ncAvAR-22	232
chr8	20817551	20817657	ncAvAR-23	1228
chr8	20255379	20255539	ncAvAR-24	1226
chr1	82268423	82268587	ncAvAR-25	131
chr5	37119249	37119389	ncAvAR-26	1012
chr2	33311527	33311754	ncAvAR-27	417
chr1	51059417	51059530	ncAvAR-28	85
chr11	19564926	19565155	ncAvAR-29	1381
chr2	126641788	126641902	ncAvAR-30	587
chr10	17866132	17866275	ncAvAR-31	1323
chr3	43082002	43082176	ncAvAR-32	704
chr8	21996192	21996367	ncAvAR-33	1231
chr2	5303383	5303500	ncAvAR-34	334
chr7	20758562	20758711	ncAvAR-35	1152
chr8	18887007	18887126	ncAvAR-36	1224
chr1	134357608	134357787	ncAvAR-37	224
chr3	11595832	11595983	ncAvAR-38	640
chr1	157408484	157408696	ncAvAR-39	276
chr2	104292450	104292784	ncAvAR-40	536
chr1	43745651	43745773	ncAvAR-41	72
chr4	57268312	57268435	ncAvAR-42	900
chr8	5574848	5575037	ncAvAR-43	1201
chr3	19974391	19974553	ncAvAR-44	660
chr3	23491606	23491900	ncAvAR-45	673
chr1	131707458	131707557	ncAvAR-46	219
chr1	4892725	4892824	ncAvAR-47	6
chr1	82750171	82750338	ncAvAR-48	137
chr4	870414	870514	ncAvAR-49	826
chr8	21083458	21083593	ncAvAR-50	1228
chr9	10364759	10364895	ncAvAR-51	1274
chr1	5007524	5007661	ncAvAR-52	7
chr4	9217857	9218098	ncAvAR-53	840
chr12	10351507	10351680	ncAvAR-54	1394
chr3	106073575	106073749	ncAvAR-55	809
chr23	1555133	1555237	ncAvAR-56	1527
chr11	17517729	17517940	ncAvAR-57	1374
chr3	98606468	98606647	ncAvAR-58	788
chr1	83626470	83626577	ncAvAR-59	142
chr12	10597976	10598155	ncAvAR-60	1396
chr3	72303823	72304076	ncAvAR-61	756
chr2	103912392	103912682	ncAvAR-62	535
chr10	13322818	13322927	ncAvAR-63	1305
chr6	33357714	33357860	ncAvAR-64	1105
chr5	52377372	52377556	ncAvAR-65	1050
chr2	125071802	125071914	ncAvAR-66	578
chr3	26276953	26277481	ncAvAR-67	681
chr5	33879272	33879460	ncAvAR-68	994
chr2	35450767	35451183	ncAvAR-69	423
chr7	8297031	8297182	ncAvAR-70	1124
chr7	25679755	25680021	ncAvAR-71	1164
chr13	11678799	11678952	ncAvAR-72	1436
chr1	46487776	46487929	ncAvAR-73	76
chr1	61742217	61742370	ncAvAR-74	106
chr6	28128341	28128572	ncAvAR-75	1094
chr17	3333625	3333781	ncAvAR-76	1468
chr2	91442631	91442946	ncAvAR-77	524
chr2	63732501	63732860	ncAvAR-78	479
chr2	73970454	73970614	ncAvAR-79	498
chr7	24474680	24474801	ncAvAR-80	1163
chr3	40947412	40947574	ncAvAR-81	702
chr3	34926254	34926498	ncAvAR-82	694
chr2	90934662	90934785	ncAvAR-83	521
chr1	51893929	51894095	ncAvAR-84	89
chr20	11488596	11488762	ncAvAR-85	1512
chr1	173735191	173735399	ncAvAR-86	303
chr2	67881973	67882182	ncAvAR-87	492
chr1	51317395	51317520	ncAvAR-88	86
chr1	83229478	83229815	ncAvAR-89	140
chr7	25754425	25754593	ncAvAR-90	1164
chr3	18611188	18611356	ncAvAR-91	654
chr7	33588940	33589195	ncAvAR-92	1185
chr1	134366822	134366950	ncAvAR-93	224
chr2	27322485	27322656	ncAvAR-94	393
chr1	48706060	48706188	ncAvAR-95	79
chr1	135768852	135769024	ncAvAR-96	227
chr12	3244304	3244564	ncAvAR-97	1385
chr12	10676048	10676221	ncAvAR-98	1397
chr3	72212971	72213102	ncAvAR-99	755
chr3	107981219	107981350	ncAvAR-100	816
chr1	3294777	3294953	ncAvAR-101	2
chr1	63210880	63211146	ncAvAR-102	107
chr3	100475891	100476113	ncAvAR-103	793
chr4	57926410	57926543	ncAvAR-104	903
chr5	32152089	32152356	ncAvAR-105	992
chr8	15182151	15182418	ncAvAR-106	1212
chr1	26191734	26191867	ncAvAR-107	46
chr12	10625240	10625552	ncAvAR-108	1396
chr1	102241584	102241853	ncAvAR-109	179
chr4	77568804	77568984	ncAvAR-110	919
chr1	131182352	131182668	ncAvAR-111	217
chr5	10386451	10386586	ncAvAR-112	951
chr1	111248421	111248556	ncAvAR-113	195
chr2	63774141	63774504	ncAvAR-114	479
chr3	35017362	35017634	ncAvAR-115	694
chr1	61744218	61744536	ncAvAR-116	106
chr3	1786447	1786811	ncAvAR-117	625
chr2	5898598	5898735	ncAvAR-118	336
chr21	3033403	3033540	ncAvAR-119	1521
chr3	1654493	1654676	ncAvAR-120	625
chr5	13877799	13878029	ncAvAR-121	962
chr1	119862219	119862403	ncAvAR-122	208
chr12	10705344	10705528	ncAvAR-123	1397
chr2	27543200	27543432	ncAvAR-124	395
chr7	25870109	25870249	ncAvAR-125	1165
chr1	52186554	52186742	ncAvAR-126	90
chr11	14445764	14445905	ncAvAR-127	1367
chr1	135813923	135814065	ncAvAR-128	227
chr2	2585460	2585603	ncAvAR-129	331
chr1	48703409	48703552	ncAvAR-130	79
chr23	1286985	1287272	ncAvAR-131	1525
chr3	49732825	49732968	ncAvAR-132	710
chr4	4459980	4460268	ncAvAR-133	827
chr10	17056699	17056843	ncAvAR-134	1321
chr2	5867731	5867875	ncAvAR-135	336
chr3	62665790	62666031	ncAvAR-136	735
chr1	63643843	63644037	ncAvAR-137	111
chr3	103555428	103555574	ncAvAR-138	806
chr13	11752311	11752457	ncAvAR-139	1436
chr2	103911239	103911583	ncAvAR-140	535
chr9	12143410	12143705	ncAvAR-141	1278
chr2	8249865	8250012	ncAvAR-142	346
chr1	83192047	83192245	ncAvAR-143	140
chr3	18670754	18670953	ncAvAR-144	654
chr1	13479352	13479652	ncAvAR-145	25
chr4	57601346	57601596	ncAvAR-146	902
chr3	34903279	34903479	ncAvAR-147	694
chr2	104948179	104948380	ncAvAR-148	538
chr3	21566458	21566558	ncAvAR-149	667
chr2	91176400	91176551	ncAvAR-150	523
chr12	13642306	13642508	ncAvAR-151	1407
chr2	6034689	6034891	ncAvAR-152	338
chr2	104072860	104073062	ncAvAR-153	535
chr1	145857684	145857988	ncAvAR-154	251
chr4	17902850	17902951	ncAvAR-155	850
chr1	154899917	154900018	ncAvAR-156	269
chr1	90592796	90593001	ncAvAR-157	153
chr14	3525383	3525588	ncAvAR-158	1451
chr3	79562720	79562874	ncAvAR-159	769
chr20	8043183	8043545	ncAvAR-160	1503
chr7	22115552	22115707	ncAvAR-161	1158
chr18	9600117	9600220	ncAvAR-162	1482
chr1	48715685	48715892	ncAvAR-163	79
chr1	53775767	53776131	ncAvAR-164	94
chr1	53021527	53021788	ncAvAR-165	91
chr1	145873434	145873644	ncAvAR-166	251
chr2	62014219	62014429	ncAvAR-167	473
chr3	20243349	20243559	ncAvAR-168	662
chr3	50868137	50868347	ncAvAR-169	713
chr1	46392083	46392399	ncAvAR-170	75
chr8	24319065	24319223	ncAvAR-171	1247
chr2	130136647	130136752	ncAvAR-172	595
chr2	139415484	139415589	ncAvAR-173	608
chr2	124942835	124942994	ncAvAR-174	578
chr2	13395196	13395302	ncAvAR-175	362
chr3	30763012	30763118	ncAvAR-176	688
chr4	13520576	13520790	ncAvAR-177	844
chr13	1697770	1697877	ncAvAR-178	1418
chr2	96048249	96048356	ncAvAR-179	526
chr2	126114424	126114585	ncAvAR-180	584
chr2	17767464	17767842	ncAvAR-181	379
chr6	28078250	28078412	ncAvAR-182	1094
chr11	17659670	17659832	ncAvAR-183	1375
chr3	51601082	51601353	ncAvAR-184	717
chr1	186359626	186359954	ncAvAR-185	319
chr2	42517347	42517621	ncAvAR-186	435
chr1	6402750	6402859	ncAvAR-187	15
chr3	21642109	21642219	ncAvAR-188	667
chr1	135867410	135867688	ncAvAR-189	228
chr8	20997902	20998069	ncAvAR-190	1228
chr1	34464673	34464840	ncAvAR-191	60
chr1	180077946	180078283	ncAvAR-192	314
chr3	21467976	21468144	ncAvAR-193	667
chr2	124906025	124906475	ncAvAR-194	578
chr1	5975125	5975406	ncAvAR-195	12
chr1	82681617	82681842	ncAvAR-196	136
chr1	113801968	113802193	ncAvAR-197	201
chr2	30169560	30169672	ncAvAR-198	402
chr1	136304462	136304632	ncAvAR-199	230
chr13	5987765	5987878	ncAvAR-200	1428
chr3	59690801	59690972	ncAvAR-201	730
chr1	155345298	155345412	ncAvAR-202	273
chr6	15506384	15506556	ncAvAR-203	1075
chr10	13745191	13745363	ncAvAR-204	1307
chr4	75543773	75544003	ncAvAR-205	913
chr3	75207502	75207675	ncAvAR-206	760
chr1	81438703	81438818	ncAvAR-207	125
chr5	29651102	29651391	ncAvAR-208	983
chr3	93281573	93281689	ncAvAR-209	777
chr26	3510325	3510558	ncAvAR-210	1538
chr2	103778941	103779175	ncAvAR-211	534
chr5	10253558	10253851	ncAvAR-212	950
chr1	83031530	83031706	ncAvAR-213	138
chr1	97814909	97815026	ncAvAR-214	167
chr7	3714520	3714814	ncAvAR-215	1117
chr1	157952082	157952317	ncAvAR-216	279
chr11	4464837	4465014	ncAvAR-217	1333
chr4	7091250	7091428	ncAvAR-218	834
chr2	35120809	35120987	ncAvAR-219	421
chr2	103930230	103930707	ncAvAR-220	535
chr1	86683532	86683830	ncAvAR-221	147
chr2	112597016	112597494	ncAvAR-222	554
chr3	91127836	91127955	ncAvAR-223	772
chr4	21288365	21288484	ncAvAR-224	856
chr8	28101997	28102296	ncAvAR-225	1264
chr24	2256426	2256725	ncAvAR-226	1533
chr8	18251867	18252107	ncAvAR-227	1222
chr3	35013751	35014112	ncAvAR-228	694
chr3	61271295	61271476	ncAvAR-229	734
chr8	27263094	27263275	ncAvAR-230	1256
chr13	13865808	13865929	ncAvAR-231	1440
chr2	27311175	27311480	ncAvAR-232	393
chr1	122546163	122546346	ncAvAR-233	209
chr8	21000098	21000343	ncAvAR-234	1228
chr12	8330233	8330355	ncAvAR-235	1391
chr3	1029870	1029992	ncAvAR-236	621
chr1	51909275	51909459	ncAvAR-237	89
chr2	134866062	134866309	ncAvAR-238	600
chr24	2108499	2108746	ncAvAR-239	1532
chr2	35291986	35292234	ncAvAR-240	422
