phastCons_id	acc_element_bed_chr	acc_element_bed_start	acc_element_bed_end	id	acc_element_len	acc_element_size	acc_element_gap_count	acc_element_shift_count	hamming_ingroup_incl_gaps	hamming_outgroup/Users/anabella/Downloads/elements_20240919/data/5. mammals accelerated  functional regions/mammals_join_filtered_elements_norm_cod_oneacczerogap_functionalregions.csv_incl_gaps	hamming_in_out_incl_gaps	hamming_ingroup_excl_gaps	hamming_outgroup_excl_gaps	hamming_in_out_excl_gaps	acc_element_table_browser	acc_element_shift_count_rel	hamming_in_out_excl_gaps_scl	shift_count_rel_scl	norm2_scl	coding	acc_elements_in_phastCons_count	functional_element_shift_count	functional_element_gap_count	acc_elements_in_phastCons_shift_counts	acc_elements_in_phastCons_gap_counts	phastCons_seqnames	phastCons_start	phastCons_end	phastCons_width	phastCons_strand	functional_elements_shift_rel	functional_elements_acc_elements_count_rel	functional_element_shift_count_exclgt0gap	acc_elements_count_exclgt0gap
100	chr1	9715899	9715924	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr1/chr1_acc_25_9715899_9715924.maf	25	25	0	1	0.08	0.2	0.0848528185663277	0.08	0.2	0.0848528185663277	chr1:9715899-9715924	0.04	0.219355288055463	0.0625874125874126	0.228109461908712	TRUE	2	5	0	4 1	0 0	chr1	9715846	9715996	151	*	5	2	0.033112582781457	0.0132450331125828
100	chr1	9715963	9715988	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr1/chr1_acc_25_9715963_9715988.maf	25	25	0	4	0.16	0.28	0.0848528185663277	0.16	0.28	0.0848528185663277	chr1:9715963-9715988	0.16	0.219355288055463	0.263461538461538	0.342824626662694	TRUE	2	5	0	4 1	0 0	chr1	9715846	9715996	151	*	5	2	0.033112582781457	0.0132450331125828
1000	chr1	26863227	26863252	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr1/chr1_acc_25_26863227_26863252.maf	25	25	0	4	0.08	0.16	0.0565685421986477	0.08	0.16	0.0565685421986477	chr1:26863227-26863252	0.16	0.144734829473034	0.263461538461538	0.300599655873238	TRUE	5	21	9	4 7 7 3 4	0 2 6 0 1	chr1	26863228	26863628	401	*	7	2	0.0174563591022444	0.00498753117206983
1000	chr1	26863227	26863277	/home/rstudio/disco_tmp/data/acc_maf_ingroup/50/chr1/chr1_acc_50_26863227_26863277.maf	50	51	1	4	0.0980392156862745	0.117647058823529	0.0138648382576729	0.0980392156862745	0.117647058823529	0.0138648382576729	chr1:26863227-26863277	0.0784313725490196	0.0320725880983516	0.126919648978473	0.130909312900745	TRUE	5	21	9	4 7 7 3 4	0 2 6 0 1	chr1	26863228	26863628	401	*	7	2	0.0174563591022444	0.00498753117206983
1000	chr1	26863532	26863582	/home/rstudio/disco_tmp/data/acc_maf_ingroup/50/chr1/chr1_acc_50_26863532_26863582.maf	50	56	6	7	0.142857142857143	0.196428571428571	0.0378807135427858	0.142857142857143	0.196428571428571	0.0378807135427858	chr1:26863532-26863582	0.125	0.0954320180423084	0.204873251748252	0.226009555881007	TRUE	5	21	9	4 7 7 3 4	0 2 6 0 1	chr1	26863228	26863628	401	*	7	2	0.0174563591022444	0.00498753117206983
1000	chr1	26863327	26863352	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr1/chr1_acc_25_26863327_26863352.maf	25	25	0	3	0.16	0.2	0.02828427636768	0.16	0.2	0.02828427636768	chr1:26863327-26863352	0.12	0.0701143986888884	0.196503496503497	0.208637611761648	TRUE	5	21	9	4 7 7 3 4	0 2 6 0 1	chr1	26863228	26863628	401	*	7	2	0.0174563591022444	0.00498753117206983
1000	chr1	26863277	26863327	/home/rstudio/disco_tmp/data/acc_maf_ingroup/50/chr1/chr1_acc_50_26863277_26863327.maf	50	52	2	7	0.25	0.269230769230769	0.0135982172894299	0.25	0.269230769230769	0.0135982172894299	chr1:26863277-26863327	0.134615384615385	0.0313691803583285	0.220968934911243	0.223184443167893	TRUE	5	21	9	4 7 7 3 4	0 2 6 0 1	chr1	26863228	26863628	401	*	7	2	0.0174563591022444	0.00498753117206983
10000	chr2	12740635	12740660	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr2/chr2_acc_25_12740635_12740660.maf	25	25	0	1	0.12	0.16	0.0282842710993239	0.12	0.16	0.0282842710993239	chr2:12740635-12740660	0.04	0.0701143847897472	0.0625874125874126	0.0939851646209749	TRUE	1	1	0	1	0	chr2	12740323	12740796	474	*	1	1	0.00210970464135021	0.00210970464135021
10001	chr2	12741142	12741167	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr2/chr2_acc_25_12741142_12741167.maf	25	25	0	1	0	0.04	0.0282842710993239	0	0.04	0.0282842710993239	chr2:12741142-12741167	0.04	0.0701143847897472	0.0625874125874126	0.0939851646209749	TRUE	1	1	0	1	0	chr2	12741085	12741232	148	*	1	1	0.00675675675675676	0.00675675675675676
1001	chr1	26863650	26863675	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr1/chr1_acc_25_26863650_26863675.maf	25	28	3	5	0.142857142857143	0.285714285714286	0.101015260699757	0.142857142857143	0.285714285714286	0.101015260699757	chr1:26863650-26863675	0.178571428571429	0.261995546131382	0.294549200799201	0.394209205732348	TRUE	4	12	7	5 6 2 4	3 3 0 4	chr1	26863651	26863948	298	*	2	1	0.00671140939597315	0.00335570469798658
1001	chr1	26863650	26863700	/home/rstudio/disco_tmp/data/acc_maf_ingroup/50/chr1/chr1_acc_50_26863650_26863700.maf	50	53	3	6	0.113207547169811	0.207547169811321	0.0667081890400827	0.113207547169811	0.207547169811321	0.0667081890400827	chr1:26863650-26863700	0.113207547169811	0.171485561481732	0.185133262963452	0.252352180201003	TRUE	4	12	7	5 6 2 4	3 3 0 4	chr1	26863651	26863948	298	*	2	1	0.00671140939597315	0.00335570469798658
1001	chr1	26863825	26863850	/home/rstudio/disco_tmp/data/acc_maf_ingroup/25/chr1/chr1_acc_25_26863825_26863850.maf	25	25	0	2	0.08	0.16	0.0565685421986477	0.08	0.16	0.0565685421986477	chr1:26863825-26863850	0.08	0.144734829473034	0.129545454545455	0.194242620595936	TRUE	4	12	7	5 6 2 4	3 3 0 4	chr1	26863651	26863948	298	*	2	1	0.00671140939597315	0.00335570469798658
1001	chr1	26863750	26863800	/home/rstudio/disco_tmp/data/acc_maf_ingroup/50/chr1/chr1_acc_50_26863750_26863800.maf	50	54	4	4	0.0555555555555556	0.111111111111111	0.0392837110309178	0.0555555555555556	0.111111111111111	0.0392837110309178	chr1:26863750-26863800	0.0740740740740741	0.0991334496997236	0.119625744625745	0.155363314931909	TRUE	4	12	7	5 6 2 4	3 3 0 4	chr1	26863651	26863948	298	*	2	1	0.00671140939597315	0.00335570469798658
