group	group_name	seqnames	start	end	width	strand	element_accelerated_ranking_name
2	NA	chr10	22181807	22181811	5	*	ncAvAR-2
2	NA	chr10	22181800	22181806	7	*	ncAvAR-2
2	NA	chr10	22181694	22181799	106	*	ncAvAR-2
2	NA	chr10	22181637	22181693	57	*	ncAvAR-2
3	NA	chr2	178706857	178706956	100	*	ncAvAR-3
4	NA	chr3	115877316	115877449	134	*	ncAvAR-4
7	NA	chr13	53047959	53047998	40	*	ncAvAR-7
7	NA	chr13	53047929	53047958	30	*	ncAvAR-7
7	NA	chr13	53047883	53047917	35	*	ncAvAR-7
7	NA	chr13	53047864	53047881	18	*	ncAvAR-7
7	NA	chr13	53047837	53047862	26	*	ncAvAR-7
11	NA	chr11	12330036	12330061	26	*	ncAvAR-11
11	NA	chr11	12330015	12330035	21	*	ncAvAR-11
11	NA	chr11	12329958	12330014	57	*	ncAvAR-11
13	NA	chr3	41046018	41046018	1	*	ncAvAR-13
13	NA	chr3	41046020	41046041	22	*	ncAvAR-13
13	NA	chr3	41046042	41046111	70	*	ncAvAR-13
13	NA	chr3	41046112	41046159	48	*	ncAvAR-13
14	NA	chr3	173606942	173607030	89	*	ncAvAR-14
14	NA	chr3	173606884	173606938	55	*	ncAvAR-14
15	NA	chr20	64164127	64164162	36	*	ncAvAR-15
15	NA	chr20	64164015	64164126	112	*	ncAvAR-15
22	NA	chr2	106021228	106021288	61	*	ncAvAR-22
22	NA	chr2	106021290	106021340	51	*	ncAvAR-22
22	NA	chr2	106021341	106021356	16	*	ncAvAR-22
25	NA	chr3	117487151	117487304	154	*	ncAvAR-25
25	NA	chr3	117487138	117487148	11	*	ncAvAR-25
27	NA	chr7	28573281	28573452	172	*	ncAvAR-27
27	NA	chr7	28573453	28573491	39	*	ncAvAR-27
29	NA	chr16	72813635	72813788	154	*	ncAvAR-29
29	NA	chr16	72813563	72813634	72	*	ncAvAR-29
31	NA	chr15	100853957	100854059	103	*	ncAvAR-31
31	NA	chr15	100854060	100854097	38	*	ncAvAR-31
32	NA	chr6	166009359	166009363	5	*	ncAvAR-32
32	NA	chr6	166009316	166009352	37	*	ncAvAR-32
32	NA	chr6	166009276	166009315	40	*	ncAvAR-32
32	NA	chr6	166009240	166009275	36	*	ncAvAR-32
32	NA	chr6	166009197	166009239	43	*	ncAvAR-32
33	NA	chr1	46526639	46526652	14	*	ncAvAR-33
33	NA	chr1	46526615	46526638	24	*	ncAvAR-33
33	NA	chr1	46526504	46526614	111	*	ncAvAR-33
33	NA	chr1	46526484	46526503	20	*	ncAvAR-33
35	NA	chr2	163187411	163187487	77	*	ncAvAR-35
35	NA	chr2	163187373	163187408	36	*	ncAvAR-35
35	NA	chr2	163187328	163187364	37	*	ncAvAR-35
37	NA	chr2	100290256	100290435	180	*	ncAvAR-37
