"id"	"description"	"genome_fraction"	"observed_region_hits"	"fold_enrichment"	"p_value"	"p_adjust"	"mean_tss_dist"	"observed_gene_hits"	"gene_set_size"	"fold_enrichment_hyper"	"p_value_hyper"	"p_adjust_hyper"	"regions_empirical_p_value"	"regions_empirical_p_adjust"	"genes_empirical_p_value"	"genes_empirical_p_adjust"	"genes_in_term"	"genes_in_term_and_region"	"genes_prop"
"GO:0000313"	"organellar ribosome"	0.00713702328202352	45	2.18322357036024	2.05904988526129e-06	2.493738194372e-05	350528	6	29	0.902998500749625	0.682583964822936	0.999926859675201	0.000399920015996801	0.00622732596337875	0.958408318336333	1	"ENSGALG00010020206 ENSGALG00010006346 ENSGALG00010023124 ENSGALG00010029350 ENSGALG00010004365 ENSGALG00010024590 ENSGALG00010012458 ENSGALG00010015523 ENSGALG00010027638 ENSGALG00010028921 ENSGALG00010029646 ENSGALG00010021922 ENSGALG00010013196 ENSGALG00010022657 ENSGALG00010009463 ENSGALG00010018543 ENSGALG00010007905 ENSGALG00010004495 ENSGALG00010018987 ENSGALG00010019761 ENSGALG00010007941 ENSGALG00010029656 ENSGALG00010029683 ENSGALG00010021197 ENSGALG00010011111 ENSGALG00010018143 ENSGALG00010023807 NA ENSGALG00010016527 ENSGALG00010012648 ENSGALG00010020364 ENSGALG00010010496 ENSGALG00010018698 ENSGALG00010002565 ENSGALG00010005448 ENSGALG00010026064 ENSGALG00010001300 ENSGALG00010018510 ENSGALG00010007542 ENSGALG00010028425 ENSGALG00010020224 ENSGALG00010010394 ENSGALG00010002627 ENSGALG00010002577 ENSGALG00010002834 ENSGALG00010024196 ENSGALG00010025160 ENSGALG00010019313 ENSGALG00010016576 ENSGALG00010005594 ENSGALG00010029761 ENSGALG00010024425 NA"	"NA ENSGALG00010013196 ENSGALG00010022657 ENSGALG00010024590 ENSGALG00010004495 ENSGALG00010019761 ENSGALG00010012648"	0.132075471698113
"GO:0000314"	"organellar small ribosomal subunit"	0.00374492349803273	41	3.79091212617154	1.71729297449019e-12	4.01110573327352e-11	375703	4	13	1.34292084726867	0.345958306739092	0.999926859675201	0.0001999600079984	0.00363260681197094	0.871425714857029	1	"ENSGALG00010020206 ENSGALG00010004365 ENSGALG00010027638 ENSGALG00010029646 ENSGALG00010013196 ENSGALG00010022657 ENSGALG00010018987 ENSGALG00010019761 ENSGALG00010011111 ENSGALG00010016527 ENSGALG00010012648 ENSGALG00010018698 ENSGALG00010002565 ENSGALG00010028425 ENSGALG00010002627 ENSGALG00010025160 ENSGALG00010016576"	"ENSGALG00010013196 ENSGALG00010022657 ENSGALG00010019761 ENSGALG00010012648"	0.235294117647059
"GO:0000785"	"chromatin"	0.0143032440511177	68	1.64617944621809	7.67867911729558e-05	0.000523110014865762	180641	16	83	0.841348000698446	0.821717802152965	0.999926859675201	0.0001999600079984	0.00363260681197094	0.886422715456909	1	"ENSGALG00010011316 ENSGALG00010010791 ENSGALG00010019190 ENSGALG00010003900 ENSGALG00010024438 ENSGALG00010021778 ENSGALG00010021565 ENSGALG00010001861 ENSGALG00010021407 ENSGALG00010029677 ENSGALG00010022093 ENSGALG00010028516 ENSGALG00010027346 ENSGALG00010020272 ENSGALG00010005909 ENSGALG00010025582 ENSGALG00010024136 ENSGALG00010028211 ENSGALG00010029233 ENSGALG00010023414 ENSGALG00010013251 ENSGALG00010022532 ENSGALG00010019284 ENSGALG00010001725 ENSGALG00010000141 ENSGALG00010001835 ENSGALG00010012529 NA ENSGALG00010012997 ENSGALG00010005358 ENSGALG00010015848 ENSGALG00010026951 ENSGALG00010021342 ENSGALG00010021158 NA ENSGALG00010021750 ENSGALG00010003674 ENSGALG00010004378 ENSGALG00010012437 ENSGALG00010023179 ENSGALG00010026300 ENSGALG00010012470 ENSGALG00010012062 ENSGALG00010011808 ENSGALG00010021256 ENSGALG00010018539 ENSGALG00010027864 ENSGALG00010021568 ENSGALG00010009567 ENSGALG00010013261 ENSGALG00010022090 ENSGALG00010016508 ENSGALG00010003068 ENSGALG00010027932 ENSGALG00010029362 ENSGALG00010008807 ENSGALG00010001349 ENSGALG00010013878 ENSGALG00010012865 ENSGALG00010001952 ENSGALG00010002705 ENSGALG00010006246 ENSGALG00010006657 ENSGALG00010021881 ENSGALG00010023731 ENSGALG00010022299 ENSGALG00010014301 ENSGALG00010015384 ENSGALG00010022547 ENSGALG00010008004 ENSGALG00010008387 ENSGALG00010027289 ENSGALG00010000610 ENSGALG00010027074 ENSGALG00010009522 ENSGALG00010004101 ENSGALG00010017780 ENSGALG00010015899 ENSGALG00010009411 ENSGALG00010007978 ENSGALG00010016242 ENSGALG00010016910 ENSGALG00010016966 ENSGALG00010026484 ENSGALG00010022316 ENSGALG00010006280 ENSGALG00010009410 ENSGALG00010022332 ENSGALG00010024344 ENSGALG00010025265 ENSGALG00010018172 ENSGALG00010002054 ENSGALG00010020582 ENSGALG00010023080 ENSGALG00010017843 ENSGALG00010017894 ENSGALG00010023184 ENSGALG00010021528 ENSGALG00010028885 ENSGALG00010026277 ENSGALG00010001778 ENSGALG00010018594 ENSGALG00010011633 ENSGALG00010025426 ENSGALG00010020090 ENSGALG00010022550 ENSGALG00010013553 ENSGALG00010021272 ENSGALG00010029322 ENSGALG00010002919 ENSGALG00010014198 ENSGALG00010024890 ENSGALG00010010800 ENSGALG00010001697 NA NA ENSGALG00010024444 NA NA ENSGALG00010016581 ENSGALG00010013391 ENSGALG00010028050 ENSGALG00010027898 ENSGALG00010028561 ENSGALG00010013389 NA ENSGALG00010011989 NA ENSGALG00010012144 ENSGALG00010011637 ENSGALG00010010274 ENSGALG00010008399 ENSGALG00010003810 ENSGALG00010019040 ENSGALG00010024112 ENSGALG00010022476 ENSGALG00010020756 ENSGALG00010017018 ENSGALG00010029536 NA NA NA NA ENSGALG00010014512 NA NA NA NA NA ENSGALG00010006101 ENSGALG00010027278 NA ENSGALG00010012693 ENSGALG00010002530 ENSGALG00010009368 ENSGALG00010005092 ENSGALG00010010243 ENSGALG00010013273 ENSGALG00010022783 ENSGALG00010028518 ENSGALG00010000171 ENSGALG00010021218 ENSGALG00010002400 ENSGALG00010017608 ENSGALG00010011496 ENSGALG00010012216 ENSGALG00010016677 ENSGALG00010024809 ENSGALG00010020091 ENSGALG00010011412 ENSGALG00010024102 ENSGALG00010023077 ENSGALG00010022719 ENSGALG00010024679 ENSGALG00010005549 ENSGALG00010023289 ENSGALG00010029787 ENSGALG00010026457 ENSGALG00010012350 ENSGALG00010012248 ENSGALG00010012169 ENSGALG00010012350 ENSGALG00010014416 ENSGALG00010014375 ENSGALG00010024819 ENSGALG00010005367 ENSGALG00010019132 ENSGALG00010013579 NA ENSGALG00010017538 ENSGALG00010012350 ENSGALG00010012350 ENSGALG00010008596 ENSGALG00010012169 ENSGALG00010012266 ENSGALG00010012277 ENSGALG00010012345 ENSGALG00010003178 ENSGALG00010004624 ENSGALG00010024361 ENSGALG00010012338 ENSGALG00010009035 ENSGALG00010012350 ENSGALG00010011987 ENSGALG00010012169 ENSGALG00010016662 ENSGALG00010008224 ENSGALG00010025080 ENSGALG00010012350 ENSGALG00010027282 ENSGALG00010000465 ENSGALG00010013592 ENSGALG00010012157 ENSGALG00010012169 ENSGALG00010015949"	"ENSGALG00010002530 NA ENSGALG00010011637 ENSGALG00010006246 ENSGALG00010003810 ENSGALG00010012062 ENSGALG00010026951 ENSGALG00010005909 ENSGALG00010022316 ENSGALG00010001861 ENSGALG00010003674 ENSGALG00010006657 ENSGALG00010001349 ENSGALG00010026300 ENSGALG00010008807 ENSGALG00010016581 ENSGALG00010024136"	0.0790697674418605
