"name" "cluster" "chr" "start" "end" "freq"
"1" "ncAvAR-77" 524 "chr2" "91442631" "91442947" 26
"2" "ncAvAR-380" 524 "chr2" "91249237" "91249727" 26
"3" "ncAvAR-535" 524 "chr2" "91439196" "91439397" 26
"4" "ncAvAR-616" 524 "chr2" "91368936" "91369605" 26
"5" "ncAvAR-837" 524 "chr2" "91425782" "91426202" 26
"6" "ncAvAR-944" 524 "chr2" "91418564" "91418872" 26
"7" "ncAvAR-969" 524 "chr2" "91352677" "91352834" 26
"8" "ncAvAR-1150" 524 "chr2" "91250490" "91250854" 26
"9" "ncAvAR-1172" 524 "chr2" "91452634" "91452819" 26
"10" "ncAvAR-1810" 524 "chr2" "91354472" "91354762" 26
"11" "ncAvAR-1842" 524 "chr2" "91555721" "91556017" 26
"12" "ncAvAR-1855" 524 "chr2" "91549825" "91550421" 26
"13" "ncAvAR-1880" 524 "chr2" "91333096" "91333398" 26
"14" "ncAvAR-2069" 524 "chr2" "91556464" "91556807" 26
"15" "ncAvAR-2306" 524 "chr2" "91359827" "91360241" 26
"16" "ncAvAR-2348" 524 "chr2" "91294845" "91295701" 26
"17" "ncAvAR-2494" 524 "chr2" "91604612" "91605096" 26
"18" "ncAvAR-2523" 524 "chr2" "91627259" "91627758" 26
"19" "ncAvAR-2572" 524 "chr2" "91290904" "91291966" 26
"20" "ncAvAR-2664" 524 "chr2" "91412428" "91413011" 26
"21" "ncAvAR-2676" 524 "chr2" "91667606" "91668203" 26
"22" "ncAvAR-2679" 524 "chr2" "91429828" "91430426" 26
"23" "ncAvAR-2744" 524 "chr2" "91281878" "91282540" 26
"24" "ncAvAR-2745" 524 "chr2" "91491818" "91492480" 26
"25" "ncAvAR-2829" 524 "chr2" "91343790" "91344637" 26
"26" "ncAvAR-2850" 524 "chr2" "91499907" "91500819" 26
"27" "ncAvAR-72" 1436 "chr13" "11678799" "11678953" 24
"28" "ncAvAR-139" 1436 "chr13" "11752311" "11752458" 24
"29" "ncAvAR-318" 1436 "chr13" "11759108" "11759329" 24
"30" "ncAvAR-361" 1436 "chr13" "11648355" "11648673" 24
"31" "ncAvAR-393" 1436 "chr13" "11592223" "11592475" 24
"32" "ncAvAR-400" 1436 "chr13" "11480627" "11480966" 24
"33" "ncAvAR-447" 1436 "chr13" "11421868" "11422137" 24
"34" "ncAvAR-818" 1436 "chr13" "11709079" "11709629" 24
"35" "ncAvAR-827" 1436 "chr13" "11643091" "11643369" 24
"36" "ncAvAR-925" 1436 "chr13" "11760975" "11761279" 24
"37" "ncAvAR-1017" 1436 "chr13" "11500696" "11501184" 24
"38" "ncAvAR-1093" 1436 "chr13" "11625917" "11626266" 24
"39" "ncAvAR-1293" 1436 "chr13" "11435488" "11435896" 24
"40" "ncAvAR-1609" 1436 "chr13" "11586762" "11587019" 24
"41" "ncAvAR-1615" 1436 "chr13" "11522207" "11522465" 24
"42" "ncAvAR-1616" 1436 "chr13" "11570985" "11571243" 24
"43" "ncAvAR-1771" 1436 "chr13" "11584079" "11584363" 24
"44" "ncAvAR-2068" 1436 "chr13" "11430827" "11431170" 24
"45" "ncAvAR-2220" 1436 "chr13" "11501308" "11501695" 24
"46" "ncAvAR-2333" 1436 "chr13" "11637400" "11637822" 24
"47" "ncAvAR-2357" 1436 "chr13" "11707867" "11708297" 24
"48" "ncAvAR-2424" 1436 "chr13" "11591372" "11591829" 24
"49" "ncAvAR-2453" 1436 "chr13" "11615904" "11616837" 24
"50" "ncAvAR-2643" 1436 "chr13" "11635747" "11636318" 24
"51" "ncAvAR-149" 667 "chr3" "21566458" "21566559" 19
"52" "ncAvAR-188" 667 "chr3" "21642109" "21642220" 19
"53" "ncAvAR-193" 667 "chr3" "21467976" "21468145" 19
"54" "ncAvAR-560" 667 "chr3" "21450927" "21451136" 19
"55" "ncAvAR-878" 667 "chr3" "21527079" "21527515" 19
"56" "ncAvAR-983" 667 "chr3" "21377006" "21377323" 19
"57" "ncAvAR-1044" 667 "chr3" "21593746" "21593912" 19
"58" "ncAvAR-1235" 667 "chr3" "21430413" "21430805" 19
"59" "ncAvAR-1367" 667 "chr3" "21491549" "21491763" 19
"60" "ncAvAR-1922" 667 "chr3" "21389095" "21389407" 19
"61" "ncAvAR-1958" 667 "chr3" "21443639" "21444273" 19
"62" "ncAvAR-1979" 667 "chr3" "21603235" "21603557" 19
"63" "ncAvAR-1992" 667 "chr3" "21366488" "21366813" 19
"64" "ncAvAR-2034" 667 "chr3" "21368507" "21368840" 19
"65" "ncAvAR-2476" 667 "chr3" "21410233" "21410710" 19
"66" "ncAvAR-2566" 667 "chr3" "21412700" "21413228" 19
"67" "ncAvAR-2708" 667 "chr3" "21311203" "21311829" 19
"68" "ncAvAR-2877" 667 "chr3" "21349079" "21350225" 19
"69" "ncAvAR-2880" 667 "chr3" "21408977" "21410149" 19
"70" "ncAvAR-219" 421 "chr2" "35120809" "35120988" 17
"71" "ncAvAR-404" 421 "chr2" "35030665" "35030921" 17
"72" "ncAvAR-457" 421 "chr2" "35011129" "35011401" 17
"73" "ncAvAR-485" 421 "chr2" "34986757" "34987131" 17
"74" "ncAvAR-553" 421 "chr2" "34971450" "34972179" 17
"75" "ncAvAR-720" 421 "chr2" "35142196" "35142446" 17
"76" "ncAvAR-887" 421 "chr2" "35027127" "35027567" 17
"77" "ncAvAR-1149" 421 "chr2" "35199592" "35199774" 17
"78" "ncAvAR-1359" 421 "chr2" "35099815" "35100242" 17
"79" "ncAvAR-1709" 421 "chr2" "35237660" "35237932" 17
"80" "ncAvAR-1911" 421 "chr2" "35059566" "35059876" 17
"81" "ncAvAR-1926" 421 "chr2" "35107224" "35107537" 17
"82" "ncAvAR-1993" 421 "chr2" "35233081" "35233732" 17
"83" "ncAvAR-2249" 421 "chr2" "35100916" "35101312" 17
"84" "ncAvAR-2520" 421 "chr2" "35174378" "35174875" 17
"85" "ncAvAR-2722" 421 "chr2" "35038188" "35038824" 17
"86" "ncAvAR-2810" 421 "chr2" "35008111" "35008893" 17
"87" "ncAvAR-62" 535 "chr2" "103912392" "103912683" 15
"88" "ncAvAR-140" 535 "chr2" "103911239" "103911584" 15
"89" "ncAvAR-153" 535 "chr2" "104072860" "104073063" 15
"90" "ncAvAR-220" 535 "chr2" "103930230" "103930708" 15
"91" "ncAvAR-312" 535 "chr2" "103883122" "103883410" 15
"92" "ncAvAR-576" 535 "chr2" "103916889" "103917208" 15
"93" "ncAvAR-853" 535 "chr2" "103877512" "103877796" 15
"94" "ncAvAR-1121" 535 "chr2" "103910858" "103911212" 15
"95" "ncAvAR-1331" 535 "chr2" "103947071" "103947492" 15
"96" "ncAvAR-1360" 535 "chr2" "103986202" "103986629" 15
"97" "ncAvAR-1637" 535 "chr2" "103960852" "103961375" 15
"98" "ncAvAR-1645" 535 "chr2" "104048361" "104048623" 15
"99" "ncAvAR-2184" 535 "chr2" "103895145" "103895522" 15
"100" "ncAvAR-2444" 535 "chr2" "104030850" "104031314" 15
