"name" "cluster" "chr" "start" "end" "freq"
"1" "ncMAR-372" 1881 "chr14" "32640150" "32640352" 15
"2" "ncMAR-487" 1881 "chr14" "32578568" "32578706" 15
"3" "ncMAR-643" 1881 "chr14" "32702733" "32703123" 15
"4" "ncMAR-675" 1881 "chr14" "32730989" "32731334" 15
"5" "ncMAR-842" 1881 "chr14" "32825784" "32826260" 15
"6" "ncMAR-950" 1881 "chr14" "32703940" "32704315" 15
"7" "ncMAR-1459" 1881 "chr14" "32727968" "32728194" 15
"8" "ncMAR-2002" 1881 "chr14" "32772617" "32772949" 15
"9" "ncMAR-2088" 1881 "chr14" "32763303" "32763838" 15
"10" "ncMAR-2486" 1881 "chr14" "32786950" "32787195" 15
"11" "ncMAR-2797" 1881 "chr14" "32728643" "32729274" 15
"12" "ncMAR-2843" 1881 "chr14" "32601050" "32601382" 15
"13" "ncMAR-2938" 1881 "chr14" "32734149" "32734873" 15
"14" "ncMAR-2958" 1881 "chr14" "32667132" "32667880" 15
"15" "ncMAR-3060" 1881 "chr14" "32666267" "32666687" 15
"16" "ncMAR-847" 344 "chr2" "144462753" "144462890" 13
"17" "ncMAR-1006" 344 "chr2" "144651369" "144651528" 13
"18" "ncMAR-1467" 344 "chr2" "144507950" "144508177" 13
"19" "ncMAR-1584" 344 "chr2" "144521116" "144521365" 13
"20" "ncMAR-1888" 344 "chr2" "144433805" "144434113" 13
"21" "ncMAR-1967" 344 "chr2" "144607900" "144608550" 13
"22" "ncMAR-2643" 344 "chr2" "144433010" "144433568" 13
"23" "ncMAR-2746" 344 "chr2" "144495656" "144495962" 13
"24" "ncMAR-2990" 344 "chr2" "144567607" "144568380" 13
"25" "ncMAR-3153" 344 "chr2" "144427020" "144427967" 13
"26" "ncMAR-3244" 344 "chr2" "144444300" "144444833" 13
"27" "ncMAR-3324" 344 "chr2" "144466527" "144467159" 13
"28" "ncMAR-3416" 344 "chr2" "144582558" "144583340" 13
"29" "ncMAR-343" 269 "chr2" "58737255" "58737372" 12
"30" "ncMAR-658" 269 "chr2" "58801120" "58801233" 12
"31" "ncMAR-1163" 269 "chr2" "58749329" "58749598" 12
"32" "ncMAR-1264" 269 "chr2" "58707453" "58707949" 12
"33" "ncMAR-1497" 269 "chr2" "58847902" "58848133" 12
"34" "ncMAR-1681" 269 "chr2" "58852912" "58853314" 12
"35" "ncMAR-2201" 269 "chr2" "58698900" "58699290" 12
"36" "ncMAR-2293" 269 "chr2" "58720052" "58720262" 12
"37" "ncMAR-2443" 269 "chr2" "58836015" "58836488" 12
"38" "ncMAR-3255" 269 "chr2" "58839656" "58840201" 12
"39" "ncMAR-3406" 269 "chr2" "58770797" "58771549" 12
"40" "ncMAR-3471" 269 "chr2" "58769367" "58770629" 12
"41" "ncMAR-1137" 1465 "chr10" "75600794" "75601233" 11
"42" "ncMAR-1219" 1465 "chr10" "75644314" "75644502" 11
"43" "ncMAR-1825" 1465 "chr10" "75694418" "75694565" 11
"44" "ncMAR-2442" 1465 "chr10" "75693234" "75693943" 11
