phastCons_id	acc_element_bed_chr	acc_element_bed_start	acc_element_bed_end	id	acc_element_len	acc_element_size	acc_element_gap_count	acc_element_shift_count	hamming_ingroup_incl_gaps	hamming_outgroup_incl_gaps	hamming_in_out_incl_gaps	hamming_ingroup_excl_gaps	hamming_outgroup_excl_gaps	hamming_in_out_excl_gaps	acc_element_table_browser	acc_element_shift_count_rel	hamming_in_out_excl_gaps_scl	shift_count_rel_scl	norm2_scl	coding	acc_elements_in_phastCons_count	functional_element_shift_count	functional_element_gap_count	acc_elements_in_phastCons_shift_counts	acc_elements_in_phastCons_gap_counts	phastCons_seqnames	phastCons_start	phastCons_end	phastCons_width	phastCons_strand	functional_elements_shift_rel	functional_elements_acc_elements_count_rel	functional_element_shift_count_exclgt0gap	acc_elements_count_exclgt0gap
10009	chr1	68812718	68812743	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_68812718_68812743.maf	25	25	0	2	0	0.08	0.0565685421986477	0	0.08	0.0565685421986477	chr1:68812718-68812743	0.08	0.14138871360504	0.179863414634146	0.22878290202448	FALSE	4	4	2	2 3 1 1	0 1 0 1	chr1	68812612	68812954	343	*	3	2	0.0087463556851312	0.00583090379008746
10009	chr1	68812718	68812768	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_68812718_68812768.maf	50	51	1	3	0.0196078431372549	0.0588235294117647	0.0277296765153457	0.0196078431372549	0.0588235294117647	0.0277296765153457	chr1:68812718-68812768	0.0588235294117647	0.0650074429392751	0.129411764705882	0.144821864653766	FALSE	4	4	2	2 3 1 1	0 1 0 1	chr1	68812612	68812954	343	*	3	2	0.0087463556851312	0.00583090379008746
10009	chr1	68812768	68812818	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_68812768_68812818.maf	50	51	1	1	0.0196078431372549	0.0392156862745098	0.0138648395747619	0.0196078431372549	0.0392156862745098	0.0138648395747619	chr1:68812768-68812818	0.0196078431372549	0.0282856843678688	0.0359827833572453	0.0457694290798252	FALSE	4	4	2	2 3 1 1	0 1 0 1	chr1	68812612	68812954	343	*	3	2	0.0087463556851312	0.00583090379008746
10009	chr1	68812768	68812793	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_68812768_68812793.maf	25	25	0	1	0.04	0.08	0.0282842710993239	0.04	0.08	0.0282842710993239	chr1:68812768-68812793	0.04	0.0664763162123709	0.0845658536585366	0.107566185310088	FALSE	4	4	2	2 3 1 1	0 1 0 1	chr1	68812612	68812954	343	*	3	2	0.0087463556851312	0.00583090379008746
100112	chr3	58449014	58449064	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr3/chr3_50_acc_58449014_58449064.maf	50	50	0	4	0.04	0.14	0.0707106803824877	0.04	0.14	0.0707106803824877	chr3:58449014-58449064	0.08	0.178844919278136	0.179863414634146	0.25364611780088	FALSE	1	4	0	4	0	chr3	58448965	58449082	118	*	4	1	0.0338983050847458	0.00847457627118644
10013	chr1	68837879	68837929	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_68837879_68837929.maf	50	50	0	2	0.02	0.08	0.0424264066489858	0.02	0.08	0.0424264066489858	chr1:68837879-68837929	0.04	0.103932514908706	0.0845658536585366	0.133990116278199	FALSE	1	2	0	2	0	chr1	68837780	68837983	204	*	2	1	0.00980392156862745	0.00490196078431373
10016	chr1	68851692	68851742	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_68851692_68851742.maf	50	50	0	1	0.02	0.1	0.0565685421986477	0.02	0.1	0.0565685421986477	chr1:68851692-68851742	0.02	0.14138871360504	0.0369170731707317	0.146128842554717	FALSE	2	2	0	1 1	0 0	chr1	68851493	68851743	251	*	2	2	0.00796812749003984	0.00796812749003984
10016	chr1	68851517	68851542	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_68851517_68851542.maf	25	25	0	1	0	0.12	0.0848528132979716	0	0.12	0.0848528132979716	chr1:68851517-68851542	0.04	0.21630111099771	0.0845658536585366	0.232244599988548	FALSE	2	2	0	1 1	0 0	chr1	68851493	68851743	251	*	2	2	0.00796812749003984	0.00796812749003984
100165	chr3	58955313	58955338	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_58955313_58955338.maf	25	25	0	2	0	0.08	0.0565685421986477	0	0.08	0.0565685421986477	chr3:58955313-58955338	0.08	0.14138871360504	0.179863414634146	0.22878290202448	FALSE	1	2	0	2	0	chr3	58955258	58955382	125	*	2	1	0.016	0.008
100184	chr3	59025095	59025120	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_59025095_59025120.maf	25	25	0	1	0.04	0.08	0.0282842710993239	0.04	0.08	0.0282842710993239	chr3:59025095-59025120	0.04	0.0664763162123709	0.0845658536585366	0.107566185310088	FALSE	1	1	0	1	0	chr3	59025060	59025260	201	*	1	1	0.00497512437810945	0.00497512437810945
100212	chr3	59202535	59202560	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_59202535_59202560.maf	25	25	0	1	0	0.08	0.0565685421986477	0	0.08	0.0565685421986477	chr3:59202535-59202560	0.04	0.14138871360504	0.0845658536585366	0.164748753985835	FALSE	1	1	0	1	0	chr3	59202429	59202704	276	*	1	1	0.0036231884057971	0.0036231884057971
100262	chr3	59580416	59580441	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_59580416_59580441.maf	25	25	0	1	0	0.04	0.0282842710993239	0	0.04	0.0282842710993239	chr3:59580416-59580441	0.04	0.0664763162123709	0.0845658536585366	0.107566185310088	FALSE	1	1	0	1	0	chr3	59580330	59580612	283	*	1	1	0.00353356890459364	0.00353356890459364
100274	chr3	59690800	59690850	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr3/chr3_50_acc_59690800_59690850.maf	50	50	0	3	0.02	0.08	0.0424264066489858	0.02	0.08	0.0424264066489858	chr3:59690800-59690850	0.06	0.103932514908706	0.132214634146341	0.168174543667284	FALSE	1	3	0	3	0	chr3	59690801	59690972	172	*	3	1	0.0174418604651163	0.00581395348837209
