"name" "number_of_ncMARs"
"1" "NPAS3" 30
"2" "LINC01122" 21
"3" "ESRRG" 17
"4" "MEF2C-AS1" 17
"5" "PKN2-AS1" 17
"6" "AKAP6" 15
"7" "ZFHX3" 15
"8" "ADGRL2" 14
"9" "ARHGAP15" 14
"10" "NRXN3" 14
"11" "SOX6" 14
"12" "AC007100.1" 13
"13" "LRMDA" 12
"14" "MECOM" 12
"15" "AC116362.1" 11
"16" "BNC2" 11
"17" "BTRC" 11
"18" "CADM1" 11
"19" "AC007179.2" 10
"20" "AC097634.4" 10
"21" "BCAS3" 10
"22" "FHIT" 10
"23" "DPYD" 9
"24" "FOXP1" 9
"25" "FTO" 9
"26" "KIRREL3" 9
"27" "NFIB" 9
"28" "NTM" 9
"29" "OPCML" 9
"30" "VTI1A" 9
"31" "AC007092.1" 8
"32" "AC012409.2" 8
"33" "FAF1" 8
"34" "LINC02306" 8
"35" "MEIS1" 8
"36" "RNF220" 8
"37" "ROBO2" 8
"38" "SKAP1" 8
"39" "SOX5" 8
"40" "USH2A" 8
"41" "ZEB2" 8
"42" "ZFPM2" 8
"43" "AC007389.1" 7
"44" "AL135878.1" 7
"45" "AL162726.3" 7
"46" "ARID5B" 7
"47" "DACH1" 7
"48" "EBF2" 7
"49" "IQCJ-SCHIP1" 7
"50" "OBI1-AS1" 7
"51" "PBX3" 7
"52" "PEX14" 7
"53" "SATB2" 7
"54" "AC016766.1" 6
"55" "AC018742.1" 6
"56" "AL133166.1" 6
"57" "AL157944.1" 6
"58" "CADM2" 6
"59" "GPC6" 6
"60" "HULC" 6
"61" "KCND2" 6
"62" "LINC01117" 6
"63" "LINC01725" 6
"64" "LINC01876" 6
"65" "LRBA" 6
"66" "MAP2K5" 6
"67" "MSI2" 6
"68" "PDZRN4" 6
"69" "RBFOX1" 6
"70" "RSRC1" 6
"71" "WWOX" 6
"72" "ZBTB20" 6
"73" "AC011287.1" 5
"74" "AC015574.1" 5
"75" "AC079943.2" 5
"76" "AC092422.1" 5
"77" "AC092957.1" 5
"78" "AL133372.2" 5
"79" "AL390334.1" 5
"80" "CASC2" 5
"81" "CDKAL1" 5
"82" "DENND1A" 5
"83" "ERC2" 5
"84" "EXOC4" 5
"85" "FIGN" 5
"86" "LINC00461" 5
"87" "LINC01414" 5
"88" "LINC01965" 5
"89" "MIR100HG" 5
"90" "MPPED2" 5
"91" "OFCC1" 5
"92" "PARD3" 5
"93" "PARD3B" 5
"94" "PDE11A" 5
"95" "POU6F2" 5
"96" "PTPRD" 5
"97" "RAD51B" 5
"98" "RORA" 5
"99" "SATB1" 5
"100" "SLC25A21" 5
"101" "TEX41" 5
"102" "VPS13B" 5
"103" "ZNF423" 5
"104" "AATF" 4
"105" "AC007422.1" 4
"106" "AC055854.1" 4
"107" "AC092162.2" 4
"108" "AC093459.1" 4
"109" "AC106799.2" 4
"110" "AC108734.4" 4
"111" "AC124854.1" 4
"112" "ACACA" 4
"113" "ACBD6" 4
"114" "AL035078.4" 4
"115" "AL137100.3" 4
"116" "AL158058.2" 4
"117" "AL355499.2" 4
"118" "AP3B1" 4
"119" "C12orf42" 4
"120" "CADPS" 4
"121" "CAMKMT" 4
"122" "CCDC39" 4
"123" "CHCHD3" 4
"124" "CLPB" 4
