"name" "number_of_ncAvARs"
"1" "LSAMP" 21
"2" "EBF1" 18
"3" "DACH1" 15
"4" "SOX5" 14
"5" "ZBTB20" 14
"6" "PTPRN2" 11
"7" "ZNF407" 11
"8" "ZNF521" 11
"9" "CLYBL" 9
"10" "LRBA" 9
"11" "NPAS3" 9
"12" "ZFHX3" 9
"13" "AGBL4" 8
"14" "CREB5" 8
"15" "DPH6" 8
"16" "RNF220" 8
"17" "FHIT" 7
"18" "FOXP2" 7
"19" "LOC101750361" 7
"20" "LOC107053584" 7
"21" "LOC107054308" 7
"22" "SLC25A21" 7
"23" "TBC1D5" 7
"24" "TOX" 7
"25" "VTI1A" 7
"26" "ZFPM2" 7
"27" "ARHGAP15" 6
"28" "CELF2" 6
"29" "DGKB" 6
"30" "FOXP1" 6
"31" "LOC101749795" 6
"32" "LOC101750715" 6
"33" "LOC112531514" 6
"34" "LOC112531821" 6
"35" "NRXN3" 6
"36" "NTM" 6
"37" "SOX6" 6
"38" "TENM2" 6
"39" "USH2A" 6
"40" "ZFHX4" 6
"41" "AFF2" 5
"42" "CECR2" 5
"43" "CYP7B1" 5
"44" "ERI3" 5
"45" "FAF1" 5
"46" "GLI2" 5
"47" "LOC101748407" 5
"48" "LOC101751795" 5
"49" "LOC112531762" 5
"50" "RARB" 5
"51" "RBFOX2" 5
"52" "RBMS3" 5
"53" "ROBO2" 5
"54" "SKAP2" 5
"55" "TCF7L2" 5
"56" "TSHZ1" 5
"57" "WWOX" 5
"58" "ZEB2" 5
"59" "ZNF423" 5
"60" "ZNF536" 5
"61" "AGAP1" 4
"62" "ARID1B" 4
"63" "ATXN1" 4
"64" "BCL11B" 4
"65" "CADM2" 4
"66" "CAMKMT" 4
"67" "DAB1" 4
"68" "DACH2" 4
"69" "ERC2" 4
"70" "ETV1" 4
"71" "FBRSL1" 4
"72" "FTO" 4
"73" "GLI3" 4
"74" "GMDS" 4
"75" "KLHL29" 4
"76" "LOC101748858" 4
"77" "LOC101750929" 4
"78" "LOC101751884" 4
"79" "LOC107052867" 4
"80" "LOC112530523" 4
"81" "LOC112532786" 4
"82" "MECOM" 4
"83" "MEIS2" 4
"84" "NRP1" 4
"85" "OPCML" 4
"86" "PPARGC1A" 4
"87" "PROX1" 4
"88" "RANBP17" 4
"89" "SATB1" 4
"90" "SEMA3A" 4
"91" "TAF3" 4
"92" "TRPS1" 4
"93" "VPS13B" 4
"94" "AFF3" 3
"95" "AKAP6" 3
"96" "ALS2" 3
"97" "ANAPC10" 3
"98" "ARID5B" 3
"99" "ARRDC4" 3
"100" "ASCC3" 3
"101" "BACH2" 3
"102" "C5H15orf41" 3
"103" "CACNA2D2" 3
"104" "CADPS" 3
"105" "CADPS2" 3
"106" "CDH4" 3
"107" "CNR1" 3
"108" "EPHA3" 3
"109" "EYA4" 3
"110" "FARP1" 3
"111" "FAT3" 3
"112" "FGF18" 3
"113" "FIGN" 3
"114" "GRIN2B" 3
"115" "HIBADH" 3
"116" "HLCS" 3
"117" "HS6ST3" 3
"118" "KCNQ1" 3
"119" "LDLRAD4" 3
"120" "LMO1" 3
"121" "LOC101747366" 3
"122" "LOC101749416" 3
"123" "LOC101750257" 3
"124" "LOC101750546" 3
"125" "LOC101750952" 3
"126" "LOC101750998" 3
"127" "LOC101752106" 3
"128" "LOC107051988" 3
"129" "LOC107053902" 3
"130" "LOC107054435" 3
"131" "LOC112531897" 3
"132" "LOC112532094" 3
"133" "LOC112533279" 3
"134" "LOC416090" 3
"135" "LOC421238" 3
"136" "MYT1L" 3
"137" "NBEA" 3
"138" "NFIA" 3
"139" "NTRK3" 3
"140" "OFCC1" 3
"141" "PARD3" 3
"142" "PARD3B" 3
"143" "PKHD1" 3
"144" "POLA1" 3
"145" "POU2F1" 3
"146" "POU6F2" 3
"147" "PTPRF" 3
"148" "PTPRG" 3
"149" "ROBO1" 3
"150" "RUNX1T1" 3
"151" "TNRC6B" 3
"152" "XYLB" 3
"153" "ABCC4" 2
"154" "ACVR2B" 2
"155" "ADARB2" 2
"156" "AGMO" 2
"157" "ALPK1" 2
"158" "ARHGEF7" 2
"159" "AUTS2" 2
"160" "BCOR" 2
"161" "BOC" 2
"162" "BRSK2" 2
"163" "BTRC" 2
"164" "CACNA2D3" 2
"165" "CCDC73" 2
"166" "CDH20" 2
"167" "CDK15" 2
"168" "CDYL2" 2
"169" "DCLK1" 2
"170" "DLG2" 2
"171" "DLGAP2" 2
"172" "DMD" 2
"173" "EBF3" 2
"174" "ELFN2" 2
"175" "ENOX1" 2
"176" "EPHA6" 2
"177" "ERG" 2
"178" "ESRRG" 2
"179" "EXOC2" 2
"180" "FANCL" 2
"181" "FBXW4" 2
"182" "FGFRL1" 2
"183" "GLIS1" 2
"184" "GPC6" 2
"185" "GRB10" 2
"186" "GTDC1" 2
"187" "HDAC9" 2
"188" "HHIP" 2
"189" "HMGA2" 2
"190" "HMGCLL1" 2
"191" "HOXA3" 2
"192" "INTS9" 2
"193" "ISX" 2
"194" "KCNK9" 2
"195" "KCNMA1" 2
"196" "KDM4B" 2
"197" "KIF26B" 2
"198" "LDAH" 2
"199" "LIN52" 2
"200" "LOC101748294" 2
"201" "LOC101748692" 2
"202" "LOC101749423" 2
"203" "LOC101749489" 2
"204" "LOC101749895" 2
"205" "LOC101750184" 2
"206" "LOC101750504" 2
"207" "LOC101750580" 2
"208" "LOC101751801" 2
"209" "LOC101751892" 2
"210" "LOC107051685" 2
"211" "LOC107051757" 2
"212" "LOC107052010" 2
